"date","Meghalaya/East Garo Hills","Meghalaya/East Jaintia Hills","Meghalaya/East Khasi Hills","Meghalaya/North Garo Hills","Meghalaya/RiBhoi","Meghalaya/Ribhoi","Meghalaya/South Garo Hills","Meghalaya/South West Garo Hills","Meghalaya/South West Khasi Hills","Meghalaya/West Garo Hills","Meghalaya/West Jaintia Hills","Meghalaya/West Khasi Hills"
"2020-04-13","","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","",""
"2020-04-16","","","","","","","","","","","",""
"2020-04-18","","","","","","","","","","","",""
"2020-04-21","","","","","","","","","","","",""
"2020-05-01","","","","","","","","","","","",""
"2020-05-09","","","","","","","","","","","",""
"2020-05-13","","","","","","","","","","","",""
"2020-05-18","","","","","","","","","","","",""
"2020-05-20","","","","","","","","","","","",""
"2020-05-25","","","","","","","","","","","",""
"2020-05-26","","","","","","","","","","","",""
"2020-05-28","","","","","","","","","","","",""
"2020-05-29","","","","","","","","","","","",""
"2020-06-01","","","","","","","","","","","",""
"2020-06-02","","","","","","","","","","","",""
"2020-06-03","","","","","","","","","","","",""
"2020-06-07","","","","","","","","","","","",""
"2020-06-08","","","","","","","","","","","",""
"2020-06-09","","","","","","","","","","","",""
"2020-06-10","","","","","","","","","","","",""
"2020-06-12","","","","","","","","","","","",""
"2020-06-13","","","","","","","","","","","",""
"2020-06-14","","","","","","","","","","","",""
"2020-06-16","","","","","","","","","","","",""
"2020-06-17","","","","","","","","","","","",""
"2020-06-18","","","","","","","","","","","",""
"2020-06-22","","","","","","","","","","","",""
"2020-06-23","","","","","","","","","","","",""
"2020-06-26","","","","","","","","","","","",""
"2020-06-28","","","","","","","","","","","",""
"2020-06-29","","","","","","","","","","","",""
"2020-06-30","","","","","","","","","","","",""
"2020-07-01","","","","","","","","","","","",""
"2020-07-02","","","","","","","","","","","",""
"2020-07-03","","","","","","","","","","","",""
"2020-07-04","","","","","","","","","","","",""
"2020-07-05","","","","","","","","","","","",""
"2020-07-06","","","","","","","","","","","",""
"2020-07-07","","","","","","","","","","","",""
"2020-07-08","","","","","","","","","","","",""
"2020-07-09","","","","","","","","","","","",""
"2020-07-10","","","","","","","","","","","",""
"2020-07-16","","","1","","","","","","","","",""
"2020-07-17","","","1","","","","","","","","",""
"2020-07-18","","","1","","","","","","","","",""
"2020-07-19","","","3","","","","","","","","",""
"2020-07-20","","","3","","","","","","","","",""
"2020-07-21","","","3","","","","","","","","",""
"2020-07-22","","","3","","","","","","","","",""
"2020-07-23","","","3","","","","","","","","",""
"2020-07-24","","","4","","","","","","","","",""
"2020-07-25","","","4","","","","","","","","",""
"2020-07-26","","","4","","","","","","","","",""
"2020-07-27","","","1","","","3","","","","","",""
"2020-07-28","","","1","","","","","","","","",""
"2020-07-29","","","1","","","3","","","","","",""
"2020-07-30","","","1","","","","","","","","",""
"2020-07-31","","","1","","","3","","","","","",""
"2020-08-01","","","1","","","3","","","","","",""
"2020-08-02","","","1","","","3","","","","","",""
"2020-08-03","","","1","","","3","","","","","",""
"2020-08-04","","","1","","","3","","","","","",""
"2020-08-05","","","1","","","3","","","","","",""
"2020-08-06","","","1","","","3","","","","","",""
"2020-08-07","","","1","","","3","","","","","",""
"2020-08-08","","","2","","","3","","","","","",""
"2020-08-09","","","2","","","3","","","","","",""
"2020-08-10","","","2","","","3","","","","","",""
