"date","Jammu and Kashmir/Anantnag","Jammu and Kashmir/Bandipora","Jammu and Kashmir/Baramulla","Jammu and Kashmir/Budgam","Jammu and Kashmir/Doda","Jammu and Kashmir/Ganderbal","Jammu and Kashmir/Jammu","Jammu and Kashmir/Kathua","Jammu and Kashmir/Kishtwar","Jammu and Kashmir/Kulgam","Jammu and Kashmir/Kupwara","Jammu and Kashmir/Pulwama","Jammu and Kashmir/Punch","Jammu and Kashmir/Rajouri","Jammu and Kashmir/Ramban","Jammu and Kashmir/Reasi","Jammu and Kashmir/Samba","Jammu and Kashmir/Shopiyan","Jammu and Kashmir/Srinagar","Jammu and Kashmir/Udhampur","Jammu and Kashmir/Unknown"
"2020-03-09","","","","","","","","","","","","","","","","","","","","",""
"2020-03-13","","","","","","","","","","","","","","","","","","","","",""
"2020-03-16","","","","","","","","","","","","","","","","","","","","",""
"2020-03-18","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","","","","","","","","","","","","",""
"2020-03-28","","","","","","","","","","","","","","","","","","","","",""
"2020-03-29","","","","","","","","","","","","","","","","","","","","",""
"2020-03-30","","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","","","","","","","","","","","","","","","","","","","","",""
"2020-04-01","","","","","","","","","","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","","","","","","","","","","",""
"2020-04-03","","","","","","","","","","","","","","","","","","","","",""
"2020-04-04","","","","","","","","","","","","","","","","","","","","",""
"2020-04-05","","","","","","","","","","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","","","","","","","","","","",""
"2020-04-07","","","","","","","","","","","","","","","","","","","","",""
"2020-04-08","","","","","","","","","","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","","","","","","","","","","",""
"2020-04-10","","","","","","","","","","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","","","","","","","","","","",""
"2020-04-12","","","","","","","","","","","","","","","","","","","","",""
"2020-04-13","","","","","","","","","","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","","","","","","","","","","",""
"2020-04-16","","","","","","","","","","","","","","","","","","","","",""
"2020-04-17","","","","","","","","","","","","","","","","","","","","",""
"2020-04-18","","","","","","","","","","","","","","","","","","","","",""
"2020-04-19","","","","","","","","","","","","","","","","","","","","",""
"2020-04-20","","","","","","","","","","","","","","","","","","","","",""
"2020-04-21","","","","","","","","","","","","","","","","","","","","",""
"2020-04-22","","","","","","","","","","","","","","","","","","","","",""
"2020-04-23","","","","","","","","","","","","","","","","","","","","",""
"2020-04-24","","","","","","","","","","","","","","","","","","","","",""
"2020-04-25","","","","","","","","","","","","","","","","","","","","",""
"2020-04-26","","","","","","","","","","","","","","","","","","","","",""
"2020-04-27","","","","","","","","","","","","","","","","","","","","",""
"2020-04-28","","","","","","","","","","","","","","","","","","","","",""
"2020-04-29","","","","","","","","","","","","","","","","","","","","",""
"2020-04-30","","","","","","","","","","","","","","","","","","","","",""
"2020-05-01","","","","","","","","","","","","","","","","","","","","",""
"2020-05-02","","","","","","","","","","","","","","","","","","","","",""
"2020-05-03","","","","","","","","","","","","","","","","","","","","",""
"2020-05-04","","","","","","","","","","","","","","","","","","","","",""
"2020-05-05","","","","","","","","","","","","","","","","","","","","",""
"2020-05-06","","","","","","","","","","","","","","","","","","","","",""
"2020-05-07","","","","","","","","","","","","","","","","","","","","",""
"2020-05-08","","","","","","","","","","","","","","","","","","","","",""
"2020-05-09","","","","","","","","","","","","","","","","","","","","",""
"2020-05-10","","","","","","","","","","","","","","","","","","","","",""
"2020-05-11","","","","","","","","","","","","","","","","","","","","",""
"2020-05-12","","","","","","","","","","","","","","","","","","","","",""
"2020-05-13","","","","","","","","","","","","","","","","","","","","",""
"2020-05-14","","","","","","","","","","","","","","","","","","","","",""
"2020-05-15","","","","","","","","","","","","","","","","","","","","",""
"2020-05-16","","","","","","","","","","","","","","","","","","","","",""
"2020-05-17","","","","","","","","","","","","","","","","","","","","",""
"2020-05-18","","","","","","","","","","","","","","","","","","","","",""
"2020-05-19","0","","","","","","","","","","","","","","","","","","","",""
"2020-05-20","0","","","","","","","","","","","","","","","","","","","",""
"2020-05-21","","","","","","","","","","","","","","","","","","","","",""
"2020-05-22","","","","","","","","","","","","","","","","","","","","",""
"2020-05-23","","","","","","","","","","","","","","","","","","","","",""
"2020-05-24","","","","","","","","","","","","","","","","","","","","",""
"2020-05-25","","","","","","","","","","","","","","","","","","","","",""
"2020-05-26","","","","","","","","","","0","","","","","","","","","","",""
"2020-05-27","","","","","","","","","","","","","","","","","","","","",""
"2020-05-28","","","","","","","","","","","","","","","","","","","","",""
"2020-05-29","","","","","","","","","","","","","","","","","","","","",""
"2020-05-30","","","","","","","","","","","","","","","","","","","","",""
"2020-05-31","","","","","","","","","","","","","","","","","","","","",""
"2020-06-01","","","","","","","","","","","","","","","","","","","","",""
"2020-06-02","","","","","","","","","","","","","","","","","","","","",""
"2020-06-03","","","0","","","","","","","","","","","","","","","","","",""
"2020-06-04","","","","","","","","","","","","","","","","","","","","",""
"2020-06-05","","","","","","","","","","","","","","","","","","","0","",""
"2020-06-06","","","","","","","","","","","","","","","","","","","","",""
"2020-06-07","","","","","","","","","","","","","","","","","","","","",""
"2020-06-08","","","","","","","","","","","","","","","","","","","-1","",""
"2020-06-09","","","","","","","","","","0","","","","","","","","","","",""
"2020-06-10","","","-1","","","","","","","0","","","","","","","","","","",""
"2020-06-11","","","","","","","","","","0","","","","","","","","","","",""
"2020-06-12","","","","","","","","","","","","","","","","","","","","",""
"2020-06-13","","","","","","","","","","","","","","","","","","","","",""
"2020-06-14","","","","","","","","","","","","","","","","","","","","",""
"2020-06-15","","","","0","","","","","","","0","","","","","","","","","",""
"2020-06-16","","","","","","","","","","","","","","","","","","","","",""
"2020-06-17","","","","","","","","","","","","","","","","","","0","","",""
"2020-06-18","","","","","","","","","","","","","","","","","","0","","",""
"2020-06-19","","","0","","","","","","","","","","","","","","","0","0","",""
"2020-06-20","","","","","","","","","","","","","","","","","","0","-1","",""
"2020-06-21","","","","","","","","","","","","","","","","","","","","",""
"2020-06-22","","","","","","","","","","","","","","","","","","","","",""
"2020-06-23","","","","","","","","","","0","","","","","","","","","","",""
"2020-06-24","","","","","","","","","","","","","","","","","","","0","",""
"2020-06-25","","","","","","","","","","","","","","","","","","","0","",""
"2020-06-26","","","","","","","","","","","","","","","","","","","","",""
"2020-06-27","","","","","","","","","","","","","","","","","","","","",""
"2020-06-28","","","","","","","","","","0","","","","","","","","","","",""
"2020-06-29","","","","","","","","","","","","","","","","","","","","",""
"2020-06-30","","","","","","","","","","","","","","","","","","0","","",""
"2020-07-01","0","","0","","","","","","","","","","","","","","","","-1","",""
"2020-07-02","0","","0","","","","","","","","","","","","","","","","1","",""
"2020-07-03","","","0","0","","","","","","","","","","","","","","","-1","",""
"2020-07-04","","","2","","","","","","","","","","","","","","","","1","",""
"2020-07-05","0","","-2","","","","","","","","","","","","","","","","-1","",""
"2020-07-06","","","2","","","","","","","","","","","","","","","","1","",""
"2020-07-07","","","-1","","","","","","","","","","","","","","","","-1","",""
"2020-07-08","","","0","","","","","","","","","","","","","","","","1","",""
"2020-07-09","","","-1","","","","","","","","","","","","","","","0","-1","",""
"2020-07-10","","","","","","","","","","","","","","","","","","","1","",""
"2020-07-11","0","","","","","","","","","","0","","","","","","","","1","",""
"2020-07-12","","","0","0","","1","","","","","0","","","","","","","","-1","",""
"2020-07-13","","","1","0","","","","","","","0","","","","","","","","0","",""
"2020-07-14","","","1","","","","","","","","","","","","","","","","","",""
"2020-07-15","","","2","","","","","","","-1","","","","","","","","","","",""
"2020-07-16","","","0","0","","","","","","","","","","","","","","","3","",""
"2020-07-17","","","","0","","","","","","","","","","","","","","","-2","",""
"2020-07-18","","0","","0","","","","","","","","-1","","","","","","","","",""
"2020-07-19","","","","0","","","","","","","","0","","","","","","","","",""
"2020-07-20","","","1","","","","","","","","","1","","","","","","","0","",""
"2020-07-21","","","-1","","","","","","","","","","","","","","","","4","",""
"2020-07-22","","","0","","","","","","","0","","","","","","","","","-4","",""
"2020-07-23","","","1","","","","","","","","","","","","","","","","2","",""
"2020-07-24","","","-1","","","","","","","","","0","","","","","","","3","",""
"2020-07-25","","","-1","","","","0","","","","","","","","","","","","-3","",""
"2020-07-26","","0","","0","","","0","","","","","","","","","","","","-2","",""
"2020-07-27","","","","0","","","","","","","","1","","","","","","","4","",""
"2020-07-28","","","","0","","","","","","","","","","","","","","","-2","",""
"2020-07-29","","1","2","0","","","","","","","","","","","","","","","1","",""
"2020-07-30","","","-2","0","","","0","","","","","","","","","","","","5","",""
"2020-07-31","","","","0","","","1","","","","","","","","","","","","-3","",""
"2020-08-01","","","","0","","","","","","","","0","","","","","","","-1","",""
"2020-08-02","","","-1","","","","","","","","","0","","","","","","","-2","",""
"2020-08-03","","","0","","","","","","","","","","","","","","","","1","",""
"2020-08-04","","","0","","","","","","","","","","","","","","","","-2","",""
"2020-08-05","","0","","-1","","","","","","","","","","","","","","","0","",""
"2020-08-06","","","","","","","","","","","","","","","","","","","0","",""
