"date","Jammu and Kashmir/Anantnag","Jammu and Kashmir/Bandipora","Jammu and Kashmir/Baramulla","Jammu and Kashmir/Budgam","Jammu and Kashmir/Doda","Jammu and Kashmir/Ganderbal","Jammu and Kashmir/Jammu","Jammu and Kashmir/Kathua","Jammu and Kashmir/Kishtwar","Jammu and Kashmir/Kulgam","Jammu and Kashmir/Kupwara","Jammu and Kashmir/Pulwama","Jammu and Kashmir/Punch","Jammu and Kashmir/Rajouri","Jammu and Kashmir/Ramban","Jammu and Kashmir/Reasi","Jammu and Kashmir/Samba","Jammu and Kashmir/Shopiyan","Jammu and Kashmir/Srinagar","Jammu and Kashmir/Udhampur","Jammu and Kashmir/Unknown"
"2020-08-07","","","","","","","","","","","","","","","","","","","0","",""
"2020-08-08","0","","-2","","","","","","","","0","","","","","","","","-1","",""
"2020-08-09","-1","","1","","","","","","","","-1","-1","","","","","","","1","",""
"2020-08-10","","","","","","","","","","0","0","0","","","","","","","-1","",""
"2020-08-11","","","","","","0","","","","","0","0","","","","","","","1","",""
"2020-08-12","","","1","","","0","","","","","1","","","","","","","","0","",""
"2020-08-13","","","-1","","","0","","","","","-1","","","","","","","","0","",""
"2020-08-14","","","","","","","","","","","0","1","","","","","","","3","",""
"2020-08-15","","","","","","","","","","","0","","","","","","","","-4","",""
"2020-08-16","","","0","","","0","","","","","","","","","","","","","0","",""
"2020-08-17","0","0","","-1","","0","","","","","","","","","","","","","-1","",""
"2020-08-18","3","","","2","","","","","","","","","","","","","","","2","",""
"2020-08-19","","","","-2","","","","","","","0","","","","","","","","2","",""
"2020-08-20","","","0","0","","","","","","","","","","","","","","","-2","",""
"2020-08-21","","","2","3","","","","","","","","0","","","","","","","1","",""
"2020-08-22","0","","","-2","","","","","","","0","0","","","","","","","1","",""
"2020-08-23","","","","-1","","","1","","","","","","","","","","","","-4","",""
"2020-08-24","","","-1","","","","","","","","","","","","","","","","1","",""
"2020-08-25","","","","","","","","","","","1","1","","","","","","","1","",""
"2020-08-26","0","","","0","","-1","1","","","","-1","-1","","","","","","","5","",""
"2020-08-27","0","","","1","","","-2","","","","","0","","0","","","","","-3","",""
"2020-08-28","0","","","-1","","","","","","0","","","","","","","","","-3","",""
"2020-08-29","","","","","","","","","","","","","","","","","","","0","",""
"2020-08-30","","","","","","0","2","","","","","","","","","","","","0","",""
"2020-08-31","","","","","","","-1","","","","","","","","","","","","0","",""
"2020-09-01","","","","","","","1","","","","","4","","","","","","","0","",""
"2020-09-02","","","","","","","0","","","","","-4","","","","","","","0","",""
"2020-09-03","0","","","","","","-1","0","","","0","","","","","","","","1","",""
"2020-09-04","","","1","","","","0","","","","2","","","","","","","","0","",""
"2020-09-05","","","-1","","","","3","","","","-2","","","","","","","","-1","",""
"2020-09-06","","","","","","","-1","-2","","","","","","","","","","","2","",""
"2020-09-07","","","","65","","","63","9","","38","","58","","6","","","3","","235","",""
