"date","Chandigarh/Chandigarh"
"2020-03-19",""
"2020-03-20",""
"2020-03-22",""
"2020-03-23",""
"2020-03-27","   .00 %"
"2020-03-30","   .00 %"
"2020-03-31","   .00 %"
"2020-04-01","   .00 %"
"2020-04-02","   .00 %"
"2020-04-10","   .00 %"
"2020-04-12","   .00 %"
"2020-04-18","   .00 %"
"2020-04-19","   .00 %"
"2020-04-21","   .00 %"
"2020-04-25","   .00 %"
"2020-04-26","   .00 %"
"2020-04-27","   .00 %"
"2020-04-28","   .00 %"
"2020-04-29","   .00 %"
"2020-04-30","   .00 %"
"2020-05-01","   .00 %"
"2020-05-02","   .00 %"
"2020-05-03","   .00 %"
"2020-05-04",""
"2020-05-05",""
"2020-05-06",""
"2020-05-07",""
"2020-05-08",""
"2020-05-09",""
"2020-05-10",""
"2020-05-11",""
"2020-05-12",""
"2020-05-13",""
"2020-05-14",""
"2020-05-15",""
"2020-05-16","   .00 %"
"2020-05-18","   .00 %"
"2020-05-19","   .00 %"
"2020-05-20","   .00 %"
"2020-05-21","   .00 %"
"2020-05-22","   .00 %"
"2020-05-23","   .00 %"
"2020-05-24","   .00 %"
"2020-05-25",""
"2020-05-26",""
"2020-05-27",""
"2020-05-28",""
"2020-05-30",""
"2020-05-31","   .00 %"
"2020-06-01","   .00 %"
"2020-06-02","   .00 %"
"2020-06-04",""
"2020-06-05",""
"2020-06-06",""
"2020-06-07",""
"2020-06-08",""
"2020-06-09","   .00 %"
"2020-06-10","   .00 %"
"2020-06-11","   .00 %"
"2020-06-12","   .00 %"
"2020-06-13","   .00 %"
"2020-06-14","   .00 %"
"2020-06-15","   .00 %"
"2020-06-16",""
"2020-06-17",""
"2020-06-18",""
"2020-06-19",""
"2020-06-20",""
"2020-06-21","   .00 %"
"2020-06-22","   .00 %"
"2020-06-23","   .00 %"
"2020-06-24","   .00 %"
"2020-06-25","   .00 %"
"2020-06-26","   .00 %"
"2020-06-27","   .00 %"
"2020-06-28","   .00 %"
"2020-06-29","   .00 %"
"2020-06-30","   .00 %"
"2020-07-01","   .00 %"
"2020-07-02","   .00 %"
"2020-07-03","   .00 %"
"2020-07-04","   .00 %"
"2020-07-05","   .00 %"
"2020-07-06","   .00 %"
"2020-07-07","   .00 %"
"2020-07-08",""
"2020-07-09",""
"2020-07-10",""
"2020-07-11",""
"2020-07-12",""
"2020-07-13",""
"2020-07-14",""
"2020-07-15",""
"2020-07-16",""
"2020-07-17",""
"2020-07-18",""
"2020-07-19",""
"2020-07-20",""
"2020-07-21",""
"2020-07-22",""
"2020-07-23",""
"2020-07-24",""
"2020-07-25",""
"2020-07-26",""
"2020-07-27",""
"2020-07-28",""
"2020-07-29",""
"2020-07-30",""
"2020-07-31",""
"2020-08-01",""
"2020-08-02"," 26.67 %"
"2020-08-03",""
"2020-08-04",""
"2020-08-05",""
"2020-08-06",""
"2020-08-07",""
"2020-08-08",""
"2020-08-09",""
"2020-08-10",""
"2020-08-11",""
"2020-08-12",""
"2020-08-13",""
"2020-08-14",""
"2020-08-15","-20.00 %"
"2020-08-16","-20.00 %"
"2020-08-17","-20.00 %"
"2020-08-18",""
"2020-08-19",""
"2020-08-20",""
"2020-08-21",""
"2020-08-22",""
"2020-08-23",""
"2020-08-24",""
"2020-08-25",""
"2020-08-26",""
"2020-08-27",""
"2020-08-28",""
"2020-08-29",""
"2020-08-30",""
"2020-08-31",""
"2020-09-01",""
"2020-09-02",""
"2020-09-03"," 16.43 %"
"2020-09-04"," 21.43 %"
"2020-09-05"," 14.00 %"
"2020-09-06"," 49.00 %"
"2020-09-07"," ##.## %"
