"date","Gujarat/Ahmedabad","Gujarat/Amreli","Gujarat/Anand","Gujarat/Aravalli","Gujarat/Banaskantha","Gujarat/Bharuch","Gujarat/Bhavnagar","Gujarat/Botad","Gujarat/Chhota Udaipur","Gujarat/Dahod","Gujarat/Dang","Gujarat/Devbhumi Dwarka","Gujarat/Gandhinagar","Gujarat/Gir Somnath","Gujarat/Jamnagar","Gujarat/Junagadh","Gujarat/Kheda","Gujarat/Kutch","Gujarat/Mahisagar","Gujarat/Mehsana","Gujarat/Morbi","Gujarat/Narmada","Gujarat/Navsari","Gujarat/Other State","Gujarat/Other state","Gujarat/Panchmahal","Gujarat/Patan","Gujarat/Porbandar","Gujarat/Rajkot","Gujarat/Sabarkantha","Gujarat/Surat","Gujarat/Surendranagar","Gujarat/Tapi","Gujarat/Udalguri","Gujarat/Vadodara","Gujarat/Valsad","Gujarat/dahod","Gujarat/kutch","Gujarat/other state","Gujarat/porbandar","Gujarat/surat","Gujarat/surendranagar","Gujarat/tapi","Gujarat/vadodara"
"2020-03-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-28","   .00 %","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-29","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","   .00 %","","","","","","","","","","","","",""
"2020-03-30","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","   .00 %","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","   .00 %","","   .00 %","","","","","","","","","","","","",""
"2020-04-01","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-03","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-04","   .00 %","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-04-05","   .00 %","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","   .00 %","","","","","","","","",""
"2020-04-06","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","   .00 %","","","","","","","","",""
