"date","Maharashtra/Ahmednagar","Maharashtra/Akola","Maharashtra/Amravati","Maharashtra/Aurangabad","Maharashtra/Beed","Maharashtra/Bhandara","Maharashtra/Buldhana","Maharashtra/Chandrapur","Maharashtra/Dhule","Maharashtra/Gadchiroli","Maharashtra/Gondia","Maharashtra/Hingoli","Maharashtra/Jalgaon","Maharashtra/Jalna","Maharashtra/Kolhapur","Maharashtra/Latur","Maharashtra/Mumbai","Maharashtra/Nagpur","Maharashtra/Nanded","Maharashtra/Nandurbar","Maharashtra/Nashik","Maharashtra/Osmanabad","Maharashtra/Other State","Maharashtra/Other State ","Maharashtra/Palghar","Maharashtra/Parbhani","Maharashtra/Pune","Maharashtra/Raigad","Maharashtra/Ratnagiri","Maharashtra/Sangli","Maharashtra/Satara","Maharashtra/Sindhudurg","Maharashtra/Solapur","Maharashtra/Thane","Maharashtra/Unknown","Maharashtra/Wardha","Maharashtra/Washim","Maharashtra/Yavatmal"
"2020-03-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-13","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-03-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-15","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-03-16","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-03-17","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-03-18","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-03-21","","","","","","","","","","","","","","","",""," 20.00 %","","","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","","","","",""," 20.00 %","","","","","","","","","","   .00 %","","","","","","","   .00 %","","","",""
"2020-03-23","","","","","","","","","","","","","","","",""," 20.00 %","","","","","","","","","","   .00 %","","","","","","","   .00 %","","","",""
"2020-03-24","","","","","","","","","","","","","","","",""," 20.00 %","","","","","","","","","","   .00 %","","","","","","","   .00 %","","","",""
"2020-03-25","","","","","","","","","","","","","","","",""," 20.00 %","","","","","","","","","","","","","","","","","   .00 %","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","","","","","","","","","   .00 %","   .00 %","","","","","","","","","   .00 %","","","","","","","   .00 %","","","",""
"2020-03-28","","","","","","","","","","","","","","","","","   .00 %","   .00 %","","","","","","","","","","","","","","","","   .00 %","","","",""
