"date","New Mexico/Bernalillo","New Mexico/Catron","New Mexico/Chaves","New Mexico/Cibola","New Mexico/Colfax","New Mexico/Curry","New Mexico/De Baca","New Mexico/Dona Ana","New Mexico/Doña Ana","New Mexico/Eddy","New Mexico/Grant","New Mexico/Guadalupe","New Mexico/Harding","New Mexico/Hidalgo","New Mexico/Lea","New Mexico/Lincoln","New Mexico/Los Alamos","New Mexico/Luna","New Mexico/McKinley","New Mexico/Mora","New Mexico/Otero","New Mexico/Quay","New Mexico/Rio Arriba","New Mexico/Roosevelt","New Mexico/San Juan","New Mexico/San Miguel","New Mexico/Sandoval","New Mexico/Santa Fe","New Mexico/Sierra","New Mexico/Socorro","New Mexico/Taos","New Mexico/Torrance","New Mexico/Unassigned","New Mexico/Union","New Mexico/Valencia"
"2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0"
"2020-03-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0"
"2020-03-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0"
"2020-03-25","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0"
"2020-03-26","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0"
"2020-03-27","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0"
"2020-03-28","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0"
"2020-03-29","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0"
"2020-03-30","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0"
"2020-03-31","3","","0","0","","0","","0","","1","","","","","0","","","","0","","","","0","0","0","0","0","0","","0","0","0","","","0"
"2020-04-01","4","","0","0","","0","","0","","1","","","","","0","","","","0","","0","","0","0","0","0","0","0","","0","0","0","","","0"
"2020-04-02","4","","0","0","","0","","0","","1","0","","","","0","","","","0","","0","","0","0","0","0","1","0","","0","0","0","0","","0"
"2020-04-03","7","","0","0","","0","","0","","1","0","","","","0","","","","0","","0","","0","0","0","0","2","0","","0","0","0","0","","0"
"2020-04-04","7","0","0","0","","0","","0","","1","0","","","","0","","","","0","","0","","0","0","0","0","2","0","","0","0","0","0","","0"
"2020-04-05","7","0","0","0","","0","","0","","1","0","","","","0","0","0","","2","","0","","0","0","0","0","2","0","","0","0","0","0","","0"
"2020-04-06","7","0","0","0","","0","","0","","1","0","","","","0","0","0","","2","","0","","0","0","0","0","2","0","","0","0","0","0","","0"
"2020-04-07","8","0","0","0","","0","","0","","1","0","","","","0","0","0","","2","","0","","0","0","0","0","2","0","","0","0","0","0","","0"
"2020-04-08","8","0","0","0","","0","","0","","1","0","","","","0","0","0","","2","","0","","0","0","0","0","2","0","","0","0","0","0","","0"
"2020-04-09","11","0","0","0","","0","","0","","1","0","","","","0","0","0","","2","","0","","0","0","0","0","2","0","","0","0","0","0","","0"
"2020-04-10","12","0","0","0","0","0","","0","","1","0","","","","0","0","0","","2","","0","","0","0","0","0","2","0","","0","0","0","0","","0"
"2020-04-11","13","0","0","0","0","0","","0","","1","0","","","0","0","0","0","0","2","","0","","0","0","0","0","3","0","","0","0","0","0","","0"
"2020-04-12","16","0","0","1","0","0","","1","","1","0","","","0","0","0","0","0","2","","0","0","0","0","2","0","3","0","","0","0","0","0","","0"
"2020-04-13","16","0","0","1","0","0","","1","","1","0","","","0","0","0","0","0","2","","0","0","0","0","2","0","3","0","","0","0","0","0","","0"
"2020-04-14","16","0","0","1","0","0","","1","","1","0","","","0","0","0","0","0","2","","0","0","0","0","7","0","3","0","","0","0","0","0","","0"
"2020-04-15","17","0","0","1","0","0","","1","","1","0","","","0","0","0","0","0","2","","0","0","0","0","10","0","4","0","","0","0","0","0","","0"
"2020-04-16","17","0","0","1","0","0","","1","","1","0","","","0","0","0","0","0","2","","0","0","0","0","10","0","4","0","","0","0","0","0","","0"
"2020-04-17","18","0","0","2","0","0","","1","","1","0","","","0","0","0","0","0","4","","0","0","0","0","13","0","5","0","","0","0","0","0","","0"
"2020-04-18","23","0","0","2","0","0","","1","","1","0","0","","0","0","0","0","0","5","","0","0","0","0","14","0","6","0","","1","0","0","0","","0"
"2020-04-19","24","0","0","2","0","0","","1","","1","0","0","","0","0","0","0","0","5","","0","0","0","0","15","0","6","0","","1","0","0","0","","0"
"2020-04-20","24","0","0","2","0","0","","1","","1","0","0","","0","0","0","0","0","5","","0","1","0","0","17","0","6","0","","1","0","0","0","","0"
"2020-04-21","24","0","0","2","0","0","","1","","1","0","0","","0","0","0","0","0","5","","0","1","0","0","17","0","6","0","","1","0","0","0","","0"
"2020-04-22","29","0","1","2","0","0","","1","","1","0","0","","0","0","0","0","0","7","","0","1","0","0","22","0","6","0","","1","0","0","0","","0"
"2020-04-23","31","0","1","2","0","0","","1","","1","0","0","0","0","0","0","0","0","8","","0","1","0","0","24","0","8","0","","1","0","0","0","","0"
"2020-04-24","33","0","1","2","0","0","","1","","1","0","0","0","0","0","0","0","0","9","","0","1","0","0","27","0","8","0","","1","0","0","0","","0"
"2020-04-25","33","1","1","2","0","0","","1","","1","0","0","0","0","0","0","0","0","9","","0","1","0","0","33","0","10","0","","1","0","0","0","0","0"
"2020-04-26","33","1","1","2","0","0","","1","","1","0","0","0","0","0","0","0","0","12","","0","1","0","0","35","0","11","0","","1","0","0","0","0","0"
"2020-04-27","33","1","1","2","0","0","","1","","1","0","0","0","0","0","0","0","0","12","","0","1","0","0","35","0","11","0","","1","0","0","0","0","0"
"2020-04-28","35","1","1","2","0","0","","1","","1","0","0","0","0","0","0","0","0","15","","0","1","0","0","36","0","11","0","","1","0","0","0","0","0"
"2020-04-29","35","1","1","3","0","0","","1","","1","0","0","0","0","0","0","0","0","16","","0","1","0","0","38","0","13","0","0","2","0","0","0","0","0"
"2020-04-30","35","1","1","3","0","0","","1","","1","0","0","0","0","0","0","0","1","19","","0","1","0","0","45","0","13","0","0","2","0","0","0","0","0"
"2020-05-01","36","1","1","3","0","0","","1","","1","0","0","0","0","0","0","0","1","20","","0","1","0","0","49","0","15","0","0","2","0","0","0","0","0"
"2020-05-02","38","1","1","3","0","0","","2","","1","0","0","0","0","0","0","0","1","20","","0","1","0","0","51","0","17","0","0","2","0","0","0","0","0"
"2020-05-03","40","1","1","3","0","0","","2","","1","0","0","0","0","0","0","0","1","21","","0","1","0","0","57","0","19","0","0","2","0","0","1","0","1"
"2020-05-04","40","1","1","3","0","0","0","2","","1","0","0","0","0","0","0","0","1","21","","0","1","0","0","57","0","19","0","0","2","0","0","6","0","1"
"2020-05-05","42","1","1","3","0","0","0","2","","1","0","0","0","0","0","0","0","1","25","","0","1","0","0","62","0","20","0","0","2","0","0","0","0","1"
"2020-05-06","44","1","1","3","0","0","0","2","","1","0","0","0","0","0","0","0","1","29","","0","1","0","0","62","0","20","1","0","2","0","0","0","0","1"
"2020-05-07","44","1","1","3","0","0","0","2","","1","0","0","0","0","0","0","0","1","31","","0","1","0","0","62","0","20","1","0","2","0","1","0","0","1"
"2020-05-08","45","1","2","3","0","0","0","2","","1","0","0","0","0","0","0","0","1","36","","0","1","0","0","64","0","20","1","0","2","0","1","0","0","1"
"2020-05-09","46","1","2","3","0","0","0","2","","1","0","0","0","0","0","0","0","1","40","","0","1","0","0","69","0","20","1","0","2","0","1","0","0","1"
"2020-05-10","46","1","2","3","0","0","0","2","","1","0","0","0","0","0","0","0","1","46","","0","1","0","0","71","0","21","1","0","2","0","1","0","0","1"
"2020-05-11","48","1","2","4","0","0","0","2","","1","0","0","0","0","0","0","0","1","50","","0","1","0","0","71","0","21","1","0","3","0","1","0","0","1"
"2020-05-12","50","1","2","4","0","0","0","2","","1","0","0","0","0","0","0","0","1","55","","0","1","0","0","74","0","21","2","0","3","0","1","0","0","1"
"2020-05-13","53","1","2","4","0","0","0","2","","1","0","0","0","0","0","0","0","1","57","","0","1","0","0","80","0","22","2","0","3","0","1","0","0","1"
"2020-05-14","54","1","2","4","0","0","0","2","","1","0","0","0","0","0","0","0","1","63","","1","1","0","0","81","0","22","3","0","4","0","1","0","0","1"
"2020-05-15","56","1","2","4","0","0","0","2","","1","0","0","0","0","0","0","0","1","69","","1","1","0","0","84","0","22","3","0","4","0","1","0","0","1"
"2020-05-16","56","1","2","4","0","0","0","2","","1","0","0","0","0","0","0","0","1","73","","1","1","0","0","85","0","23","3","0","4","0","1","0","0","1"
"2020-05-17","57","1","2","4","0","0","0","2","","1","0","0","0","0","0","0","0","1","76","","1","1","0","0","86","0","24","3","0","4","0","1","0","0","1"
"2020-05-18","59","1","2","4","0","0","0","2","","1","0","0","0","0","0","0","0","1","78","","1","1","0","0","87","0","24","3","0","4","0","1","0","0","1"
"2020-05-19","59","1","2","4","0","0","0","2","","1","0","0","0","0","0","0","0","1","79","","1","1","0","0","92","0","24","3","0","4","0","1","0","0","1"
"2020-05-20","59","1","2","4","0","0","0","2","","1","0","0","0","0","0","0","0","1","82","","1","1","0","0","96","0","24","3","0","4","0","1","0","0","1"
"2020-05-21","63","1","2","4","0","0","0","2","","1","0","0","0","0","0","0","0","1","86","","1","1","0","0","99","0","24","3","0","4","0","1","0","0","1"
"2020-05-22","66","1","2","4","0","0","0","2","","1","0","0","0","0","0","0","0","1","87","","1","1","0","0","103","0","24","3","0","4","0","1","0","0","1"
