"date","Manipur/Bishnupur","Manipur/CAPF Personnel","Manipur/CAPF Personnel ","Manipur/Chandel","Manipur/Churachandpur","Manipur/Imphal East","Manipur/Imphal West","Manipur/Jiribam","Manipur/Kakching","Manipur/Kamjong","Manipur/Kangpokpi","Manipur/Meitram","Manipur/Noney","Manipur/Pherzawl","Manipur/Senapati","Manipur/Tamenglong","Manipur/Tengnoupal","Manipur/Thoubal","Manipur/Ukhrul","Manipur/kasom khulem"
"2020-03-24","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-04-02","","","","","","   .00 %","","","","","","","","","","","","","",""
"2020-05-14","","","","","","   .00 %","","","","","","","","","","","","","",""
"2020-05-16","","","","","   .00 %","   .00 %","   .00 %","","","","","","","","","","","","",""
"2020-05-19","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-05-20","","","","","   .00 %","","   .00 %","","","","","","","","","","","","",""
"2020-05-22","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-05-25","","","","","   .00 %","","","","","","","","   .00 %","","","","","","",""
"2020-05-26","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-05-29","","","","","","","   .00 %","","","   .00 %","","","","","","","","","",""
"2020-05-30","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-05-31","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","   .00 %","","","","","   .00 %","   .00 %",""
"2020-06-01","   .00 %","","","","","","   .00 %","","","   .00 %","","","","","   .00 %","","","   .00 %","",""
"2020-06-02","","","","","","   .00 %","   .00 %","","","","","","","","","","","","",""
"2020-06-03","   .00 %","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-06-04","   .00 %","","","   .00 %","   .00 %","","","","","","   .00 %","","","","","   .00 %","   .00 %","","",""
"2020-06-05","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-06-06","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %",""
"2020-06-07","","","","","","","   .00 %","","","","   .00 %","","","","","","","   .00 %","   .00 %",""
"2020-06-08","   .00 %","","","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","","   .00 %",""
"2020-06-09","","","","   .00 %","","","","","","   .00 %","   .00 %","","   .00 %","","","","","","",""
"2020-06-10","","","","","","   .00 %","","","","","","","","   .00 %","","","","","",""
"2020-06-11","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","","   .00 %",""
"2020-06-12","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","","","   .00 %","","","   .00 %",""
"2020-06-13","","","","","   .00 %","","","","","","","","","","","","","","",""
"2020-06-16","","","","","","","   .00 %","","","","","","","","   .00 %","","","","",""
"2020-06-17","   .00 %","","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","","","   .00 %","   .00 %",""
"2020-06-18","","","","","   .00 %","","","","","","","","","   .00 %","   .00 %","","","","",""
"2020-06-19","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-06-20","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %",""
"2020-06-21","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %","",""
"2020-06-22","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %","",""
"2020-06-23","","","","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","","   .00 %","","   .00 %","","","","",""
"2020-06-24","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-25","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-26","","","","","   .00 %","","","","","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %",""
"2020-06-27","","","","","","","   .00 %","","   .00 %","","","","","","","","","   .00 %","   .00 %",""
"2020-06-28","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","","","   .00 %",""
"2020-06-29","   .00 %","","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-06-30","   .00 %","","","","","   .00 %","","","","","   .00 %","","","","   .00 %","","","","",""
"2020-07-01","","","","","","","   .00 %","   .00 %","","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","   .00 %",""
