"date","Massachusetts/Barnstable","Massachusetts/Berkshire","Massachusetts/Bristol","Massachusetts/Brockton","Massachusetts/Dukes","Massachusetts/Dukes and Nantucket","Massachusetts/Essex","Massachusetts/Franklin","Massachusetts/Hampden","Massachusetts/Hampshire","Massachusetts/Middlesex","Massachusetts/Nantucket","Massachusetts/Norfolk","Massachusetts/Plymouth","Massachusetts/Suffolk","Massachusetts/Unassigned","Massachusetts/Worcester"
"2020-03-22","","","","","","","","","","","","","","","","",""
"2020-03-23","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","4","0"
"2020-03-24","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","2","0"
"2020-03-25","1","0","0","","0","0","0","0","0","0","0","0","1","0","0","0","2"
"2020-03-26","0","0","0","","0","0","2","1","1","0","3","0","1","0","1","0","1"
"2020-03-27","1","2","1","","0","0","0","1","0","0","1","0","4","0","0","0","0"
"2020-03-28","0","0","0","","0","0","1","0","3","0","0","0","2","0","1","0","2"
"2020-03-29","0","1","0","","0","0","1","0","0","0","1","0","1","0","0","0","0"
"2020-03-30","0","0","1","","0","0","2","0","0","0","2","0","1","0","2","0","0"
"2020-03-31","0","1","0","","","0","6","2","7","1","9","","2","2","1","0","2"
"2020-04-01","1","0","1","","","0","5","3","5","0","3","","3","3","7","0","2"
"2020-04-02","0","1","0","","","0","1","1","3","1","8","","6","1","6","0","4"
"2020-04-03","3","0","1","","","0","5","3","8","1","10","","3","1","2","0","1"
"2020-04-04","0","3","1","","","0","2","1","7","0","0","","1","1","5","0","3"
"2020-04-05","0","3","3","","","0","2","0","0","0","3","","1","2","1","0","0"
"2020-04-06","1","0","0","","","1","2","1","4","0","6","","3","5","4","1","1"
"2020-04-07","3","5","8","","","0","6","4","17","0","21","","6","11","9","1","5"
"2020-04-08","1","2","7","","","0","15","4","7","0","12","","6","7","8","2","6"
"2020-04-09","0","0","0","","","0","0","0","0","0","0","","0","0","0","70","0"
"2020-04-10","0","0","0","","","0","0","0","0","0","0","","0","0","0","96","0"
"2020-04-11","4","2","16","","","0","41","2","30","2","57","","38","18","31","-166","12"
"2020-04-12","1","0","4","","","0","10","2","10","1","12","","12","4","7","-1","8"
"2020-04-13","0","0","0","","","0","0","0","0","0","0","","0","0","0","88","0"
"2020-04-14","0","0","0","","","0","0","0","0","0","0","","0","0","0","0","0"
"2020-04-15","2","1","13","","","0","39","0","49","0","72","","56","34","59","-86","25"
"2020-04-16","0","0","0","","","0","0","0","0","0","0","","0","0","0","0","0"
"2020-04-17","0","3","7","","","0","19","0","10","0","37","","26","4","19","2","10"
"2020-04-18","2","0","12","","","0","19","0","20","1","36","","22","12","24","3","8"
"2020-04-19","1","3","12","","","0","31","1","30","0","78","","49","26","48","1","22"
"2020-04-20","0","0","0","","","0","0","0","0","0","0","","0","0","0","0","0"
"2020-04-21","1","2","9","","","0","36","3","33","3","56","","46","10","49","-12","19"
"2020-04-22","0","0","0","","","0","0","0","0","0","0","","0","0","0","221","0"
"2020-04-23","0","0","0","","","0","0","0","0","0","0","","0","0","0","178","0"
"2020-04-24","0","0","0","","","0","0","0","0","0","0","","0","0","0","196","0"
"2020-04-25","15","2","34","","","0","91","3","71","10","201","","110","71","106","-590","50"
"2020-04-26","0","0","0","","","0","0","0","0","0","41","","0","0","0","128","0"
"2020-04-27","2","0","7","","","0","23","1","22","6","30","","29","28","57","-133","32"
"2020-04-28","0","0","18","","","0","24","0","9","1","31","","19","16","21","-3","14"
"2020-04-29","1","3","10","","","0","42","2","12","-1","71","","36","17","35","0","24"
"2020-04-30","3","1","7","","","0","23","2","15","4","43","","15","12","20","0","12"
"2020-05-01","2","1","10","","","0","12","0","8","2","40","","23","16","26","1","13"
"2020-05-02","1","0","5","","","0","24","0","6","1","38","","13","11","19","-2","14"
"2020-05-03","1","0","11","","","0","15","0","11","3","49","","15","11","19","3","20"
"2020-05-04","0","0","7","","","0","13","0","10","0","25","","5","10","8","0","8"
"2020-05-05","1","0","5","","","0","15","0","7","11","31","","20","8","13","0","11"
"2020-05-06","7","1","13","","","0","34","1","10","0","42","","21","16","33","-4","34"
"2020-05-07","2","0","9","","","0","17","1","9","1","33","","12","7","21","0","20"
"2020-05-08","4","0","20","","","0","23","2","7","0","29","","15","11","20","0","19"
"2020-05-09","5","0","8","","","0","24","1","4","2","37","","12","9","20","0","16"
"2020-05-10","2","0","6","","","0","19","0","4","5","38","","15","9","15","2","24"
"2020-05-11","5","0","8","","","0","25","0","9","2","28","","11","15","13","0","13"
"2020-05-12","0","0","4","","","0","9","0","6","0","9","","2","1","1","-1","2"
"2020-05-13","6","0","10","","","0","26","1","11","7","38","","13","15","17","0","30"
"2020-05-14","3","0","9","","","0","21","0","12","2","45","","20","11","10","-1","35"
"2020-05-15","4","0","6","","","1","26","0","7","1","20","","14","9","9","-1","14"
"2020-05-16","4","0","10","","","-1","15","1","12","2","23","","9","11","10","1","16"
"2020-05-17","3","0","7","","","0","10","0","10","3","24","","6","5","9","0","15"
