"date","Himachal Pradesh/Bilaspur","Himachal Pradesh/Chamba","Himachal Pradesh/Hamirpur","Himachal Pradesh/Kangra","Himachal Pradesh/Kinnaur","Himachal Pradesh/Kullu","Himachal Pradesh/Lahaul and Spiti","Himachal Pradesh/Mandi","Himachal Pradesh/Shimla","Himachal Pradesh/Sirmaur","Himachal Pradesh/Solan","Himachal Pradesh/Una"
"2020-03-20","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","",""
"2020-04-04","","","","","","","","","","","",""
"2020-04-05","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","",""
"2020-04-07","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","",""
"2020-04-17","","","","","","","","","","","",""
"2020-04-27","","","","","","","","","","","","   .00 %"
"2020-04-30","","","","","","","","","","","","   .00 %"
"2020-05-01","","","","","","","","","","","",""
"2020-05-02","","","","","","","","","","","","   .00 %"
"2020-05-03","","","","","","","","","","","","   .00 %"
"2020-05-04","","","","","","","","","","","",""
"2020-05-05","","","","","","","","","","","",""
"2020-05-06","","","","   .00 %","","","","","","","",""
"2020-05-07","","   .00 %","","","","","","","","","",""
"2020-05-08","","   .00 %","","   .00 %","","","","","","","","   .00 %"
"2020-05-09","","","","   .00 %","","","","","","","",""
"2020-05-10","","   .00 %","","   .00 %","","","","","","","",""
"2020-05-11","","","","   .00 %","","","","","","","",""
"2020-05-12","","","","   .00 %","","","","","","","",""
"2020-05-13","","","","   .00 %","","","","","","","",""
"2020-05-14","","","   .00 %","   .00 %","","","","","","   .00 %","",""
"2020-05-15","","","","   .00 %","","","","","","","","   .00 %"
"2020-05-16","","   .00 %","   .00 %","   .00 %","","","","","","","",""
"2020-05-17","","","   .00 %","   .00 %","","","","","","","",""
"2020-05-18","","   .00 %","   .00 %","   .00 %","","","","","","","","   .00 %"
"2020-05-19","","","   .00 %","   .00 %","","","","","","","","   .00 %"
"2020-05-20","","   .00 %","   .00 %","   .00 %","","","","","","","",""
"2020-05-21","","   .00 %","   .00 %","   .00 %","","","","","","","   .00 %",""
"2020-05-22","","","   .00 %","   .00 %","","","","","","","",""
"2020-05-23","","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %"
"2020-05-24","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %"
"2020-05-25","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","","",""
"2020-05-26","","   .00 %","   .00 %","   .00 %","","","","","   .00 %","","","   .00 %"
"2020-05-27","   .00 %","","   .00 %","   .00 %","","",""," 20.00 %","   .00 %","","","   .00 %"
"2020-05-28","   .00 %","","   .00 %","   .00 %","","",""," 20.00 %","","","   .00 %",""
"2020-05-29","","","   .00 %","   .00 %","","","","","","","","   .00 %"
"2020-05-30","","","   .00 %","   .00 %","","",""," 20.00 %","","","   .00 %","   .00 %"
"2020-05-31","","","   .00 %","   .00 %","","","","","","","   .00 %","   .00 %"
"2020-06-01","","   .00 %","   .00 %","","","",""," 20.00 %","","","   .00 %","   .00 %"
"2020-06-02","   .00 %","","   .00 %","   .00 %","","",""," 20.00 %","","   .00 %","","   .00 %"
"2020-06-03","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","","","   .00 %"
"2020-06-04","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-05","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %"
"2020-06-06","","   .00 %","   .00 %","   .00 %","","","","","","","","   .00 %"
