"date","Arunachal Pradesh/Anjaw","Arunachal Pradesh/Changlang","Arunachal Pradesh/East Kameng","Arunachal Pradesh/East Siang","Arunachal Pradesh/Kamle","Arunachal Pradesh/Kra Daadi","Arunachal Pradesh/Kurung Kumey","Arunachal Pradesh/Lepa Rada","Arunachal Pradesh/Lohit","Arunachal Pradesh/Longding","Arunachal Pradesh/Lower Dibang Valley","Arunachal Pradesh/Lower Siang","Arunachal Pradesh/Lower Subansiri","Arunachal Pradesh/Namsai","Arunachal Pradesh/Pakke Kessang","Arunachal Pradesh/Papum Pare","Arunachal Pradesh/Shi Yomi","Arunachal Pradesh/Siang","Arunachal Pradesh/Tawang","Arunachal Pradesh/Tirap","Arunachal Pradesh/Upper Dibang Valley","Arunachal Pradesh/Upper Siang","Arunachal Pradesh/Upper Subansiri","Arunachal Pradesh/West Kameng","Arunachal Pradesh/West Siang","Arunachal Pradesh/siang"
"2020-08-19","38","334","159","194","","","","23","122","19","","74","41","186","","1097","","","80","92","1","34","93","221","91",""
"2020-08-20","40","366","169","213","2","","","23","128","","38","78","41","186","","1107","7","","82","","","34","94","241","99",""
"2020-08-21","","377","173","218","","","","","","","38","80","","190","3","1123","","","85","92","","34","","251","102",""
"2020-08-22","","","177","220","3","","","","129","19","38","81","","191","","1145","","","109","92","","","118","267","103",""
"2020-08-23","41","384","177","221","","","","24","129","","","82","42","","","1156","","","110","93","","","119","273","111",""
"2020-08-24","","386","179","224","","","","25","130","","38","85","","191","4","1167","8","","119","95","","35","119","285","",""
"2020-08-25","","399","179","240","","","","","130","21","38","89","","194","14","1192","9","","123","97","","","126","294","115",""
"2020-08-26","42","402","195","264","","2","","26","131","","42","90","49","195","21","1230","","","123","106","","43","133","304","118",""
"2020-08-27","43","406","197","267","","","","28","133","","","92","","","22","1252","10","","126","111","","57","133","319","119",""
"2020-08-28","46","410","202","275","","","","30","","21","","102","","195","24","1293","","22","131","113","","","133","329","122",""
"2020-08-29","46","413","209","285","","","","","135","22","44","106","49","","27","1336","10","23","143","121","","61","","356","127",""
"2020-08-30","46","459","209","294","","","","","","","46","118","51","","","1361","12","42","153","130","","64","138","358","138",""
"2020-08-31","47","467","214","298","3","","","","136","","48","122","52","196","","1389","14","","160","132","","","139","367","140",""
"2020-09-01","52","477","221","304","3","3","1","","137","","49","123","","","","1438","","","165","135","","68","139","372","141",""
"2020-09-02","","481","","307","","","3","50","139","24","51","124","53","198","27","1475","","","179","163","","69","144","378","159",""
"2020-09-03","","509","222","313","","","","51","141","32","61","124","56","198","28","1540","16","","182","200","1","72","145","385","195",""
"2020-09-04","","518","","318","","4","","53","147","37","70","125","60","199","28","1613","17","","195","202","","73","155","401","237",""
"2020-09-05","52","525","227","320","","4","7","59","151","45","74","125","60","201","","1678","18","","203","209","","73","156","403","250",""
"2020-09-06","52","526","227","327","","","8","63","154","57","","125","60","","","1708","19","","204","213","","75","156","406","267",""
"2020-09-07","77","536","233","341","","","8","","165","71","85","132","64","204","28","1765","20","","206","213","","75","","409","279",""
"2020-09-08","","547","236","362","","","10","65","175","71","91","136","73","207","","1891","20","","208","214","","81","157","409","293",""
"2020-09-09","","558","239","373","","4","11","69","178","","106","137","80","209","","1947","21","42","210","217","","81","161","420","302",""
"2020-09-10","77","558","239","385","","","12","69","182","73","116","137","91","210","","2023","21","","210","219","","85","163","421","303",""
"2020-09-11","","564","241","395","","","16","74","184","","120","140","100","211","28","2111","","43","211","","","89","165","422","313",""
"2020-09-12","78","586","","401","","","20","78","185","76","122","","102","212","","2177","","","218","222","","99","167","","315",""
"2020-09-13","79","593","242","407","","","","78","190","83","138","146","108","212","29","2253","21","","222","222","4","102","","424","317",""
"2020-09-14","","613","243","417","","","","80","191","86","143","152","117","","31","2343","21","44","227","224","","104","168","434","323",""
"2020-09-15","78","623","","422","","","19","80","193","90","145","152","124","214","32","2450","21","","234","226","","104","170","449","327",""
"2020-09-16","83","635","251","434","","","19","82","193","93","154","152","137","214","","2581","","","239","232","","107","171","449","343",""
"2020-09-17","91","636","252","438","","","23","83","198","94","154","152","147","216","","2677","","","243","232","","108","173","460","351",""
"2020-09-19","","655","262","445","","","24","83","200","107","160","","153","219","35","2796","","","243","237","","110","175","466","392",""
"2020-09-20","","657","265","445","","","25","86","200","113","161","155","153","","38","2874","","","244","239","","110","","484","406",""
"2020-09-21","92","675","267","453","","","28","88","","120","162","166","156","222","50","2984","","44","252","239","","113","180","487","416",""
"2020-09-22","99","697","267","461","","5","30","90","201","122","164","171","163","223","53","3127","","","258","240","","117","201","489","425",""
"2020-09-23","105","714","268","474","","7","30","90","209","128","169","173","163","231","62","3309","","45","259","241","","123","208","495","433",""
"2020-09-24","","723","271","484","","","30","90","213","154","169","","172","233","63","3483","24","46","260","263","","125","219","496","437",""
"2020-09-25","105","745","272","490","","","36","94","218","154","171","175","183","239","64","3612","","46","263","266","4","130","225","535","441",""
"2020-09-26","","759","273","511","4","","46","","","159","172","179","188","240","","3706","","","275","269","","132","232","545","448",""
"2020-09-27","107","760","","519","","25","50","94","219","161","172","186","189","242","","3774","","","277","271","4","","235","546","461",""
"2020-09-28","108","768","275","531","","","56","","232","161","176","207","191","246","66","3977","","","277","276","","","247","555","485",""
"2020-09-29","","780","","543","","","61","95","234","162","178","220","195","252","67","4083","","48","282","286","","","267","555","504",""
"2020-09-30","108","795","277","550","","28","70","100","235","165","178","226","196","255","69","4214","","","286","294","","134","280","568","519",""
"2020-10-01","108","803","280","555","","29","75","100","255","170","184","240","200","259","70","4308","25","50","292","304","","136","287","570","543",""
"2020-10-02","145","805","282","560","","","80","102","256","171","191","241","203","259","70","4401","25","","298","308","","141","288","577","561",""
"2020-10-03","146","821","283","570","15","","81","106","265","176","194","243","211","267","74","4482","26","","300","322","","141","289","582","575",""
"2020-10-04","","836","290","573","","","77","112","267","177","195","246","218","267","74","4535","","50","307","326","","146","289","589","585",""
"2020-10-05","150","856","293","582","","30","80","113","297","182","196","254","223","268","76","4608","","53","315","335","","146","294","591","627",""
"2020-10-06","151","884","293","599","","","","121","299","183","202","257","232","272","","4701","","","316","351","","151","298","594","650",""
"2020-10-07","151","894","293","623","15","","86","123","300","183","209","259","234","277","","4846","","54","317","365","11","155","303","597","671",""
"2020-10-08","","902","294","636","","30","86","135","309","186","210","260","238","277","80","4936","","","317","386","13","159","311","602","697",""
"2020-10-09","","943","294","643","","31","88","","328","189","214","261","242","280","86","5043","","57","323","403","16","163","324","605","731",""
"2020-10-10","","979","296","660","","","","143","335","191","219","263","248","283","86","5134","","57","323","418","","166","328","608","765",""
"2020-10-11","","984","297","667","","","92","153","","193","222","263","255","293","86","5210","26","","323","424","","169","","614","774",""
"2020-10-12","152","995","301","683","18","31","93","153","343","197","232","265","260","295","87","5300","","59","324","435","","175","341","620","797",""
"2020-10-13","155","1013","301","704","18","","95","153","354","199","242","265","262","296","87","5383","","","325","442","","177","347","620","822",""
"2020-10-14","157","1025","301","717","19","","97","161","363","201","266","265","268","301","91","5449","","64","326","453","","181","","634","840",""
"2020-10-17","160","1032","","738","20","32","98","163","369","203","270","266","277","312","","5528","","66","","458","19","185","352","636","850",""
"2020-10-18","","1035","302","739","","","98","164","370","204","272","268","277","313","91","5553","27","67","328","460","19","191","","638","856",""
"2020-10-19","","1049","302","771","20","","99","166","409","206","276","268","282","318","94","5595","","84","331","472","19","198","363","648","885",""
"2020-10-20","","1050","303","785","","","100","166","411","207","296","","286","326","97","5635","27","86","340","474","","205","372","650","894",""
"2020-10-21","","1057","304","807","","","","167","433","207","301","269","289","327","","5676","","90","340","482","20","211","372","653","902",""
"2020-10-22","161","1062","304","830","20","","100","","476","211","303","270","289","340","101","5710","","92","342","487","20","217","374","661","912",""
"2020-10-23","161","1065","","832","","","","168","487","212","303","","289","341","","5730","28","95","343","490","","226","374","671","914",""
"2020-10-24","","1073","304","835","","","100","168","490","212","305","","291","","101","5755","28","96","345","490","","238","378","673","916",""
"2020-10-25","","1076","","837","","","","168","","213","306","270","291","341","","5770","","","348","490","","241","","676","918",""
"2020-10-26","161","1078","","846","20","33","100","174","499","215","313","271","292","348","101","5831","","97","349","494","20","249","384","680","935",""
"2020-10-27","161","1082","304","859","20","33","","","501","219","316","","297","353","102","5850","","","351","497","22","251","387","681","947",""
"2020-10-28","","1088","","865","20","34","","179","507","222","323","","309","354","103","5880","","105","357","498","","254","392","682","953",""
"2020-10-29","","1090","304","877","","35","","179","511","223","327","","311","355","105","5916","","","360","501","","257","396","683","962",""
"2020-10-30","167","1091","","880","21","","","","515","224","327","271","312","360","105","5954","","109","361","504","22","262","401","684","967",""
"2020-10-31","167","1092","305","888","22","","","184","524","225","331","271","320","362","106","5983","28","","371","508","","267","402","688","973",""
"2020-11-01","","1092","305","889","","","","185","","225","331","","","363","106","5999","28","110","371","508","","268","403","693","975",""
"2020-11-02","168","1099","","905","","","105","189","525","","340","","332","365","111","6034","","","377","510","","272","406","697","976",""
"2020-11-03","","1099","","910","23","","106","189","531","227","344","272","334","367","112","6053","34","","384","515","","273","","715","980",""
"2020-11-04","170","1099","","915","","","","190","532","230","349","272","338","368","","6076","36","113","384","520","","280","414","719","983",""
"2020-11-05","","1105","","919","","36","107","192","532","230","363","","342","371","","6100","53","","","521","","283","414","722","984",""
"2020-11-06","173","1112","","924","","","","201","533","231","364","273","342","375","114","6115","69","113","","525","22","283","415","728","989",""
"2020-11-07","174","1115","","932","","","","203","533","232","377","","342","375","114","6130","81","","384","527","","287","","729","991",""
"2020-11-08","176","1115","","933","","","","204","533","232","377","","343","376","114","6146","87","","385","528","","298","","734","992",""
"2020-11-09","178","1118","306","","","36","107","209","536","233","380","275","343","377","","6161","89","","385","532","","299","415","738","993",""
"2020-11-10","180","1127","","956","23","","","210","537","233","385","","345","382","116","6190","90","","386","533","","299","419","745","997",""
"2020-11-11","181","1132","","963","23","","","221","","234","391","","","388","117","6203","93","114","387","539","","","419","755","1001",""
"2020-11-12","","1137","306","967","23","","","222","540","235","393","275","345","","117","6216","","","","539","","302","422","762","1003",""
"2020-11-13","183","","","976","24","","","228","","235","395","","345","389","117","6234","93","114","390","541","","303","422","774","1003",""
"2020-11-14","","1138","","982","","","107","231","540","235","395","","346","389","","6247","","114","","541","","303","422","783","1004",""
"2020-11-15","","1138","","982","","","","","","236","399","275","346","","","6252","93","","393","","","308","","785","1004",""
"2020-11-16","185","1146","","988","","36","108","232","541","236","400","","","390","117","6268","","","","541","","317","424","791","1006",""
"2020-11-17","","","","994","","","","232","","","406","","","","118","6281","94","","395","541","","319","","795","1007",""
"2020-11-18","185","1149","","1000","","","108","237","542","","408","","346","","119","6288","95","114","396","541","","320","","808","",""
"2020-11-19","185","1150","","1004","","","","240","543","236","411","","347","","","6293","95","116","397","542","","324","424","812","1008",""
"2020-11-20","185","1153","306","1006","","","","","","","412","","348","","120","6297","95","","399","542","","325","425","817","1012",""
"2020-11-21","186","1156","","1015","","36","108","243","544","","413","276","","","120","6306","95","119","400","542","","325","425","820","1013",""
"2020-11-22","","1165","","","","","","245","","237","414","277","","","","6312","96","","","544","","","425","820","1014",""
"2020-11-23","186","1167","","1015","24","","","247","","","416","","","396","","6319","97","","400","545","","325","","829","1015",""
"2020-11-24","187","1169","","1025","","","","249","","239","417","278","348","398","121","6327","97","","402","547","","331","","840","1016",""
"2020-11-25","187","1169","","","","","","255","544","239","420","","349","400","","6339","97","121","404","","","331","426","841","",""
"2020-11-26","189","","307","1029","","","110","258","544","","420","279","","401","","6346","","","","548","","331","426","846","1019",""
"2020-11-27","190","1175","","","","","","259","","","420","","","401","121","6357","","","407","549","","331","426","850","1019",""
"2020-11-28","","1178","","1032","","37","","262","544","","422","281","350","402","121","6364","97","","408","551","","332","","854","1019",""
"2020-11-29","","1178","","","","","","262","544","","422","","350","404","","6366","","121","408","","","332","426","857","",""
"2020-11-30","","1178","","1032","","","110","264","544","","423","281","350","","","6373","","","410","552","","332","","857","1019",""
"2020-12-01","190","1178","","1032","","","","266","","","423","","","","","6378","","","411","552","","","","863","",""
"2020-12-26","","1179","","1036","","","","266","","239","423","","","","","6378","97","","413","","","","","865","",""
"2020-12-27","","1179","","1036","","","","","","","","","","","","6379","","121","413","","","","","866","",""
"2020-12-28","","","","1036","","","","","544","","425","","","404","","6382","","","415","552","","","426","","1019",""
"2020-12-29","","","","1037","","","","266","545","","425","","","","","6384","","","422","","","","","868","1019",""
"2020-12-30","","1179","","1038","","","","","","","","","","","","6384","","","423","552","","","","","",""
"2020-12-31","","","","1039","","","","","547","","","","","405","","6385","","","426","","","332","","868","",""
"2021-01-01","","","","","","","","","","","","281","","","","6385","","","","","","","","","",""
"2021-01-02","","","","1040","","","","268","","240","425","","","","","6387","","","426","","","","","870","",""
"2021-01-03","","","","1040","","","","269","","","","","","405","","","","","430","","","","","870","",""
"2021-01-04","","1179","","1044","","","","270","","","","","","405","","6390","","121","431","","","","","870","1019",""
"2021-01-05","","","","1045","","","","","548","","","","","","122","6390","","","431","","","","","","",""
"2021-01-06","","1180","","1048","","","","271","","","","","","","","6393","","","432","","","","","","",""
"2021-01-07","","","","1050","","","","","","","","","","","","6393","","","","553","","","","871","1019",""
"2021-01-08","","","","1051","","","","273","548","","425","","","","124","6395","","","432","","","","","","",""
"2021-01-09","","","","1051","","","","273","548","240","","","","","","6397","","","433","","","","","","",""
"2021-01-10","","","","1051","","","","274","","","","282","","","","6400","","","","","","","","","",""
"2021-01-11","","1183","","1052","","","","274","549","","","","","","","6400","","","433","","","","","871","",""
"2021-01-12","","1184","","1052","","","","274","","","","","","405","","6400","","","435","","","","","873","",""
"2021-01-13","","","","","","","","","","","","","","","","6401","","","435","","","","","","",""
"2021-01-14","","","","1052","25","","","","","","","","","","","6402","","","","","","","","886","",""
"2021-01-15","","1185","","1053","","","","274","","","","","","","124","6404","","","435","","","","","","",""
"2021-01-16","","","","1053","","","","","","","","","","","","6404","","","","553","","","","892","",""
"2021-01-17","","","","1053","","","","","549","","","","","","","6404","","","437","","","","","893","",""
"2021-01-18","","","","1054","","","","","","","","282","","","","","","","","","","","","","",""
"2021-01-19","","1187","","","","","","","","","","","","","124","6405","","","437","","","","","893","",""
"2021-01-20","","1187","","","","","","","","","","","","","","6405","","","","553","","","","","",""
"2021-01-21","","1187","","1055","","","","274","","","","","","","","6405","","","437","","","","","893","",""
"2021-01-22","","","","","","","","275","","","","","","","","6405","","","437","","","","","","",""
"2021-01-23","","","","","","","","","549","","","","","","","","","","","","","333","","","",""
"2021-01-24","","","","","25","","","","","","","","","","","","","","","","","","","894","",""
"2021-01-25","","1187","","1055","","","","","","","","","","","","6405","","","","","","","","895","",""
"2021-01-26","","","","","","","","","","","","","","","","6406","","","","","","","","","",""
"2021-01-27","","","","","","","","","","","","","","","","6408","","","438","","","","","","",""
"2021-01-28","","1188","","1055","","","","","","","","","","","","6409","","","","","","","","896","",""
"2021-01-29","","","","","","","","","","","","","","","","6409","","","","","","","","896","",""
"2021-01-30","","","","1056","","","","","","","","","","","","","","","","","","","","","",""
"2021-01-31","","","","1056","","","","","","","","","","","","","","","","","","","","","",""
"2021-02-01","","","","","","","","275","","","","","","","","6409","","","","","","","","896","",""
"2021-02-02","","","","","","","","","","","426","","","","","","","","","","","","","","",""
"2021-02-03","","","","","","","","","","","","","","","","","","","","","","","","896","",""
"2021-02-04","","","","","","","","","","","","","","","","","","","","","","333","","","",""
"2021-02-06","","","","","","","","","550","","","","","","","6409","","","438","","","","","","",""
"2021-02-08","","1188","","","","","","","","","","","","","","6409","","","","","","","","","1020",""
"2021-02-09","","","","1056","","","","","","","","","","","","","","","","","","","","","",""
"2021-02-11","","","","","","","","","","","","","","406","","","","","","","","","","","",""
"2021-02-13","","","","","","","","","","","426","","","","","","","","","","","","","","",""
"2021-02-14","","","","","","","","","","","","","","","","","","","","","","","","896","",""
"2021-02-15","","","","","","","","","550","","","","","","","","","","","","","","","897","",""
"2021-02-18","","","","","","","","","","","","","","409","","","","","","","","","","897","",""
"2021-02-23","","","","","","","","","","","","","","409","","","","","","","","","","","",""
"2021-02-25","","","","","","","","","","","","","","","","","","","","","","","","","1020",""
"2021-02-27","","","","","","","","","","","","","","409","","","","","","","","","","","",""
"2021-03-01","","","","","","","","","","","","","","","","","","","","554","","","","","",""
"2021-03-02","","","","","","","","","","","","","","","","","","","","555","","","","","",""
"2021-03-05","","","","","","","","","","","","","","","","6410","","","","","","","","","",""
"2021-03-10","","1189","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-03-13","","","","","","","","","","","","","","","","6410","","","","","","","","","",""
"2021-03-15","","","","","","","","","","","","","","","","","","","","555","","","","","",""
"2021-03-16","","","","","","","","","","","","","","","","6411","","","","","","","","","",""
"2021-03-18","","","","","","","","","","","","","","","","","","","","","","","","898","",""
"2021-03-22","","1189","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-03-24","","","","","","","","","","","","","","","","6411","","","","","","","","","",""
"2021-03-26","","","","","","","","","","","427","","","","","","","","","","","","","","",""
"2021-03-27","","","","","","","","","","","429","","","","","","","","","","","","","","",""
"2021-04-02","","","","","","","","","","","","","","","","6412","","","","","","","","","",""
"2021-04-03","","","","","","","","","","","","","","","","","","","","557","","","427","","",""
"2021-04-05","","1190","","","","","","","","","430","","","","","","","","","","","","","","",""
"2021-04-06","","","","","","","","","","","430","","","","","6413","","","","","","","428","","",""
"2021-04-07","","","","","","","","","551","","432","","","411","","6415","","","","","","","","899","",""
"2021-04-08","","","","","","","","278","","","439","","","412","","6416","","","","","","","","","",""
"2021-04-09","","","","","","","","","","","441","","","","","6416","","","","","","","","","",""
"2021-04-10","","1191","","","","","","","","","442","","","","","6417","","","","","","","","899","",""
"2021-04-11","","","","","","","","","","","","","","","","6420","","","","","","","","900","",""
"2021-04-12","","","","","","","","","","","446","","","","","6422","","","","","","","428","","",""
"2021-04-13","","","","1057","","","","","552","","451","","","413","","6428","","","","","","","","","",""
"2021-04-14","","","","1059","","","","","","","453","","","","","6434","","","","","","","","","",""
"2021-04-15","","1191","","","","","","278","","","456","","","","","6437","","","439","557","","","","901","",""
"2021-04-16","","","309","1060","","","","279","","","463","","","415","","6447","","","","","","","","906","",""
"2021-04-17","","","","1061","","","","","553","","465","","351","417","","6456","","","","","","334","428","908","",""
"2021-04-18","","1192","","1066","","","","","","","474","","","","","6461","","","","","","","","908","",""
"2021-04-19","","1193","","1070","","","","283","554","","479","","355","418","","6497","","","441","","","","","915","",""
"2021-04-20","","","","1073","","","","","555","","488","","356","","","6521","","","445","563","","","","927","1021",""
"2021-04-21","","1195","","1076","","","","","557","","504","","","419","125","6555","","","445","","","","","941","",""
"2021-04-22","","1201","","1088","","","","","561","","534","283","363","427","","6632","","","447","","","","429","974","1022",""
"2021-04-23","","1205","","1094","","","","284","564","","572","","366","429","","6680","","","452","565","","","","992","1026",""
"2021-04-24","193","1209","310","1104","","","","","567","","592","","371","433","128","6726","","","455","566","","","431","1003","1027",""
"2021-04-25","","1214","","","","","","","567","","612","284","","435","129","6738","","","462","","","","432","1015","",""
"2021-04-26","","1217","","1113","","38","","285","572","241","658","286","378","437","140","6793","","","467","573","","335","436","1023","",""
"2021-04-27","194","1220","310","1122","","","","286","574","","680","289","393","439","141","6837","","","475","575","","","","1029","1031",""
"2021-04-28","197","1227","311","1125","","39","","286","583","246","723","290","398","442","142","6893","","","481","578","","336","437","1042","1034",""
"2021-04-29","198","1232","","1130","","","111","","589","254","777","291","402","446","144","6979","","","485","579","23","","437","1051","1036",""
"2021-04-30","203","1246","","1133","","","","287","594","256","805","","415","447","","7038","","","492","582","24","340","442","1061","1038",""
"2021-05-01","210","1261","","1147","","","","299","596","257","823","295","423","451","","7148","98","","496","587","","","","1069","1042",""
"2021-05-02","","1268","","1148","","","","","601","","830","296","433","453","","7204","","","497","590","","341","","1077","",""
"2021-05-03","216","1275","314","1165","","","","303","610","258","852","","446","458","","7303","","","500","596","24","344","442","1097","1044",""
