"date","Nagaland/Dimapur","Nagaland/Kiphire","Nagaland/Kohima","Nagaland/Longleng","Nagaland/Mokokchung","Nagaland/Mon","Nagaland/Nagaland","Nagaland/Others","Nagaland/Peren","Nagaland/Phek","Nagaland/Tuensang","Nagaland/Wokha","Nagaland/Zunheboto","Nagaland/mon"
"2020-05-25","","","","","","","","","","","","","",""
"2020-05-26","","","","","","","","","","","","","",""
"2020-05-27","","","","","","","","","","","","","",""
"2020-05-28","","","","","","","","","","","","","",""
"2020-05-29","","","","","","","","","","","","","",""
"2020-05-30","","","","","","","","","","","","","",""
"2020-05-31","","","","","","","","","","","","","",""
"2020-06-02","","","","","","","","","","","","","",""
"2020-06-04","","","","","","","","","","","","","",""
"2020-06-06","","","","","","","","","","","","","",""
"2020-06-07","","","","","","","","","","","","","",""
"2020-06-08","","","","","","","","","","","","","",""
"2020-06-09","","","","","","","","","","","","","",""
"2020-06-10","","","","","","","","","","","","","",""
"2020-06-11","","","","","","","","","","","","","",""
"2020-06-12","","","","","","","","","","","","","",""
"2020-06-13","","","","","","","","","","","","","",""
"2020-06-14","","","","","","","","","","","","","",""
"2020-06-15","","","","","","","","","","","","","",""
"2020-06-16","","","","","","","","","","","","","",""
"2020-06-17","","","","","","","","","","","","","",""
"2020-06-18","","","","","","","","","","","","","",""
"2020-06-19","","","","","","","","","","","","","",""
"2020-06-20","","","","","","","","","","","","","",""
"2020-06-21","","","","","","","","","","","","","",""
"2020-06-22","","","","","","","","","","","","","",""
"2020-06-23","","","","","","","","","","","","","",""
"2020-06-24","","","","","","","","","","","","","",""
"2020-06-25","","","","","","","","","","","","","",""
"2020-06-26","","","","","","","","","","","","","",""
"2020-06-27","","","","","","","","","","","","","",""
"2020-06-28","","","","","","","","","","","","","",""
"2020-06-29","","","","","","","","","","","","","",""
"2020-06-30","","","","","","","","","","","","","",""
"2020-07-01","","","","","","","","","","","","","",""
"2020-07-02","","","","","","","","","","","","","",""
"2020-07-03","","","","","","","","","","","","","",""
"2020-07-04","","","","","","","","","","","","","",""
"2020-07-05","","","","","","","","","","","","","",""
"2020-07-06","","","","","","","","","","","","","",""
"2020-07-07","","","","","","","","","","","","","",""
"2020-07-08","","","","","","","","","","","","","",""
"2020-07-09","","","","","","","","","","","","","",""
"2020-07-10","","","","","","","","","","","","","",""
"2020-07-11","","","","","","","","","","","","","",""
"2020-07-12","","","","","","","","","","","","","",""
"2020-07-13","","","","","","","","","","","","","",""
"2020-07-14","","","","","","","","","","","","","",""
"2020-07-15","","","","","","","","","","","","","",""
"2020-07-16","","","","","","","","","","","","","",""
"2020-07-17","","","","","","","","","","","","","",""
"2020-07-18","","","","","","","","","","","","","",""
"2020-07-19","","","","","","","","","","","","","",""
"2020-07-20","","","","","","","","","","","","","",""
"2020-07-21","","","","","","","","","","","","","",""
"2020-07-22","","","","","","","","","","","","","",""
"2020-07-23","","","","","","","","","","","","","",""
"2020-07-24","1","","","","","","","","","","","","",""
"2020-07-25","4","","","","","","","","","","","","",""
"2020-07-26","4","","","","","","","","","","","","",""
"2020-07-27","5","","","","","","","","","","","","",""
"2020-07-28","4","","","","","","","","","","","","",""
"2020-07-29","4","","","","","","","","","","","","",""
"2020-07-30","4","","","","","","","","","","","","",""
"2020-07-31","4","","","","","","","","","","","","",""
"2020-08-01","4","","","","","","","","","","","","",""
"2020-08-02","4","","","","","","","","","","","","",""
"2020-08-03","4","","","","","","","","","","","","",""
"2020-08-04","4","","","","","","","","","","","","",""
"2020-08-05","6","","","","","","","","","","","","",""
"2020-08-06","6","","","","","","","","","","","","",""
"2020-08-07","6","","1","","","","","","","","","","",""
"2020-08-08","6","","1","","","","","","","","","","",""
"2020-08-09","7","","1","","","","","","","","","","",""
"2020-08-10","7","","1","","","","","","","","","","",""
"2020-08-11","7","","0","","","","","","","","","","",""
"2020-08-12","7","","0","","","","","","","","","","",""
"2020-08-13","7","","0","","","","","","","","","","",""
"2020-08-14","7","","0","","","","","","","","","","",""
"2020-08-15","7","","0","","","","","","","","","","",""
"2020-08-16","7","","0","","","","","","","","","","",""
"2020-08-17","7","","0","","","","","","","","","","",""
"2020-08-18","7","","0","","","","","","","","","","",""
"2020-08-19","7","","0","","","","","","","","","","",""
"2020-08-20","7","","0","","","","","","","","","","",""
"2020-08-21","7","","0","","","","","","","","","","",""
"2020-08-22","8","","0","","","","","","","","","","",""
"2020-08-23","8","","0","","","","","","","","","","",""
"2020-08-24","8","","0","","","","","","","","","","",""
"2020-08-25","8","","0","","","","","","","","","","",""
"2020-08-26","8","","0","","","","","","","","","","",""
"2020-08-27","8","","0","","","","","","","","","","",""
"2020-08-28","8","","0","","","","","","","","","","",""
"2020-08-29","8","","0","","","","","","","","","","",""
"2020-08-30","8","","0","","","","","","","","","","",""
"2020-08-31","8","","0","","","","","","","","","","",""
"2020-09-01","8","","0","","","","","","","","","","",""
"2020-09-02","8","","0","","","","","","","","","","",""
"2020-09-03","8","","0","","","","","","","","","","",""
"2020-09-04","8","","0","","","","","","","","","","",""
"2020-09-05","8","","0","","","","","","","","","","",""
"2020-09-06","8","","0","","","","","","","","","","",""
"2020-09-07","8","","0","","","","","","","","","","",""
"2020-09-08","8","","0","","","","","","","","","","",""
"2020-09-09","8","","0","","","","","","","","","","",""
"2020-09-10","8","","0","","","","","","","","","","",""
"2020-09-11","8","","0","","","","","","","","","","",""
"2020-09-12","8","","0","","","","","","","","","","",""
"2020-09-13","8","","0","","","","","","","","","","",""
"2020-09-14","8","","0","","","","","","","","","","",""
"2020-09-15","9","","0","","","1","","","","","","","",""
"2020-09-16","9","","0","","","1","","","","","","","",""
"2020-09-17","9","","0","","","1","","","","","","","",""
"2020-09-18","9","","0","","","1","","","","","","","",""
"2020-09-19","9","","0","","","1","","","","","","","",""
"2020-09-20","9","","0","","","1","","","","","","","",""
"2020-09-21","9","","0","","","","","","","","","","",""
"2020-09-22","9","","0","","","1","","","","","","","",""
"2020-09-23","9","","0","","","2","","","","","","","",""
"2020-09-24","9","","0","","","2","","","","","","","",""
"2020-09-25","9","","0","","","2","","","","","","","",""
"2020-09-26","9","","0","","","2","","","","","","","",""
"2020-09-27","9","","0","","","2","","","","","","","",""
"2020-09-28","10","","0","","","2","","","","","","","",""
"2020-09-29","10","","0","","","2","","","","","","","",""
"2020-09-30","10","","0","","","2","","","","","","","",""
"2020-10-01","10","","0","","","2","","","","","","","",""
"2020-10-02","10","","0","","","2","","","","","","","",""
"2020-10-03","10","","0","","","","","","","","","","",""
"2020-10-04","10","","0","","","2","","","","","","","",""
"2020-10-05","10","","0","","","2","","","","","","","",""
"2020-10-06","10","","0","","","2","","","","","","","",""
"2020-10-07","10","","0","","","2","","","","","","","",""
"2020-10-08","10","","0","","","2","","","","","","","",""
"2020-10-09","10","","0","","","2","","","","","","","",""
"2020-10-10","10","","0","","","","","","","","","","",""
"2020-10-11","10","","0","","","2","","","","","","","",""
"2020-10-12","10","","1","","","","","","","","","","",""
"2020-10-13","10","","1","","1","2","","","","","","","",""
"2020-10-14","13","","1","","","2","","","","","","","",""
