"date","Pennsylvania/Adams","Pennsylvania/Allegheny","Pennsylvania/Armstrong","Pennsylvania/Beaver","Pennsylvania/Bedford","Pennsylvania/Berks","Pennsylvania/Blair","Pennsylvania/Bradford","Pennsylvania/Bucks","Pennsylvania/Butler","Pennsylvania/Cambria","Pennsylvania/Cameron","Pennsylvania/Carbon","Pennsylvania/Centre","Pennsylvania/Chester","Pennsylvania/Clarion","Pennsylvania/Clearfield","Pennsylvania/Clinton","Pennsylvania/Columbia","Pennsylvania/Crawford","Pennsylvania/Cumberland","Pennsylvania/Dauphin","Pennsylvania/Delaware","Pennsylvania/Elk","Pennsylvania/Erie","Pennsylvania/Fayette","Pennsylvania/Forest","Pennsylvania/Franklin","Pennsylvania/Fulton","Pennsylvania/Greene","Pennsylvania/Huntingdon","Pennsylvania/Indiana","Pennsylvania/Jefferson","Pennsylvania/Juniata","Pennsylvania/Lackawanna","Pennsylvania/Lancaster","Pennsylvania/Lawrence","Pennsylvania/Lebanon","Pennsylvania/Lehigh","Pennsylvania/Luzerne","Pennsylvania/Lycoming","Pennsylvania/McKean","Pennsylvania/Mercer","Pennsylvania/Mifflin","Pennsylvania/Monroe","Pennsylvania/Montgomery","Pennsylvania/Montour","Pennsylvania/Northampton","Pennsylvania/Northumberland","Pennsylvania/Perry","Pennsylvania/Philadelphia","Pennsylvania/Pike","Pennsylvania/Potter","Pennsylvania/Schuylkill","Pennsylvania/Snyder","Pennsylvania/Somerset","Pennsylvania/Sullivan","Pennsylvania/Susquehanna","Pennsylvania/Tioga","Pennsylvania/Unassigned","Pennsylvania/Union","Pennsylvania/Venango","Pennsylvania/Warren","Pennsylvania/Washington","Pennsylvania/Wayne","Pennsylvania/Westmoreland","Pennsylvania/Wyoming","Pennsylvania/York"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"2020-03-24","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"2020-03-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"2020-03-26","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"2020-03-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"2020-03-28","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","2","0","1","0","0","3","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"2020-03-29","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"2020-03-30","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"2020-03-31","0","0","0","1","0","0","0","0","-1","0","0","0","1","0","1","0","0","","0","0","0","1","1","","0","0","","0","","0","0","0","","0","1","1","1","0","1","1","0","0","0","0","0","1","0","0","0","0","2","0","0","0","1","0","","0","0","","0","0","0","0","0","0","","0"
"2020-04-01","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","","0","0","0","0","2","","0","1","","0","","0","0","0","","0","0","0","0","0","1","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","0","0","","0"
"2020-04-02","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","","0","0","0","0","1","","0","0","0","0","","0","0","0","","0","0","1","0","0","0","1","0","0","0","0","2","1","0","4","0","0","3","0","0","0","0","0","","0","0","","0","0","0","0","0","0","0","1"
"2020-04-03","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","2","","0","0","0","0","","0","0","0","","0","1","1","0","0","0","0","0","0","0","0","0","2","0","1","0","1","1","0","0","0","0","0","","0","0","","0","0","0","0","0","0","0","0"
"2020-04-04","0","1","0","4","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","","0","0","0","0","","0","0","0","","0","2","0","0","0","2","0","0","0","0","0","1","6","0","1","0","0","10","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"2020-04-05","0","1","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","0","0","0","0","0","0","0","0","","0","0","3","0","0","1","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"2020-04-06","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","1","","0","0","0","0","0","0","0","0","","0","1","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","17","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"2020-04-07","0","2","0","3","0","1","0","0","4","0","1","0","0","0","3","0","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","2","3","0","0","0","0","1","12","0","2","0","0","20","3","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","1"
"2020-04-08","0","4","0","4","0","8","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2","3","0","0","0","0","5","7","0","3","0","0","22","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"2020-04-09","1","2","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","4","3","0","0","1","1","0","0","0","0","2","0","0","3","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"2020-04-10","0","6","0","0","0","0","0","0","3","1","0","0","1","0","2","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","2","4","1","1","3","3","0","0","0","0","0","13","0","1","0","0","23","0","0","0","0","0","0","1","0","0","0","0","0","0","-1","5","0","0"
"2020-04-11","0","1","1","0","1","7","0","0","4","0","0","0","0","0","6","0","0","0","0","0","1","1","9","0","0","2","0","0","0","0","0","0","0","0","2","2","1","0","0","2","0","0","0","0","3","10","0","2","0","0","27","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"2020-04-12","0","0","0","0","0","1","0","0","3","1","0","0","0","0","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","1","3","0","0","0","0","39","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0"
"2020-04-13","0","2","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","4","0","0","0","0","1","2","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-04-14","0","3","0","1","0","6","0","0","3","1","0","0","0","0","3","0","0","0","0","0","1","1","5","0","0","0","0","0","0","0","0","0","0","0","3","32","0","0","4","5","0","0","0","0","3","11","0","2","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"2020-04-15","0","2","0","0","0","1","0","0","11","0","0","0","3","0","5","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","1","0","0","2","13","1","0","2","1","0","0","0","0","1","6","0","0","0","0","16","1","0","1","0","0","0","0","0","0","0","0","0","0","1","5","0","1"
"2020-04-16","0","12","0","0","0","3","0","0","8","0","0","0","0","0","1","0","0","0","0","0","0","2","11","0","0","0","0","0","0","0","0","1","0","0","2","-36","0","0","3","1","0","0","0","0","1","7","0","0","0","0","42","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1","0"
"2020-04-17","0","5","1","1","0","3","0","0","7","0","0","0","1","1","4","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","2","2","0","0","1","3","0","0","1","0","0","8","0","2","0","0","34","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-04-18","0","4","0","16","0","6","0","0","8","0","0","0","1","0","6","1","0","0","1","0","0","2","4","0","0","0","0","0","0","0","0","1","0","0","5","1","0","2","0","1","0","0","0","0","5","9","0","2","0","0","44","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"2020-04-19","0","3","0","1","0","25","0","1","9","0","0","0","0","0","6","0","0","0","2","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","6","62","0","0","3","2","0","0","0","0","4","58","0","7","0","0","23","0","0","0","0","0","0","2","0","0","0","0","0","0","1","3","0","2"
"2020-04-20","0","5","0","4","0","9","0","0","6","0","0","0","1","0","2","0","0","0","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","1","2","0","0","0","0","1","20","0","0","0","0","5","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"2020-04-21","1","12","0","7","0","8","0","4","26","1","1","0","2","1","21","0","0","0","1","0","2","2","18","0","0","0","0","10","0","0","0","0","0","0","12","6","1","3","16","14","2","0","0","0","7","39","0","7","0","0","24","3","0","2","0","0","0","0","1","0","0","0","1","0","0","4","0","7"
"2020-04-22","0","7","0","4","0","3","0","0","10","1","0","0","0","0","2","0","0","0","0","0","0","2","5","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","10","0","0","0","0","2","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"2020-04-23","0","0","0","0","0","1","0","0","0","-1","0","0","0","0","0","0","0","0","-1","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","1","0","0","49","0","0","-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-04-24","0","0","0","0","0","1","0","0","9","0","0","0","1","0","10","0","0","0","0","0","1","3","6","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","2","0","0","0","0","0","-22","0","1","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"2020-04-25","-1","-1","0","-1","0","1","0","-3","6","0","-1","0","0","-1","5","0","0","0","0","0","0","-1","11","0","0","0","0","0","0","0","0","0","0","0","2","32","0","-1","1","4","-2","0","0","0","-4","6","0","3","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","-1","0","0","-1","0","-6"
"2020-04-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-8","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","3","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-04-27","0","6","0","0","0","1","0","0","7","0","0","0","0","0","-1","0","0","0","0","0","1","3","1","0","2","0","0","0","0","0","0","0","0","0","0","12","0","0","5","4","0","0","0","0","1","15","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"2020-04-28","0","8","0","13","0","2","0","0","20","0","0","0","1","0","4","0","0","0","1","0","1","-1","19","0","0","0","0","2","0","0","0","0","0","0","8","12","0","1","8","3","0","0","0","0","2","17","0","6","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"2020-04-29","3","-1","0","6","0","25","0","0","17","0","0","0","1","0","16","0","0","0","6","0","5","1","63","0","0","0","0","2","0","0","0","0","0","1","10","0","1","1","8","8","0","0","0","0","6","80","0","30","0","0","25","2","0","0","0","0","0","4","0","0","0","0","0","0","2","5","0","0"
"2020-04-30","0","8","0","0","0","1","0","0","20","0","0","0","1","0","10","0","0","0","-1","0","1","4","11","0","0","0","0","0","0","0","0","0","0","0","1","6","0","0","2","6","0","0","0","0","0","22","0","9","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-05-01","0","5","0","2","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","0","0","0","1","0","0","0","0","0","0","1","3","0","0","6","4","1","0","0","0","0","11","0","0","0","0","97","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"2020-05-02","0","3","0","1","0","1","0","0","12","0","0","0","0","0","6","0","0","0","0","0","0","0","15","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","3","5","0","0","0","0","1","7","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0"
"2020-05-03","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","12","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-05-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","18","0","0","0","4","1","0","0","0","0","1","0","0","0","0","88","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-05-05","1","7","1","5","0","29","0","0","40","0","0","0","0","0","31","0","0","0","3","0","7","1","60","0","0","0","0","1","0","0","0","1","0","0","16","7","1","5","11","3","1","0","0","0","5","61","0","23","0","0","17","0","0","0","0","0","0","2","0","0","1","0","0","0","0","1","0","0"
"2020-05-06","0","2","0","3","0","1","0","0","24","0","0","0","1","0","7","0","0","0","0","0","1","0","8","0","0","0","0","0","0","0","0","0","0","0","3","8","0","0","8","3","0","0","0","0","0","28","0","5","0","0","60","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"2020-05-07","0","6","0","2","0","20","0","0","16","0","0","0","0","0","11","0","0","0","5","0","5","4","50","1","0","0","0","2","0","0","0","0","0","0","6","10","0","1","9","7","0","1","0","0","3","35","0","30","0","0","13","2","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","2"
"2020-05-08","0","2","0","0","0","0","0","0","11","0","0","0","0","0","9","0","0","0","-1","0","0","4","6","0","0","0","0","0","1","0","0","0","0","0","1","6","0","0","3","6","0","0","1","0","0","9","0","1","0","0","59","2","0","3","0","0","0","2","0","0","0","0","0","0","0","1","0","0"
"2020-05-09","0","1","0","0","0","1","0","0","5","0","0","0","0","1","7","0","0","0","8","0","2","-1","12","0","0","0","0","1","-1","0","0","0","0","0","2","0","0","0","6","-9","0","0","0","0","0","8","0","5","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-05-10","0","2","1","0","0","1","0","0","5","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","6","0","0","1","0","0","0","0","0","1","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
