"date","Connecticut/Fairfield","Connecticut/Hartford","Connecticut/Litchfield","Connecticut/Middlesex","Connecticut/New Haven","Connecticut/New London","Connecticut/Tolland","Connecticut/Unassigned","Connecticut/Windham"
"2020-03-22","","","","","","","","",""
"2020-03-23","1","1","0","0","0","0","0","","0"
"2020-03-24","1","0","0","0","0","0","1","","0"
"2020-03-25","5","0","0","0","2","0","0","","0"
"2020-03-26","1","0","0","1","0","0","0","","0"
"2020-03-27","2","0","0","0","4","0","0","","0"
"2020-03-28","5","0","0","0","0","0","1","","0"
"2020-03-29","1","0","0","0","0","0","0","","0"
"2020-03-30","0","1","1","0","0","0","0","","0"
"2020-03-31","17","4","0","0","6","1","3","2","0"
"2020-04-01","8","4","0","1","3","0","0","0","0"
"2020-04-02","19","2","1","1","2","0","3","-1","0"
"2020-04-03","10","5","2","-1","1","2","0","0","0"
"2020-04-04","11","8","1","2","11","0","0","0","1"
"2020-04-05","10","3","1","1","7","1","1","0","0"
"2020-04-06","5","2","2","2","5","0","2","-1","0"
"2020-04-07","31","17","1","0","19","0","0","3","0"
"2020-04-08","0","0","0","0","0","0","0","49","0"
"2020-04-09","46","27","4","7","18","2","0","-50","0"
"2020-04-10","25","13","3","3","20","1","1","2","0"
"2020-04-11","17","13","4","1","9","0","1","1","0"
"2020-04-12","28","15","4","0","12","0","2","-1","0"
"2020-04-13","14","17","0","1","16","0","0","0","0"
"2020-04-14","25","20","5","2","16","0","1","0","0"
"2020-04-15","78","60","6","7","44","0","4","-2","0"
"2020-04-16","41","30","9","2","19","2","0","0","0"
"2020-04-17","19","23","2","2","15","1","2","0","1"
"2020-04-18","7","23","2","5","12","0","0","1","0"
"2020-04-19","15","6","0","3","16","0","0","1","0"
"2020-04-20","65","74","10","5","44","3","3","0","0"
"2020-04-21","32","33","1","2","21","0","3","0","0"
"2020-04-22","40","40","4","6","23","1","2","0","5"
"2020-04-23","31","27","3","4","27","3","1","2","-3"
"2020-04-24","47","42","3","6","24","6","1","0","-1"
"2020-04-25","27","42","4","-1","20","5","1","0","0"
"2020-04-26","18","26","1","4","13","3","0","-6","0"
"2020-04-27","20","33","1","3","27","3","0","1","0"
"2020-04-28","20","31","1","1","22","0","0","0","0"
"2020-04-29","27","27","3","6","15","1","1","2","0"
"2020-04-30","36","28","1","3","19","1","0","1","-1"
"2020-05-01","29","17","6","3","21","6","2","-2","0"
"2020-05-02","26","26","3","9","32","1","1","-1","0"
"2020-05-03","0","0","0","0","0","0","0","0","0"
"2020-05-04","45","32","5","2","30","2","1","2","1"
"2020-05-05","25","31","1","2","15","0","3","-1","1"
"2020-05-06","17","38","5","3","19","2","1","0","0"
"2020-05-07","25","25","4","6","14","2","2","0","1"
"2020-05-08","29","17","-1","4","26","1","0","1","0"
"2020-05-09","11","17","2","6","17","4","0","0","1"
"2020-05-10","7","8","2","1","15","0","1","0","1"
"2020-05-11","10","12","2","0","15","2","0","0","0"
"2020-05-12","12","10","1","1","7","2","0","0","0"
"2020-05-13","22","32","0","0","22","2","2","2","2"
"2020-05-14","25","36","5","2","22","2","2","-2","2"
"2020-05-15","16","26","0","6","16","1","0","0","1"
"2020-05-16","16","19","1","0","17","2","0","-1","0"
"2020-05-17","21","25","0","1","17","1","3","-1","2"
"2020-05-18","7","15","0","6","13","0","0","1","0"
"2020-05-19","7","6","1","0","8","0","0","0","0"
"2020-05-20","7","26","4","0","17","2","1","0","0"
"2020-05-21","13","17","0","0","19","5","0","0","0"
"2020-05-22","15","22","0","4","14","-1","0","0","0"
"2020-05-23","13","14","1","1","9","0","0","0","0"
"2020-05-24","7","6","-1","0","6","2","0","-2","0"
"2020-05-25","6","12","5","2","19","4","1","0","0"
"2020-05-26","10","6","3","4","3","0","0","1","0"
"2020-05-27","11","10","1","1","9","1","1","0","0"
"2020-05-28","4","5","-2","1","12","4","0","-1","0"
"2020-05-29","11","14","2","2","11","2","0","0","0"
"2020-05-30","10","16","1","4","9","4","0","0","0"
"2020-05-31","10","12","2","2","6","0","0","0","0"
"2020-06-01","11","9","3","1","2","0","1","0","-1"
"2020-06-02","-1","-6","-3","-3","11","1","2","0","1"
"2020-06-03","2","6","0","2","5","2","0","0","0"
"2020-06-04","4","7","1","2","2","2","0","0","0"
"2020-06-05","11","11","0","1","7","1","0","0","0"
"2020-06-06","5","2","0","2","8","0","0","0","0"
"2020-06-07","3","8","0","2","3","0","0","0","0"
"2020-06-08","4","4","0","1","3","1","0","0","0"
"2020-06-09","3","0","2","3","3","0","1","0","1"
"2020-06-10","2","12","-2","1","8","1","0","2","-1"
"2020-06-11","12","5","1","1","7","1","1","-2","0"
"2020-06-12","4","5","0","1","3","0","0","0","0"
"2020-06-13","8","8","0","2","7","2","0","0","0"
"2020-06-14","1","6","1","3","3","1","0","0","0"
"2020-06-15","1","1","-1","0","1","1","0","0","0"
"2020-06-16","3","2","0","0","1","0","0","0","0"
"2020-06-17","2","1","0","0","6","-1","1","0","0"
"2020-06-18","0","5","0","1","0","0","1","0","0"
"2020-06-19","3","5","0","0","4","0","0","0","0"
"2020-06-20","6","3","0","0","4","0","0","0","0"
"2020-06-21","0","6","0","2","1","0","0","0","0"
"2020-06-22","1","0","0","0","2","0","0","0","0"
"2020-06-23","5","2","1","3","2","1","0","0","0"
"2020-06-24","3","4","0","2","1","0","0","0","0"
"2020-06-25","3","6","0","0","2","0","0","0","0"
"2020-06-26","2","3","0","3","1","0","0","0","0"
"2020-06-27","0","4","0","0","0","0","0","0","0"
"2020-06-28","0","0","0","1","4","0","0","0","0"
"2020-06-29","1","1","0","0","2","0","0","0","0"
"2020-06-30","0","0","1","1","0","0","0","0","0"
"2020-07-01","0","3","0","1","-2","0","0","0","0"
"2020-07-02","0","1","0","0","1","0","0","0","0"
"2020-07-03","1","4","0","1","3","0","0","0","0"
"2020-07-04","0","0","0","0","0","0","0","0","0"
"2020-07-05","0","0","0","0","0","0","0","0","0"
"2020-07-06","0","2","0","0","1","0","0","0","0"
"2020-07-07","0","0","0","0","0","0","0","0","0"
"2020-07-08","1","2","0","1","1","0","0","0","0"
"2020-07-09","2","3","0","0","0","0","0","0","0"
"2020-07-10","0","0","0","0","0","0","0","0","0"
"2020-07-11","0","0","0","0","0","0","0","0","0"
"2020-07-12","0","0","0","0","0","0","0","0","0"
"2020-07-13","5","6","2","0","8","-1","1","2","0"
"2020-07-14","0","3","-1","0","0","1","0","-2","0"
"2020-07-15","2","4","0","1","1","0","0","0","0"
"2020-07-16","4","4","0","1","0","0","0","0","0"
"2020-07-17","4","1","0","0","2","0","0","0","0"
"2020-07-18","0","0","0","0","0","0","0","0","0"
"2020-07-19","0","0","0","0","0","0","0","0","0"
"2020-07-20","4","3","0","0","2","0","0","0","1"
"2020-07-21","0","0","0","0","0","0","0","0","0"
"2020-07-22","0","1","0","-1","0","0","0","0","0"
"2020-07-23","2","1","0","0","1","0","0","0","0"
"2020-07-24","1","0","0","0","2","0","0","0","0"
"2020-07-25","0","0","0","0","0","0","0","0","0"
"2020-07-26","0","0","0","0","0","0","0","0","0"
"2020-07-27","0","2","0","1","2","0","0","0","0"
"2020-07-28","1","1","0","0","2","1","0","0","0"
"2020-07-29","1","0","0","0","1","0","0","0","0"
"2020-07-30","2","0","0","2","1","0","1","0","0"
"2020-07-31","0","1","0","0","0","0","0","0","0"
"2020-08-01","0","0","0","0","0","0","0","0","0"
"2020-08-02","0","0","0","0","0","0","0","0","0"
"2020-08-03","2","0","0","0","3","0","0","0","0"
"2020-08-04","0","0","0","0","0","0","0","0","0"
"2020-08-05","0","0","0","0","0","0","0","0","0"
"2020-08-06","-2","2","0","0","0","0","0","0","0"
"2020-08-07","2","1","0","1","0","0","0","0","0"
"2020-08-08","0","0","0","0","0","0","0","0","0"
"2020-08-09","0","0","0","0","0","0","0","0","0"
"2020-08-10","1","0","0","0","2","0","0","0","0"
"2020-08-11","0","0","0","0","0","0","0","0","0"
"2020-08-12","1","1","1","0","3","1","-1","0","0"
"2020-08-13","0","0","0","0","0","0","0","0","0"
"2020-08-14","0","3","0","0","0","0","0","0","0"
"2020-08-15","0","0","0","0","0","0","0","0","0"
"2020-08-16","0","0","0","0","0","0","0","0","0"
"2020-08-17","1","1","0","0","0","1","0","0","0"
"2020-08-18","0","0","0","0","0","0","0","0","0"
"2020-08-19","-1","-1","0","0","2","1","0","0","0"
"2020-08-20","0","1","0","0","0","0","0","0","0"
"2020-08-21","1","2","0","0","0","-1","0","0","0"
"2020-08-22","0","0","0","0","0","0","0","0","0"
"2020-08-23","0","0","0","0","0","0","0","0","0"
"2020-08-24","0","0","0","0","0","0","0","0","0"
