"date","Rhode Island/Bristol","Rhode Island/Kent","Rhode Island/Newport","Rhode Island/Providence","Rhode Island/Unassigned","Rhode Island/Washington"
"2020-03-22","14","7","8","37","8","9"
"2020-03-23","24","7","9","52","5","9"
"2020-03-24","24","7","9","52","23","9"
"2020-03-25","24","7","9","52","31","9"
"2020-03-26","6","9","12","91","33","14"
"2020-03-27","6","9","12","91","71","14"
"2020-03-28","6","9","12","91","107","14"
"2020-03-29","12","27","19","156","57","23"
"2020-03-30","12","27","19","156","171","23"
"2020-03-31","14","31","23","208","184","28"
"2020-04-01","18","39","23","301","160","25"
"2020-04-02","21","59","33","418","80","34"
"2020-04-03","21","59","33","418","146","34"
"2020-04-04","21","59","33","418","241","34"
"2020-04-05","24","82","39","491","238","48"
"2020-04-06","25","92","42","538","332","53"
"2020-04-07","27","105","52","622","353","70"
"2020-04-08","31","137","56","832","274","120"
"2020-04-09","31","137","56","832","551","120"
"2020-04-10","37","151","56","955","408","120"
"2020-04-11","39","169","74","1278","649","140"
"2020-04-12","39","169","74","1278","965","140"
"2020-04-13","39","169","74","1278","965","140"
"2020-04-14","39","169","74","1278","1551","140"
"2020-04-15","49","244","93","1957","756","152"
"2020-04-16","50","249","94","2072","902","162"
"2020-04-17","57","299","103","2703","790","225"
"2020-04-18","57","299","103","2703","1146","183"
"2020-04-19","59","316","103","3014","1030","184"
"2020-04-20","67","366","107","3491","861","198"
"2020-04-21","68","386","110","3727","1000","209"
"2020-04-22","88","412","114","4064","895","268"
"2020-04-23","95","432","117","4350","1006","256"
"2020-04-24","102","466","124","4603","1132","272"
"2020-04-25","107","496","130","4916","1198","282"
"2020-04-26","111","526","135","5266","1109","292"
"2020-04-27","115","565","138","5427","1160","303"
"2020-04-28","115","574","138","5520","1267","313"
"2020-04-29","145","598","148","5967","1065","324"
"2020-04-30","143","622","149","6290","1087","330"
"2020-05-01","142","638","155","6579","1104","344"
"2020-05-02","144","675","156","6822","1142","350"
"2020-05-03","152","697","158","7028","1086","356"
"2020-05-04","154","703","161","7138","1133","363"
"2020-05-05","154","703","161","7138","1414","363"
"2020-05-06","154","703","161","7138","1686","363"
"2020-05-07","154","703","161","7138","2011","363"
"2020-05-08","154","703","161","7138","2260","363"
"2020-05-09","154","703","161","7138","2470","363"
"2020-05-10","154","703","161","7138","2755","363"
"2020-05-11","171","859","182","8674","1158","406"
"2020-05-12","172","850","185","8798","1198","411"
"2020-05-13","172","883","197","9112","1046","425"
"2020-05-14","172","883","197","9112","1227","425"
"2020-05-15","172","883","197","9112","1430","425"
"2020-05-16","172","883","197","9112","1645","425"
"2020-05-17","172","883","197","9112","1885","425"
"2020-05-18","172","883","197","9112","2006","425"
"2020-05-19","172","883","197","9112","2162","425"
"2020-05-20","198","958","206","9976","1556","462"
"2020-05-21","204","974","209","10160","1553","471"
"2020-05-22","209","985","212","10320","1528","482"
"2020-05-23","213","1005","226","10519","1504","485"
"2020-05-24","213","1013","228","10607","1518","486"
"2020-05-25","213","1013","228","10607","1518","486"
"2020-05-26","213","1013","228","10607","1663","486"
"2020-05-27","223","1032","235","10874","1496","493"
"2020-05-28","222","1038","237","10968","1533","496"
"2020-05-29","224","1052","244","11052","1564","499"
"2020-05-30","224","1052","244","11052","1748","499"
"2020-05-31","224","1052","244","11052","1857","499"
"2020-06-01","224","1052","244","11052","1920","499"
"2020-06-02","224","1052","244","11052","2041","499"
"2020-06-03","224","1052","244","11052","2148","499"
"2020-06-04","224","1052","244","11052","2254","499"
"2020-06-05","224","1052","244","11052","2370","499"
"2020-06-06","224","1052","244","11052","2370","499"
"2020-06-07","224","1052","244","11052","2370","499"
"2020-06-08","231","1105","269","11959","1565","513"
"2020-06-09","231","1105","269","11959","1614","513"
"2020-06-10","231","1105","269","11959","1679","513"
"2020-06-11","231","1105","269","11959","1785","513"
"2020-06-12","231","1105","269","11959","1870","513"
"2020-06-13","231","1105","269","11959","1870","513"
"2020-06-14","231","1105","269","11959","1870","513"
"2020-06-15","240","1128","277","12363","1569","516"
"2020-06-16","240","1128","277","12363","1640","516"
"2020-06-17","240","1128","277","12363","1689","516"
"2020-06-18","240","1128","277","12363","1745","516"
"2020-06-19","240","1128","277","12363","1813","516"
"2020-06-20","240","1128","277","12363","1813","516"
"2020-06-21","240","1128","277","12363","1813","516"
"2020-06-22","247","1169","294","12712","1514","523"
"2020-06-23","247","1169","294","12712","1588","523"
"2020-06-24","247","1169","294","12712","1661","523"
