"date","Maryland/Allegany","Maryland/Anne Arundel","Maryland/Baltimore","Maryland/Baltimore City","Maryland/Calvert","Maryland/Caroline","Maryland/Carroll","Maryland/Cecil","Maryland/Charles","Maryland/Dorchester","Maryland/Frederick","Maryland/Garrett","Maryland/Harford","Maryland/Howard","Maryland/Kent","Maryland/Montgomery","Maryland/Prince George's","Maryland/Queen Anne's","Maryland/Somerset","Maryland/St. Mary's","Maryland/Talbot","Maryland/Unassigned","Maryland/Washington","Maryland/Wicomico","Maryland/Worcester"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0"
"2020-03-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","0","0","0"
"2020-03-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0"
"2020-03-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0"
"2020-03-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0"
"2020-03-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-29","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"2020-03-30","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0"
"2020-03-31","","1","0","0","0","0","1","0","0","","0","0","0","1","0","0","1","0","0","0","0","","0","0","0"
"2020-04-01","","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","11","0","0","0"
"2020-04-02","0","2","2","0","1","0","2","1","0","0","2","0","0","0","0","5","2","0","0","0","0","-12","0","0","0"
"2020-04-03","0","1","0","2","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"2020-04-04","0","2","1","2","0","0","1","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","0","0"
"2020-04-05","0","0","2","1","0","0","2","0","1","0","0","0","0","0","0","4","3","0","0","0","0","0","0","0","0"
"2020-04-06","0","2","5","1","0","0","2","0","0","0","1","0","0","0","0","6","7","0","0","0","0","0","0","0","0"
"2020-04-07","0","0","0","1","0","0","6","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0"
"2020-04-08","0","4","2","1","0","0","2","0","0","0","0","0","0","0","0","5","6","0","0","0","1","0","0","0","0"
"2020-04-09","0","0","3","2","0","0","0","0","1","0","0","0","0","2","0","4","2","0","0","0","0","0","0","0","0"
"2020-04-10","0","4","5","5","0","0","1","0","1","0","5","0","0","0","0","4","8","0","0","0","0","0","0","0","0"
"2020-04-11","0","3","5","5","0","0","6","0","1","0","2","0","1","1","0","2","8","0","0","0","0","","1","0","0"
"2020-04-12","0","8","4","2","0","0","0","0","4","0","1","0","0","0","0","6","5","0","0","0","0","","0","0","0"
"2020-04-13","0","2","1","2","0","0","3","0","1","1","0","0","-1","2","0","6","8","0","1","0","0","","0","0","0"
"2020-04-14","0","3","10","3","0","0","1","1","2","0","2","0","0","1","0","6","9","0","-1","3","0","","0","0","0"
"2020-04-15","1","0","0","0","0","0","0","0","0","0","6","0","0","0","1","0","0","1","0","0","0","","0","0","0"
"2020-04-16","0","0","0","2","0","0","0","0","1","0","2","0","0","1","0","2","0","0","0","0","0","","0","0","0"
"2020-04-17","0","2","-4","7","1","0","-4","0","2","0","1","0","0","0","0","7","5","0","0","-2","0","","0","0","0"
"2020-04-18","0","7","8","5","0","0","3","1","1","0","8","0","5","2","0","23","18","1","0","3","0","","2","0","0"
"2020-04-19","0","5","5","8","1","0","0","0","1","0","-1","0","1","0","0","10","10","0","0","-2","0","","0","2","0"
"2020-04-20","0","2","0","3","0","0","3","0","3","0","0","0","0","1","0","10","7","0","0","0","0","92","0","0","0"
"2020-04-21","1","4","8","5","1","0","0","0","3","0","3","0","1","0","0","10","6","0","0","1","0","28","0","-1","0"
"2020-04-22","1","4","9","5","1","0","1","2","7","0","2","0","1","1","0","10","14","0","0","0","0","-12","0","0","0"
"2020-04-23","0","5","4","2","1","0","2","0","2","1","1","0","0","1","0","13","18","0","0","1","0","-2","0","1","0"
"2020-04-24","0","2","3","5","0","0","0","0","2","0","5","0","1","0","1","15","8","1","0","2","0","5","0","0","0"
"2020-04-25","0","7","5","7","1","0","2","0","1","0","4","0","2","1","1","17","15","0","0","0","0","13","0","1","0"
"2020-04-26","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","9","1","0","0","0","0","21","0","0","0"
"2020-04-27","1","3","17","9","0","0","1","0","2","0","3","0","0","1","1","30","24","0","0","0","0","-58","0","1","0"
"2020-04-28","1","4","9","2","1","0","7","1","2","0","0","0","2","1","0","11","8","1","0","1","0","19","0","0","1"
"2020-04-29","1","5","11","11","0","0","1","2","3","0","3","0","0","1","0","21","18","0","0","1","0","-19","0","2","1"
"2020-04-30","1","8","5","11","0","0","1","0","2","0","5","0","0","0","1","13","16","2","0","0","0","-4","1","0","0"
"2020-05-01","0","-1","6","3","1","0","0","0","2","0","0","0","2","0","-1","7","3","1","0","-1","0","","0","0","1"
"2020-05-02","1","4","10","11","2","0","0","0","1","0","3","0","1","1","0","20","26","1","0","0","0","2","2","3","0"
"2020-05-03","4","2","8","3","0","0","0","1","3","0","2","0","0","0","2","13","8","0","0","0","0","-16","0","0","0"
"2020-05-04","0","5","4","0","0","0","1","1","0","0","1","0","0","2","1","6","7","0","0","0","0","8","0","0","0"
"2020-05-05","0","6","6","4","0","0","5","3","0","0","4","0","3","1","0","19","11","0","0","0","0","10","0","1","0"
"2020-05-06","0","1","6","7","0","0","3","0","2","0","2","0","2","2","1","13","16","0","0","0","0","-9","1","0","0"
"2020-05-07","0","3","6","9","0","0","-1","0","-1","0","2","0","1","2","0","12","13","0","0","1","0","17","0","2","0"
"2020-05-08","0","4","8","6","0","0","2","0","3","0","0","0","2","0","0","10","15","1","0","0","0","4","0","2","0"
"2020-05-09","0","2","8","8","0","0","2","0","-1","0","2","0","1","2","2","14","10","0","0","0","0","2","1","0","1"
"2020-05-10","0","4","6","6","0","0","0","0","1","0","2","0","0","0","3","13","4","0","0","0","0","-10","1","0","0"
"2020-05-11","0","3","3","2","0","0","0","0","0","0","0","0","0","2","0","6","6","0","0","1","0","15","0","1","0"
"2020-05-12","1","3","10","7","2","0","2","2","1","0","3","0","2","4","0","19","14","0","0","0","0","3","0","0","0"
"2020-05-13","0","6","14","8","0","0","1","0","2","0","3","0","1","3","0","15","16","0","0","0","0","-17","0","1","0"
"2020-05-14","0","2","5","6","0","0","1","2","2","0","4","0","4","2","1","15","9","0","0","0","0","3","0","0","1"
"2020-05-15","0","1","11","0","0","0","2","0","2","0","4","0","0","0","0","12","15","0","0","0","0","-4","0","2","0"
"2020-05-16","0","5","6","8","0","0","2","0","1","0","1","0","1","3","0","12","7","0","0","1","0","-2","0","1","0"
"2020-05-17","0","1","10","3","0","0","1","0","0","0","1","0","1","0","0","14","9","1","0","1","0","-8","-1","1","1"
"2020-05-18","1","0","5","5","0","0","1","0","0","0","0","0","0","2","0","5","7","0","0","0","0","5","0","0","0"
"2020-05-19","0","3","8","2","0","0","1","1","1","0","0","0","1","4","0","23","9","1","1","1","0","2","0","0","0"
"2020-05-20","0","0","14","5","1","0","2","2","1","0","3","0","4","1","0","12","8","0","0","0","0","-14","1","0","2"
"2020-05-21","0","2","9","3","1","0","-1","0","1","0","1","0","1","-1","0","13","13","0","0","1","0","-9","1","1","0"
"2020-05-22","0","2","6","2","0","0","3","0","2","0","1","0","6","1","1","12","11","1","0","0","0","0","0","0","0"
"2020-05-23","0","1","7","9","0","0","3","0","2","0","1","0","0","2","0","10","7","0","0","1","0","-7","0","0","0"
"2020-05-24","0","3","1","2","0","0","0","1","0","0","2","0","2","0","-1","8","6","0","0","0","0","7","1","0","2"
"2020-05-25","0","4","7","3","1","0","3","0","0","0","1","0","0","0","0","4","7","0","1","1","0","-8","0","0","1"
"2020-05-26","0","2","5","2","0","0","1","0","1","0","2","0","0","1","1","5","9","0","0","0","0","1","1","0","0"
"2020-05-27","1","4","8","0","2","0","6","0","1","1","2","0","1","1","0","5","14","0","0","1","0","9","0","3","0"
"2020-05-28","0","0","3","4","-1","0","-1","1","1","0","1","0","0","2","0","9","10","0","0","3","0","2","0","2","0"
"2020-05-29","1","4","13","8","0","0","0","0","0","0","1","0","0","2","2","14","0","0","0","1","0","-14","1","3","2"
"2020-05-30","0","5","4","6","1","0","5","0","0","0","0","0","0","0","2","10","9","0","0","0","1","0","0","0","0"
"2020-05-31","1","2","4","4","0","1","0","1","0","0","0","0","2","0","0","7","2","1","0","2","0","-5","1","0","0"
"2020-06-01","0","1","5","3","0","0","2","0","1","0","1","0","0","3","0","4","4","-1","0","1","0","-4","0","0","0"
"2020-06-02","0","3","9","2","0","0","1","1","0","0","1","0","0","0","0","8","7","0","1","1","1","9","1","0","0"
"2020-06-03","0","0","8","3","2","0","3","0","2","0","2","0","0","0","0","9","13","0","0","3","0","-2","1","0","0"
"2020-06-04","-1","1","5","3","0","0","2","0","4","0","0","0","0","4","0","3","15","0","0","1","0","-13","0","2","1"
"2020-06-05","0","3","5","3","0","0","0","0","0","1","1","0","0","0","0","9","7","0","1","2","1","1","0","0","0"
"2020-06-06","0","3","8","4","1","0","3","0","2","0","1","0","1","0","0","7","8","0","0","3","0","-5","0","0","2"
"2020-06-07","0","0","2","5","0","0","0","0","-1","0","0","0","1","2","0","4","3","0","0","1","0","-8","0","0","0"
"2020-06-08","0","0","2","1","0","0","0","0","0","0","0","0","0","1","0","3","4","0","0","0","0","16","0","0","0"
"2020-06-09","1","1","10","5","0","0","1","1","2","0","0","0","2","3","0","8","5","0","-1","0","0","-4","1","1","-1"
"2020-06-10","0","4","4","2","0","1","1","0","1","0","1","0","2","2","0","5","6","0","0","1","0","3","0","0","0"
"2020-06-11","0","1","4","3","0","0","0","2","0","0","0","0","0","0","2","2","7","0","0","1","0","5","3","0","1"
"2020-06-12","0","1","4","2","0","0","0","1","-1","0","2","0","1","0","1","5","11","0","0","4","0","-8","1","1","0"
"2020-06-13","0","0","6","3","0","0","2","2","1","0","0","0","0","0","1","7","3","0","0","0","0","-1","1","1","0"
"2020-06-14","0","2","6","4","0","0","0","0","0","0","0","0","0","1","0","4","3","0","0","-1","0","-7","0","0","1"
"2020-06-15","0","0","2","0","0","0","0","0","0","0","0","0","0","1","1","4","3","0","0","1","0","-4","0","0","0"
"2020-06-16","0","0","3","3","0","0","0","0","0","0","1","0","1","1","0","4","4","1","0","0","0","17","0","0","0"
"2020-06-17","0","1","5","3","1","0","0","0","2","0","0","0","2","1","0","6","4","1","0","1","0","-14","0","1","0"
"2020-06-18","0","1","5","2","1","0","3","-1","1","0","0","0","1","2","0","3","1","0","0","3","0","-5","2","1","0"
"2020-06-19","0","2","5","1","0","0","0","0","0","0","1","0","-1","0","-1","3","4","0","0","0","0","-1","1","0","0"
"2020-06-20","0","2","6","3","0","0","1","0","0","0","0","0","0","1","0","4","5","0","0","0","0","0","0","0","0"
"2020-06-21","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","1","0","3","0","0","0"
"2020-06-22","0","0","4","3","0","0","0","0","0","0","0","0","0","0","0","3","2","1","0","1","0","-6","0","0","0"
"2020-06-23","0","1","3","3","1","1","0","0","0","1","0","0","0","0","0","2","0","0","0","2","0","3","0","1","0"
"2020-06-24","0","1","2","6","1","0","0","0","0","0","0","1","0","1","0","3","1","0","0","0","0","-1","1","1","-1"
"2020-06-25","0","-1","0","2","1","0","0","0","0","0","0","0","0","2","0","3","7","1","0","0","0","5","0","1","0"
"2020-06-26","0","2","1","3","0","0","1","0","0","0","0","-1","0","1","0","-1","7","1","0","2","0","-3","0","0","0"
"2020-06-27","0","3","4","3","0","0","0","0","0","0","1","0","0","1","0","4","1","0","0","1","0","-3","0","0","0"
"2020-06-28","0","1","2","2","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","3","0","0","0"
"2020-06-29","0","0","3","0","0","0","1","0","0","0","0","0","1","0","0","1","2","0","0","0","0","-2","0","1","0"
"2020-06-30","0","0","3","2","1","0","0","0","0","0","0","0","0","-1","0","2","2","0","0","0","0","5","1","0","0"
"2020-07-01","0","2","1","1","0","0","0","0","0","0","1","0","0","5","0","1","4","2","0","0","0","-4","1","0","1"
"2020-07-02","0","1","0","2","0","0","0","0","0","0","0","0","1","0","0","4","-1","0","0","0","0","1","0","-1","0"
"2020-07-03","0","-1","4","2","0","0","0","0","0","0","1","0","0","2","0","4","2","0","0","0","0","-3","0","0","0"
"2020-07-04","0","0","2","2","0","0","2","0","1","0","1","0","0","0","0","1","1","1","0","0","0","0","1","1","0"
"2020-07-05","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","3","0","0","0"
"2020-07-06","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","-8","0","0","0"
"2020-07-07","0","1","4","3","0","0","0","0","0","0","0","0","0","2","0","-1","2","0","0","0","0","9","0","0","0"
"2020-07-08","0","0","4","3","0","0","0","0","1","0","0","0","1","0","0","0","7","1","0","0","0","-8","0","0","0"
"2020-07-09","0","0","3","3","0","0","0","0","1","0","0","0","0","-1","0","2","1","2","0","0","0","2","0","0","0"
"2020-07-10","0","0","2","5","0","0","1","0","0","0","0","0","1","3","0","1","3","0","0","0","0","-1","0","0","0"
"2020-07-11","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","-2","0","0","1"
