"date","West Bengal/Alipurduar","West Bengal/Bankura","West Bengal/Birbhum","West Bengal/Cooch Behar","West Bengal/Dakshin Dinajpur","West Bengal/Darjeeling","West Bengal/Hooghly","West Bengal/Howrah","West Bengal/Jalpaiguri","West Bengal/Jhargram","West Bengal/Kalimpong","West Bengal/Kolkata","West Bengal/Malda","West Bengal/Murshidabad","West Bengal/Nadia","West Bengal/North 24 Parganas","West Bengal/Other State","West Bengal/Paschim Bardhaman","West Bengal/Paschim Medinipur","West Bengal/Purba Bardhaman","West Bengal/Purba Medinipur","West Bengal/Purulia","West Bengal/South 24 Parganas","West Bengal/Uttar Dinajpur","West Bengal/other State"
"2020-03-17","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-03-20","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-03-21","","","","","","","","","","","","   .00 %","","","","   .00 %","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","","","","","","","   .00 %","","","","","","","","","",""
"2020-03-28","","","","","","","","","","","   .00 %","","","","","","","","","","   .00 %","","","",""
"2020-03-29","","","","","","","   .00 %","","","","","   .00 %","","","","   .00 %","","","","","","","","",""
"2020-03-30","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-03-31","","","","","","","","   .00 %","","","","","","","","   .00 %","","","","","   .00 %","","   .00 %","",""
"2020-05-03","","","   .00 %","","","   .00 %","   .00 %"," ##.## %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","",""
"2020-05-04","","","","","","","","","","","","","","","","","","","   .00 %","","","","","",""
"2020-05-05","","","","","","","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","",""
"2020-05-06","","","","","","","   .00 %","   .00 %","","","","-60.00 %","","","","   .00 %","","","","","   .00 %","","   .00 %","",""
"2020-05-07","","","   .00 %","","","","","","","",""," ##.## %","   .00 %","","   .00 %"," ##.## %","","   .00 %","","   .00 %","   .00 %","","   .00 %","",""
"2020-05-08","","","   .00 %","","","","   .00 %","   .00 %","","",""," 60.00 %","","","   .00 %","","","   .00 %","","   .00 %","   .00 %","","   .00 %","",""
"2020-05-09","","","","","","","   .00 %","","","",""," 12.50 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","","   .00 %","",""
"2020-05-10","","","","","","","   .00 %","   .00 %","","   .00 %",""," 11.11 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %",""
"2020-05-11","","","   .00 %","","","","   .00 %","","","","","-70.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","",""
"2020-05-12","","","   .00 %","","","","   .00 %","   .00 %","","",""," ##.## %","   .00 %","","","-50.00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","",""
"2020-05-13","","","   .00 %","","","","   .00 %"," ##.## %","","","","-16.67 %","","","   .00 %","   .00 %","","","   .00 %","","   .00 %","","   .00 %","   .00 %",""
"2020-05-14","","","","","","","   .00 %","   .00 %","","",""," 20.00 %","","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","","",""
"2020-05-15","","","","","","","   .00 %","   .00 %","","","","-16.67 %","","","","   .00 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-05-16","","","","","","","   .00 %"," 50.00 %","","","","-40.00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","",""
"2020-05-17","","","","","   .00 %","","   .00 %","","","",""," ##.## %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %",""
"2020-05-18","","","   .00 %","","","","   .00 %","   .00 %","","","","-16.67 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-05-19","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","-20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %",""
"2020-05-20","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","   .00 %",""
"2020-05-21","","","","","","","","   .00 %","","","","   .00 %","","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","",""
"2020-05-22","","","   .00 %","","","","   .00 %","","","",""," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-05-23","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","-50.00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %",""
"2020-05-24","","","   .00 %","","","","   .00 %","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-05-25","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","",""," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-05-26","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","-50.00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-05-27","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %",""," ##.## %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-05-28","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","-40.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-05-29","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","-33.33 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-05-30","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","",""," ##.## %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-05-31","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","",""," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-01","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","-28.57 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-02","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %",""," 60.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-06-03","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","-12.50 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-06-04","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"," ##.## %","","","","-28.57 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-06-05","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %","","   .00 %","-20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-06","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","-75.00 %","   .00 %","",""," ##.## %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-06-07","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","-22.22 %","   .00 %","   .00 %","","-25.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %",""
"2020-06-08","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","-50.00 %","   .00 %","","   .00 %","-14.29 %","   .00 %","   .00 %","   .00 %","-33.33 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","",""
"2020-06-09","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %"," ##.## %","   .00 %","","   .00 %","-16.67 %","   .00 %","   .00 %","   .00 %","-50.00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","",""
"2020-06-10","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-33.33 %","   .00 %","","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-06-11","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-60.00 %","   .00 %","","   .00 %","-50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-06-12","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-50.00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-50.00 %","   .00 %",""
"2020-06-13","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," ##.## %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-14","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","-50.00 %","   .00 %","","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","-80.00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-06-15","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"," ##.## %","   .00 %","   .00 %","","-33.33 %","   .00 %","   .00 %",""," ##.## %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-06-16","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-06-17","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","-50.00 %","   .00 %","",""," 75.00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %",""
"2020-06-18","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","","   .00 %"," 14.29 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","",""
"2020-06-19","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","-25.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %",""," ##.## %","   .00 %",""
"2020-06-20","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-83.33 %","   .00 %","   .00 %","   .00 %"," ##.## %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-21","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %"," 50.00 %","   .00 %","","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," ##.## %","","   .00 %","","   .00 %","   .00 %","","","   .00 %",""
"2020-06-22","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","-25.00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-23","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %",""," 33.33 %","   .00 %","","   .00 %","-57.14 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %",""
"2020-06-24","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-50.00 %","   .00 %","","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","-66.67 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %",""
"2020-06-25","   .00 %","   .00 %","   .00 %","","   .00 %"," ##.## %","   .00 %","-50.00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","","   .00 %","   .00 %","   .00 %","   .00 %",""," ##.## %","   .00 %",""
"2020-06-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-50.00 %","   .00 %"," ##.## %","   .00 %","","   .00 %","-50.00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %","-50.00 %","",""
"2020-06-27","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","-50.00 %","   .00 %","","   .00 %"," 66.67 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","",""
"2020-06-28","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","-50.00 %","   .00 %","",""," 40.00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-06-29","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","","","-14.29 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-06-30","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","-33.33 %","   .00 %","","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %",""
"2020-07-01","   .00 %","-##.## %","","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-07-02","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %"," 14.29 %","   .00 %","   .00 %","   .00 %","-25.00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %",""
"2020-07-03","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-50.00 %"," 50.00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %",""
"2020-07-04","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %",""
"2020-07-05","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","-33.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","","","","   .00 %","","   .00 %","   .00 %","   .00 %",""
"2020-07-06","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %",""," 25.00 %","","   .00 %","   .00 %","-12.50 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-07-07","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %",""," 28.57 %","","   .00 %","   .00 %","","   .00 %","   .00 %"," ##.## %","   .00 %",""
"2020-07-08","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","-40.00 %","   .00 %","   .00 %","   .00 %","-33.33 %","","   .00 %","","   .00 %","   .00 %","   .00 %","-66.67 %","   .00 %",""
"2020-07-09","","   .00 %","   .00 %","","   .00 %","   .00 %","","-40.00 %","","",""," ##.## %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %"," ##.## %","",""
"2020-07-10","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %"," 33.33 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %",""
"2020-07-11","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %"," 23.08 %","","   .00 %","   .00 %","-16.67 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %",""
"2020-07-12","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-50.00 %","   .00 %","","   .00 %","-18.75 %","   .00 %","   .00 %","   .00 %","-40.00 %","","   .00 %","   .00 %","   .00 %","   .00 %",""," ##.## %","   .00 %",""
"2020-07-13","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","-23.08 %","   .00 %","","   .00 %"," ##.## %","","   .00 %","","   .00 %","   .00 %","   .00 %","-75.00 %","   .00 %",""
"2020-07-14","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","-50.00 %"," ##.## %","   .00 %","","   .00 %","-30.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %",""
"2020-07-15","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","-40.00 %","   .00 %","",""," 28.57 %","   .00 %","   .00 %","   .00 %","-25.00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %",""
"2020-07-16","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","-66.67 %","   .00 %","   .00 %",""," 33.33 %","   .00 %","   .00 %","   .00 %"," 16.67 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-07-17","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","-50.00 %"," ##.## %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""
"2020-07-18","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","-66.67 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","-42.86 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %",""
"2020-07-19","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," ##.## %","   .00 %","","   .00 %"," 25.00 %","   .00 %","   .00 %","   .00 %"," ##.## %","","   .00 %","-50.00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %",""
"2020-07-20","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," ##.## %","   .00 %","","   .00 %","  6.67 %","   .00 %","   .00 %","   .00 %","-11.11 %","","   .00 %","","   .00 %","","","   .00 %","   .00 %",""
"2020-07-21","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-71.43 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 62.50 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-33.33 %","   .00 %",""
"2020-07-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","","   .00 %"," -6.25 %","   .00 %","   .00 %","   .00 %","-15.38 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %",""
"2020-07-23","   .00 %","   .00 %","   .00 %","   .00 %","","","-66.67 %"," 50.00 %","   .00 %","","   .00 %"," 26.67 %","   .00 %","   .00 %","   .00 %","-45.45 %","","","   .00 %","   .00 %","","   .00 %","-33.33 %","",""
"2020-07-24","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","-15.79 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %"," 50.00 %","   .00 %",""
"2020-07-25","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %",""," ##.## %","-33.33 %","","   .00 %","-31.25 %","   .00 %","   .00 %","   .00 %"," ##.## %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 66.67 %"," ##.## %",""
"2020-07-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 28.57 %","","","   .00 %"," 54.55 %","","","   .00 %","-58.33 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-20.00 %","-50.00 %",""
"2020-07-27","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","-77.78 %","   .00 %","","","-41.18 %","   .00 %","   .00 %","   .00 %"," ##.## %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-50.00 %","",""
"2020-07-28","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","-66.67 %"," ##.## %","","","   .00 %","   .00 %","","   .00 %","   .00 %"," 28.57 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %",""
"2020-07-29","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-50.00 %","","   .00 %","   .00 %","","   .00 %"," 70.00 %","   .00 %","   .00 %","   .00 %","-50.00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %",""
"2020-07-30","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %"," ##.## %","","","   .00 %"," -5.88 %","","   .00 %","   .00 %"," 44.44 %","","","   .00 %","   .00 %","","   .00 %","-60.00 %","   .00 %",""
"2020-07-31","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-77.78 %","   .00 %","","   .00 %"," 31.25 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %"," 50.00 %","",""
"2020-08-01","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-50.00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," -9.52 %","","-50.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-33.33 %","   .00 %",""
"2020-08-02","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 16.67 %","","   .00 %","   .00 %","  5.26 %","   .00 %","","","  7.69 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","",""
"2020-08-03","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","-57.14 %","   .00 %","   .00 %","   .00 %","  5.00 %","","   .00 %","   .00 %"," 50.00 %","","","","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %",""
"2020-08-04","","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"," ##.## %"," ##.## %","","   .00 %","   .00 %","-28.57 %","   .00 %","   .00 %","   .00 %","-33.33 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","",""
"2020-08-05","   .00 %","   .00 %","   .00 %","   .00 %","-50.00 %","   .00 %","-50.00 %"," 50.00 %","   .00 %","","   .00 %"," 66.67 %","   .00 %","",""," -7.14 %","","   .00 %","","   .00 %","   .00 %","   .00 %","-33.33 %","   .00 %",""
"2020-08-06","","   .00 %","   .00 %","   .00 %","","-25.00 %","","-77.78 %","   .00 %","   .00 %","   .00 %","  8.00 %","","   .00 %","   .00 %","  7.69 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," ##.## %",""
"2020-08-07","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-66.67 %","   .00 %"," ##.## %","   .00 %","","   .00 %","-25.93 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %"," ##.## %","   .00 %","-50.00 %","",""
