"date","Arunachal Pradesh/Anjaw","Arunachal Pradesh/Changlang","Arunachal Pradesh/East Kameng","Arunachal Pradesh/East Siang","Arunachal Pradesh/Kamle","Arunachal Pradesh/Kra Daadi","Arunachal Pradesh/Kurung Kumey","Arunachal Pradesh/Lepa Rada","Arunachal Pradesh/Lohit","Arunachal Pradesh/Longding","Arunachal Pradesh/Lower Dibang Valley","Arunachal Pradesh/Lower Siang","Arunachal Pradesh/Lower Subansiri","Arunachal Pradesh/Namsai","Arunachal Pradesh/Pakke Kessang","Arunachal Pradesh/Papum Pare","Arunachal Pradesh/Shi Yomi","Arunachal Pradesh/Siang","Arunachal Pradesh/Tawang","Arunachal Pradesh/Tirap","Arunachal Pradesh/Upper Dibang Valley","Arunachal Pradesh/Upper Siang","Arunachal Pradesh/Upper Subansiri","Arunachal Pradesh/West Kameng","Arunachal Pradesh/West Siang"
"2020-04-02","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-24","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-28","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-30","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-01","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-02","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-03","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-04","","   .00 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-05","","   .00 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-06","","   .00 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-07","","   .00 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-08","","   .00 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-09","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-10","","   .00 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-11","","   .00 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-12","","   .00 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-13","","   .00 %","","","","","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-06-14","","","","","","","","","","","","","","","","   .00 %","","","","","","","","",""
"2020-06-15","","   .00 %","","","","","","","   .00 %","","","","","","","   .00 %","","","","","","","","",""
"2020-06-16","","   .00 %","","","","","","","","","","","","","","   .00 %","","","","","","","","",""
"2020-06-17","","   .00 %","","","","","","","","","","","","   .00 %","","   .00 %","","","","","","","","",""
"2020-06-18","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-19","","   .00 %","","","","","","","   .00 %","","","","","","","   .00 %","","","","","","","","",""
"2020-06-20","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-21","","","","   .00 %","","","","","","","","","","","","   .00 %","","","","","","","","",""
"2020-06-22","","   .00 %","","","","","","","   .00 %","","","","","","","","","","","","","","","",""
"2020-06-23","","   .00 %","","","","","","","","","","","","","","   .00 %","","","","","","","","",""
"2020-06-24","","","","","","","","","","","","","","","","   .00 %","","","","","","","","",""
"2020-06-25","","   .00 %","","   .00 %","","","","","","","   .00 %","","","   .00 %","","   .00 %","","","","","","","","",""
"2020-06-26","","   .00 %","","","","","","","   .00 %","","","","","","","   .00 %","","","","","","","","   .00 %",""
"2020-06-27","","   .00 %","","","","","","","","","","","","   .00 %","","","","","","","","","","   .00 %",""
"2020-06-28","","   .00 %","","   .00 %","","","","","","","","","","   .00 %","","   .00 %","","","","","","","","",""
"2020-06-29","","   .00 %","","","","","","","","","","","","","","   .00 %","","","","","","","","",""
"2020-06-30","","","","","","","","","","","","","","","","","","","","","","","","   .00 %",""
"2020-07-01","","   .00 %","","","","","","","","","","","","   .00 %","","   .00 %","","","","","","","","   .00 %",""
"2020-07-02","","   .00 %","","","","","","","","","","","","   .00 %","","   .00 %","","","","   .00 %","","","","",""
"2020-07-03","","   .00 %","","","","","","","","","","","","","","   .00 %","","","","","","","","   .00 %",""
"2020-07-04","","","","","","","","","","","","","","","","   .00 %","","","","   .00 %","","","","",""
"2020-07-05","","   .00 %","","","","","","","","","","","","   .00 %","","   .00 %","","","","","","","","",""
"2020-07-06","","   .00 %","","","","","","","","","","","","","","   .00 %","","","","","","",""," 20.00 %",""
"2020-07-07","","   .00 %","","","","","","","","","","","","   .00 %","","   .00 %","","","","","","",""," 20.00 %",""
"2020-07-08","","   .00 %","","","","","","","   .00 %","   .00 %","   .00 %","","","","","   .00 %","","","","","","",""," 20.00 %",""
"2020-07-09","","   .00 %","","","","","","","","","","","","   .00 %","","   .00 %","","","","   .00 %","","","","",""
"2020-07-10","","   .00 %","","","","","","","","","","","","   .00 %","","   .00 %","","","","","","","","",""
"2020-07-11","","   .00 %","","","","","","","","","","","","","","   .00 %","","","","","","",""," 20.00 %",""
"2020-07-12","","   .00 %","","","","","","","","","","","","   .00 %","","   .00 %","","","","","","",""," 20.00 %",""
"2020-07-13","","   .00 %","","","","","","","","","","","","   .00 %","","   .00 %","","","","   .00 %","","","","",""
"2020-07-14","","   .00 %","","   .00 %","","","","","","   .00 %","   .00 %","","","   .00 %","","   .00 %","","","","   .00 %","","","","   .00 %",""
"2020-07-15","","","","","","","","   .00 %","","","","","","   .00 %","","   .00 %","","","","","","","","",""
"2020-07-16","","","","   .00 %","","","","","","","","","","","","   .00 %","","","","","","","","",""
"2020-07-17","","   .00 %","","   .00 %","","","","","","","","   .00 %","","   .00 %","","   .00 %","","","","","","","","   .00 %",""
"2020-07-18","","","","","","","","","","","   .00 %","   .00 %","","   .00 %","","   .00 %","","","","","","","","   .00 %",""
"2020-07-19","","   .00 %","","   .00 %","","","","   .00 %","","","   .00 %","","","   .00 %","","   .00 %","","","","","","","","   .00 %","   .00 %"
"2020-07-20","","","","","","","","","","","","","   .00 %","","","   .00 %","","","   .00 %","","","","","","   .00 %"
