"date","Alaska/Aleutians East","Alaska/Aleutians West","Alaska/Anchorage","Alaska/Bethel","Alaska/Bristol Bay","Alaska/Denali","Alaska/Dillingham","Alaska/Fairbanks North Star","Alaska/Haines","Alaska/Hoonah-Angoon","Alaska/Juneau","Alaska/Kenai Peninsula","Alaska/Ketchikan Gateway","Alaska/Kodiak Island","Alaska/Kusilvak","Alaska/Lake and Peninsula","Alaska/Matanuska-Susitna","Alaska/Nome","Alaska/North Slope","Alaska/Northwest Arctic","Alaska/Petersburg","Alaska/Prince of Wales-Hyder","Alaska/Sitka","Alaska/Skagway","Alaska/Soldotna","Alaska/Southeast Fairbanks","Alaska/Sterling","Alaska/Unassigned","Alaska/Valdez-Cordova","Alaska/Wrangell","Alaska/Yakutat","Alaska/Yukon-Koyukuk"
"2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0"
"2020-03-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","0","0"
"2020-03-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","0","0"
"2020-03-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","1","0","0","0","0"
"2020-03-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","1","0","0","0","0"
"2020-03-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","1","0","0","0","0"
"2020-03-28","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","1","0","0","0","0"
"2020-03-29","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","1","0","0","0","0"
"2020-03-30","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","2","0","0","0","0"
"2020-03-31","","","1","","","","","0","","","0","0","0","","","","0","","","","","","","","","","","2","","","",""
"2020-04-01","","","1","","","","","0","","","0","0","0","","","","0","","","","","","","","","","","2","","","",""
"2020-04-02","","","1","","","","","0","","","0","0","0","","","","0","","","","","","","","","","","2","","","",""
"2020-04-03","","","1","","","","","0","","","0","0","0","","","","0","","","","0","","","","","0","","2","","","","0"
"2020-04-04","","","1","","","","","0","","","0","0","0","","","","0","","","","0","","","","","0","","4","","","","0"
"2020-04-05","","","1","","","","","0","","","0","0","0","","","","0","","","","0","","","","","0","","5","","","","0"
"2020-04-06","","","1","","","","","0","","","0","0","0","","","","0","","","","0","","","","","0","","5","","","","0"
"2020-04-07","","","4","0","","","","1","","","0","0","0","","","","0","","","","0","","","","","0","","1","","","","0"
"2020-04-08","","","4","0","","","","1","","","0","0","0","","","","0","","","","0","","","","","0","","2","","","","0"
"2020-04-09","","","4","0","","","","1","","","0","0","0","","","","0","","","","0","","","","","0","","2","","","","0"
"2020-04-10","","","4","0","","","","1","","","0","0","0","","","","0","","","","0","","","","","0","","2","","","","0"
"2020-04-11","","","4","0","","","","1","","","0","0","0","","","","0","","","","0","0","","","","0","","3","","","","0"
"2020-04-12","","","4","0","","","","1","","","0","0","0","","","","0","","","","0","0","","","","0","","3","","","","0"
"2020-04-13","","","4","0","","","","1","","","0","0","0","","","","0","","","","0","0","","","","0","","3","","","","0"
"2020-04-14","","","4","0","","","","1","","","0","0","0","","","","0","","","","0","0","","","","0","","4","","","","0"
"2020-04-15","","","4","0","","","","1","","","0","0","0","","","","0","0","","","0","0","","","","0","","4","","","","0"
"2020-04-16","","","4","0","","","","1","","","0","0","0","0","","","0","0","","","0","0","","","","0","","4","","","","0"
"2020-04-17","","","4","0","","","","1","","","0","0","0","0","","","0","0","","","0","0","","","","0","","4","","","","0"
"2020-04-18","","","4","0","","","","1","","","0","0","0","0","","","0","0","","","0","0","","","","0","","4","","","","0"
"2020-04-19","","","4","0","","","","1","","","0","0","0","0","","","0","0","","","0","0","","","","0","","4","","","","0"
"2020-04-20","","","4","0","","","","1","","","0","0","0","0","","","0","0","","","0","0","","","","0","","4","","","","0"
"2020-04-21","","","4","0","","","","1","","","0","0","0","0","","","0","0","","","0","0","","","","0","","4","","","","0"
"2020-04-22","","","4","0","","","","1","","","0","0","0","0","","","0","0","","","0","0","","","","0","","4","","","","0"
"2020-04-23","","","4","0","","","","1","","","0","0","0","0","","","0","0","","","0","0","","","","0","","4","","","","0"
"2020-04-24","","","4","0","","","","1","","","0","0","0","0","","","0","0","","","0","0","","","","0","","4","","","","0"
"2020-04-25","","","4","0","","","","1","","","0","0","0","0","","","0","0","","","0","0","","","","0","","4","","","","0"
"2020-04-26","","","4","0","","","","1","","","0","0","0","0","","","0","0","","","0","0","","","","0","","4","","","","0"
"2020-04-27","","","4","0","","","","1","","","0","0","0","0","","","0","0","","","0","0","0","","","0","","4","","","","0"
