"date","Andhra Pradesh/Anantapur","Andhra Pradesh/Chittoor","Andhra Pradesh/East Godavari","Andhra Pradesh/Foreign Evacuees","Andhra Pradesh/Guntur","Andhra Pradesh/Krishna","Andhra Pradesh/Kurnool","Andhra Pradesh/Other State","Andhra Pradesh/Prakasam","Andhra Pradesh/S.P.S. Nellore","Andhra Pradesh/Srikakulam","Andhra Pradesh/Visakhapatnam","Andhra Pradesh/Vizianagaram","Andhra Pradesh/West Godavari","Andhra Pradesh/Y.S.R. Kadapa"
"2020-03-12","","","","","","","","","","   .00 %","","","","",""
"2020-03-19","","","","","","","","","   .00 %","","","   .00 %","","",""
"2020-03-21","","","   .00 %","","","   .00 %","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","   .00 %","","",""
"2020-03-23","","","","","","","","","","","","   .00 %","","",""
"2020-03-24","","   .00 %","","","","","","","","","","","","",""
"2020-03-25","","","","","   .00 %","   .00 %","","","","","","","","",""
"2020-03-26","","","","","","   .00 %","","","","","","","","",""
"2020-03-27","","","","","   .00 %","","","","","","","   .00 %","","",""
"2020-03-28","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","",""
"2020-03-29","","","","","","","","","","","","   .00 %","","",""
"2020-03-30","","","   .00 %","","","","","","","","","","","",""
"2020-03-31","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","",""
"2020-04-01","","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %"
"2020-04-02","","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","   .00 %"
"2020-04-03","","","   .00 %","","","","","","","   .00 %","","   .00 %","","","   .00 %"
"2020-04-04","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","","   .00 %"
"2020-04-05","   .00 %","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","","","","   .00 %",""
"2020-04-06","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %"
"2020-04-07","","   .00 %","","","   .00 %","","   .00 %","","","","","","","",""
"2020-04-08","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %",""
"2020-04-09","","","   .00 %","","   .00 %","","","","   .00 %","","","","","","   .00 %"
"2020-04-10","   .00 %","","   .00 %","","   .00 %","","   .00 %","","   .00 %","","","","","",""
"2020-04-11","","","","","   .00 %","","   .00 %","","   .00 %","","","","","","   .00 %"
"2020-04-12","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","","","","","   .00 %"
"2020-04-13","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %",""
"2020-04-14","   .00 %","","","","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %"
"2020-04-15","   .00 %","","","","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %"
"2020-04-16","","","","","","   .00 %","   .00 %","","","","","","","   .00 %",""
"2020-04-17","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","   .00 %"
"2020-04-18","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","   .00 %",""
"2020-04-19","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","   .00 %","","",""
"2020-04-20","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","","","","   .00 %"
"2020-04-21","   .00 %","","","","   .00 %","   .00 %","   .00 %","","","","","","","   .00 %","   .00 %"
"2020-04-22","","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","","   .00 %"
"2020-04-23","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","","",""
"2020-04-24","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","",""
"2020-04-25","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %"
"2020-04-26","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","   .00 %","   .00 %"
"2020-04-27","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %",""
"2020-04-28","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","   .00 %"
"2020-04-29","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-04-30","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","","","   .00 %"
"2020-05-01","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","","   .00 %","   .00 %"
"2020-05-02","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","   .00 %","   .00 %"
"2020-05-03","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","",""
"2020-05-04","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %"
"2020-05-05","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %"
"2020-05-06","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %"
"2020-05-07","   .00 %","","","","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","","   .00 %"
"2020-05-08","   .00 %","   .00 %","","","   .00 %",""," ##.## %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-09","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","-50.00 %","","","   .00 %","","","","",""
"2020-05-10","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %"
"2020-05-11","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","","","   .00 %"
"2020-05-12","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %"
"2020-05-13","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %"
"2020-05-14","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %"
