"date","Sikkim/East Sikkim","Sikkim/North Sikkim","Sikkim/South Sikkim","Sikkim/West Sikkim"
"2020-05-23","","","   .00 %",""
"2020-06-03","   .00 %","","",""
"2020-06-05","   .00 %","","",""
"2020-06-06","   .00 %","","","   .00 %"
"2020-06-09","   .00 %","","   .00 %","   .00 %"
"2020-06-12","   .00 %","","",""
"2020-06-13","   .00 %","","   .00 %","   .00 %"
"2020-06-14","   .00 %","","   .00 %","   .00 %"
"2020-06-17","   .00 %","","","   .00 %"
"2020-06-18","   .00 %","","",""
"2020-06-19","   .00 %","","   .00 %","   .00 %"
"2020-06-21","   .00 %","","   .00 %",""
"2020-06-22","","","   .00 %",""
"2020-06-24","   .00 %","","   .00 %","   .00 %"
"2020-06-25","   .00 %","","   .00 %",""
"2020-06-26","   .00 %","   .00 %","   .00 %",""
"2020-06-27","   .00 %","","","   .00 %"
"2020-06-28","   .00 %","","",""
"2020-06-30","","","","   .00 %"
"2020-07-01","   .00 %","   .00 %","",""
"2020-07-02","   .00 %","","","   .00 %"
"2020-07-04","   .00 %","","",""
"2020-07-05","   .00 %","","",""
"2020-07-06","   .00 %","","",""
"2020-07-07","   .00 %","","",""
"2020-07-08","   .00 %","","",""
"2020-07-09","   .00 %","","",""
"2020-07-10","   .00 %","","",""
"2020-07-11","   .00 %","","",""
"2020-07-12","   .00 %","","",""
"2020-07-13","   .00 %","","   .00 %",""
"2020-07-14","   .00 %","","   .00 %","   .00 %"
"2020-07-15","   .00 %","","",""
"2020-07-16","   .00 %","","",""
"2020-07-17","   .00 %","","","   .00 %"
"2020-07-18","   .00 %","","",""
"2020-07-19","   .00 %","","",""
"2020-07-20","   .00 %","","",""
"2020-07-21","   .00 %","","   .00 %",""
"2020-07-22","   .00 %","","   .00 %","   .00 %"
"2020-07-23","   .00 %","","   .00 %","   .00 %"
"2020-07-24","   .00 %","","   .00 %","   .00 %"
"2020-07-25","","","   .00 %",""
"2020-07-26","   .00 %","","   .00 %",""
"2020-07-28","   .00 %","","   .00 %",""
"2020-07-29","   .00 %","","   .00 %",""
"2020-07-30","   .00 %","","   .00 %","   .00 %"
"2020-07-31","   .00 %","","","   .00 %"
"2020-08-01","   .00 %","","",""
"2020-08-02","   .00 %","","   .00 %",""
"2020-08-03","   .00 %","","   .00 %",""
"2020-08-04","   .00 %","","   .00 %",""
"2020-08-05","   .00 %","","",""
"2020-08-07","   .00 %","","",""
"2020-08-10","   .00 %","","",""
"2020-08-11","   .00 %","","",""
"2020-08-12","   .00 %","","",""
"2020-08-13","   .00 %","","",""
"2020-08-14","   .00 %","","",""
"2020-08-15","   .00 %","","",""
"2020-08-16","   .00 %","","",""
"2020-08-17","   .00 %","","",""
"2020-08-18"," ##.## %","","",""
"2020-08-19"," 50.00 %","","",""
"2020-08-20","   .00 %","","",""
"2020-08-21","   .00 %","","",""
"2020-08-22","   .00 %","","",""
"2020-08-24","   .00 %","","",""
"2020-08-25","   .00 %","","",""
"2020-08-26","   .00 %","","",""
"2020-08-27","   .00 %","","",""
"2020-08-28","   .00 %","","",""
"2020-08-29","   .00 %","","",""
"2020-08-30","   .00 %","","   .00 %","   .00 %"
"2020-08-31","   .00 %","","","   .00 %"
"2020-09-01","   .00 %","","   .00 %",""
"2020-09-02","   .00 %","","   .00 %","   .00 %"
"2020-09-05","   .00 %","","   .00 %","   .00 %"
"2020-09-08","   .00 %","","","   .00 %"
"2020-09-09","   .00 %","","",""
"2020-09-10","   .00 %","","",""
"2021-01-01","   .00 %","","",""
"2021-01-03","   .00 %","","",""
"2021-01-04","","","","   .00 %"
"2021-01-05","   .00 %","","   .00 %","   .00 %"
"2021-01-06","   .00 %","","   .00 %","   .00 %"
"2021-01-09","   .00 %","","","   .00 %"
"2021-01-10","   .00 %","","","   .00 %"
"2021-01-12","   .00 %","","   .00 %",""
"2021-01-13","   .00 %","","",""
"2021-01-14","   .00 %","","   .00 %","   .00 %"
"2021-01-15","   .00 %","","",""
"2021-01-16","   .00 %","","","   .00 %"
"2021-01-17","   .00 %","","",""
"2021-01-20","   .00 %","","",""
"2021-01-21","   .00 %","","   .00 %",""
"2021-01-22","","","","   .00 %"
"2021-01-23","   .00 %","","","   .00 %"
"2021-01-24","   .00 %","","",""
"2021-01-25","","","","   .00 %"
"2021-01-27","   .00 %","","",""
"2021-01-28","   .00 %","","","   .00 %"
"2021-01-29","   .00 %","","",""
"2021-01-30","   .00 %","","",""
"2021-01-31","   .00 %","","",""
"2021-02-01","   .00 %","","",""
"2021-02-02","   .00 %","","",""
"2021-02-03","   .00 %","","",""
"2021-02-04","   .00 %","","",""
"2021-02-05","   .00 %","","","   .00 %"
"2021-02-06","   .00 %","","","   .00 %"
"2021-02-07","   .00 %","","",""
"2021-02-10","   .00 %","","",""
"2021-02-11","   .00 %","","",""
"2021-02-12","   .00 %","","",""
"2021-02-16","   .00 %","","",""
"2021-02-18","   .00 %","","",""
"2021-02-19","   .00 %","","",""
