"date","Sikkim/East Sikkim","Sikkim/North Sikkim","Sikkim/South Sikkim","Sikkim/West Sikkim"
"2020-05-23","","","",""
"2020-06-03","","","",""
"2020-06-05","","","",""
"2020-06-06","","","",""
"2020-06-09","","","",""
"2020-06-12","","","",""
"2020-06-13","","","",""
"2020-06-14","","","",""
"2020-06-17","","","",""
"2020-06-18","","","",""
"2020-06-19","","","",""
"2020-06-21","","","",""
"2020-06-22","","","",""
"2020-06-24","","","",""
"2020-06-25","","","",""
"2020-06-26","","","",""
"2020-06-27","","","",""
"2020-06-28","","","",""
"2020-06-30","","","",""
"2020-07-01","","","",""
"2020-07-02","","","",""
"2020-07-04","","","",""
"2020-07-05","","","",""
"2020-07-06","","","",""
"2020-07-07","","","",""
"2020-07-08","","","",""
"2020-07-09","","","",""
"2020-07-10","","","",""
"2020-07-11","","","",""
"2020-07-12","","","",""
"2020-07-13","","","",""
"2020-07-14","","","",""
"2020-07-15","","","",""
"2020-07-16","","","",""
"2020-07-17","","","",""
"2020-07-18","","","",""
"2020-07-19","","","",""
"2020-07-20","","","",""
"2020-07-21","","","",""
"2020-07-22","","","",""
"2020-07-23","","","",""
"2020-07-24","","","",""
"2020-07-25","","","",""
"2020-07-26","","","",""
"2020-07-28","0","","",""
"2020-07-29","0","","",""
"2020-07-30","0","","",""
"2020-07-31","0","","",""
"2020-08-01","0","","",""
"2020-08-02","0","","",""
"2020-08-03","0","","",""
"2020-08-04","0","","",""
"2020-08-05","0","","",""
"2020-08-07","0","","",""
"2020-08-10","0","","",""
"2020-08-11","0","","",""
"2020-08-12","0","","",""
"2020-08-13","0","","",""
"2020-08-14","0","","",""
"2020-08-15","0","","",""
"2020-08-16","0","","",""
"2020-08-17","0","","",""
"2020-08-18","1","","",""
"2020-08-19","1","","",""
"2020-08-20","0","","",""
"2020-08-21","0","","",""
"2020-08-22","0","","",""
"2020-08-24","0","","",""
"2020-08-25","0","","",""
"2020-08-26","0","","",""
"2020-08-27","0","","",""
"2020-08-28","0","","",""
"2020-08-29","0","","",""
"2020-08-30","0","","",""
"2020-08-31","0","","",""
