"date","Arizona/Apache","Arizona/Cochise","Arizona/Coconino","Arizona/Gila","Arizona/Graham","Arizona/Greenlee","Arizona/La Paz","Arizona/Maricopa","Arizona/Mohave","Arizona/Navajo","Arizona/Pima","Arizona/Pinal","Arizona/Santa Cruz","Arizona/Unassigned","Arizona/Yavapai","Arizona/Yuma"
"2020-03-22","","","","","","","","","","","","","","","",""
"2020-03-23","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0"
"2020-03-24","0","0","0","0","0","0","0","0","0","0","1","0","0","","0","0"
"2020-03-25","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-26","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"2020-03-27","0","0","1","0","0","0","0","3","0","0","3","0","0","-2","0","0"
"2020-03-28","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"2020-03-29","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"2020-03-30","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0"
"2020-03-31","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"2020-04-01","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0"
"2020-04-02","0","0","3","0","0","0","0","7","0","1","7","0","0","-15","0","0"
"2020-04-03","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0"
"2020-04-04","0","0","5","0","0","0","0","16","0","0","0","0","0","-10","0","0"
"2020-04-05","0","0","0","0","0","0","0","3","0","0","1","0","0","8","0","0"
"2020-04-06","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"2020-04-07","0","0","0","0","0","0","0","4","0","0","0","0","0","4","0","0"
"2020-04-08","0","0","4","0","0","0","0","2","0","0","3","0","0","-2","0","0"
"2020-04-09","0","0","1","0","0","0","0","2","0","0","0","0","0","6","0","0"
"2020-04-10","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0"
"2020-04-11","0","0","0","0","0","0","0","8","0","0","0","0","0","3","0","0"
"2020-04-12","0","0","0","0","0","0","0","0","0","0","13","0","0","-7","1","0"
"2020-04-13","0","0","6","0","0","0","0","5","0","0","0","0","0","-4","0","0"
"2020-04-14","0","0","1","0","0","0","0","2","0","0","0","0","0","6","0","0"
"2020-04-15","0","0","2","0","0","0","0","6","0","0","0","0","0","3","0","0"
"2020-04-16","0","0","2","0","0","0","0","4","0","0","0","0","0","1","0","1"
"2020-04-17","0","0","0","0","0","0","0","5","0","0","0","0","0","14","0","0"
"2020-04-18","4","0","3","0","0","0","1","1","1","10","27","6","0","-42","0","0"
"2020-04-19","0","0","-3","0","0","0","0","5","0","0","0","1","0","1","0","0"
"2020-04-20","0","0","5","0","0","0","0","0","0","0","2","0","0","0","0","0"
"2020-04-21","1","0","0","0","0","0","0","8","2","0","7","0","0","-1","0","0"
"2020-04-22","0","0","4","0","0","0","0","14","0","1","3","1","0","0","0","0"
"2020-04-23","0","0","-3","0","0","0","0","18","0","1","2","0","0","0","0","0"
"2020-04-24","0","0","2","0","0","0","0","5","0","5","4","1","0","0","0","0"
"2020-04-25","0","0","4","0","0","0","0","1","0","0","2","0","0","0","0","0"
"2020-04-26","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"2020-04-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-04-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-04-29","0","0","4","0","0","0","0","18","3","0","4","2","0","2","0","0"
"2020-04-30","1","0","0","0","0","0","0","5","3","3","0","0","0","0","0","0"
"2020-05-01","0","0","2","0","0","0","0","2","3","0","1","2","0","0","0","0"
"2020-05-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-05-03","0","0","0","0","0","0","0","0","0","0","0","0","0","32","0","0"
"2020-05-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-05-05","1","0","2","0","0","0","0","28","3","5","24","2","0","-32","0","0"
"2020-05-06","0","0","2","0","0","0","0","11","1","5","11","0","0","-1","2","0"
"2020-05-07","0","0","1","0","0","0","0","18","2","1","2","0","0","0","0","0"
"2020-05-08","3","1","6","1","0","0","0","34","1","3","13","4","0","0","1","0"
"2020-05-09","0","0","0","0","0","0","0","7","3","1","2","0","0","0","0","2"
"2020-05-10","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","0"
"2020-05-11","0","0","1","0","0","0","0","3","1","1","0","0","0","0","0","0"
"2020-05-12","1","0","2","0","0","0","0","9","1","4","2","1","0","0","0","0"
"2020-05-13","1","0","0","0","0","0","0","22","0","1","8","0","0","0","0","1"
"2020-05-14","0","0","1","0","0","0","0","11","0","1","8","8","0","0","0","0"
"2020-05-15","4","0","3","0","0","0","0","10","1","5","3","0","0","0","1","0"
"2020-05-16","4","0","2","0","0","0","0","17","0","0","2","3","0","0","0","0"
"2020-05-17","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"2020-05-18","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0","1"
"2020-05-19","0","0","1","0","0","0","0","15","0","0","1","1","0","0","0","0"
"2020-05-20","2","0","2","0","0","0","0","18","1","4","9","5","0","0","1","0"
"2020-05-21","0","0","1","0","0","0","0","4","2","0","7","0","0","1","0","2"
"2020-05-22","1","0","0","0","0","0","0","7","2","1","0","0","0","0","0","0"
"2020-05-23","2","0","3","0","0","0","0","15","1","3","-1","0","0","0","0","3"
"2020-05-24","0","0","0","0","0","0","0","1","0","0","-1","0","0","0","0","0"
"2020-05-25","1","0","0","0","0","0","0","1","3","0","1","0","0","0","0","0"
"2020-05-26","0","0","1","0","0","0","0","-1","0","0","0","0","0","0","0","3"
"2020-05-27","0","0","2","0","1","0","0","13","5","1","2","0","0","0","0","0"
"2020-05-28","2","0","4","0","0","0","0","6","0","1","11","0","0","1","0","1"
"2020-05-29","6","0","2","0","0","0","0","16","0","0","-1","2","0","1","0","0"
"2020-05-30","1","2","0","0","0","0","0","11","2","1","0","0","0","-1","1","1"
"2020-05-31","0","0","0","0","0","0","0","2","0","1","0","0","0","0","-1","1"
"2020-06-01","4","0","0","0","0","0","0","1","1","4","0","1","0","0","0","0"
"2020-06-02","2","1","0","0","0","0","0","15","1","0","6","-1","0","0","0","1"
"2020-06-03","4","1","4","0","0","0","0","18","1","3","5","0","0","0","0","4"
"2020-06-04","0","0","0","0","0","0","0","5","2","0","6","1","0","0","0","2"
