"date","Rajasthan/Ajmer","Rajasthan/Alwar","Rajasthan/BSF Camp","Rajasthan/Banswara","Rajasthan/Baran","Rajasthan/Barmer","Rajasthan/Bharatpur","Rajasthan/Bhilwara","Rajasthan/Bikaner","Rajasthan/Bundi","Rajasthan/Chittorgarh","Rajasthan/Churu","Rajasthan/Dausa","Rajasthan/Dholpur","Rajasthan/Dungarpur","Rajasthan/Evacuees","Rajasthan/Ganganagar","Rajasthan/Hanumangarh","Rajasthan/Jaipur","Rajasthan/Jaisalmer","Rajasthan/Jalore","Rajasthan/Jhalawar","Rajasthan/Jhunjhunu","Rajasthan/Jodhpur","Rajasthan/Karauli","Rajasthan/Kota","Rajasthan/Nagaur","Rajasthan/Other State","Rajasthan/Other state","Rajasthan/Pali","Rajasthan/Pratapgarh","Rajasthan/Rajsamand","Rajasthan/Sawai Madhopur","Rajasthan/Sikar","Rajasthan/Sirohi","Rajasthan/Tonk","Rajasthan/Udaipur"
"2020-03-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-14","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
"2020-03-18","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","","","","","6","","","","","","","","","","","5","","","","","","","","","","","","","","","","","",""
"2020-03-21","","","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","4","2","","","","","","1","","","","1","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","2","","","","","",""
"2020-03-25","","","","","","","","17","","","","","","","","","","","","","","","5","4","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","18","","","","","","","","","","","6","","","","6","5","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","20","","","","1","","","2","","","","7","","","","","6","","","","","","","","","","","","",""
"2020-03-28","1","","","","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-29","4","","","","","","","24","","","","","","","","","","","","","","","7","","","","","","","","","","","","","",""
"2020-03-30","","1","","","","","","25","","","","","","","","7","","","17","","","","","7","","","","","","","","","","","","",""
"2020-03-31","5","","","","","","","","","","","","","","3","17","","","18","","","","8","","","","","","","","","","","","","",""
"2020-04-01","","2","","","","","","","","","","8","","","","18","","","31","","","","","8","","","","","","","","","","","","4",""
"2020-04-02","","","","","","","1","","","","","","","1","","","","","38","","","","9","10","","","","","","","","","","","","","1"
"2020-04-03","","5","","","","","3","","2","","","","1","","","27","","","52","","","","","","","","","","","","","","","","","16","4"
"2020-04-04","","","","2","","","5","26","4","","","10","","","","28","","","","","","","17","17","1","","","","","","","","","","","17",""
"2020-04-05","","","","","","","","","10","","","","3","","","33","","","91","1","","","18","20","","","1","","","2","","","","","","18",""
"2020-04-06","","","","","","","","","11","","","","6","","5","36","","","99","","","","23","21","","10","","","","","","","","","","20",""
"2020-04-07","","","","9","","","8","","14","","","11","","","","","","","105","14","","","","30","","","","","","","","","","","","",""
"2020-04-08","","","","10","","","","","20","","","","","","","","","","128","","","2","24","31","2","15","","","","","","","","","","",""
"2020-04-09","","","","12","","1","","27","","","","","","","","42","","","167","19","","9","31","34","","17","","","","","","","","","","27",""
"2020-04-10","","6","","24","","","9","","","","","","7","","","50","","","220","27","","12","","43","","19","","","","","","","","","","",""
"2020-04-11","","7","","37","","","","","26","","","","8","","","","","","300","28","","14","","","3","33","","","","","","","","","","47",""
"2020-04-12","","","","52","","","","","34","","","14","","","","52","","2","340","29","","","","51","","40","6","","","","","","","2","","59",""
"2020-04-13","","","","59","","","20","","","","","","11","","","54","","","369","","","15","","82","","49","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","","","","","","","452","30","","17","32","95","","57","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","","","12","","","","","","482","","","","33","105","","84","7","","","","","","","","","60",""
"2020-04-16","6","","","","","","43","","35","","","","","","","","","","485","","","","35","116","","86","8","","","","","","","","","71",""
"2020-04-17","15","","","","","","","","","","","","13","","","60","","","493","","","18","36","154","","92","14","","","","","","","","","93",""
"2020-04-18","18","","","60","","","85","","","","","","","","","","","","518","31","","","","180","","97","31","","","","","","","","","95",""
"2020-04-19","23","","","","","","102","28","37","","","","","","","","","3","534","32","","20","37","228","","99","58","","","","","","4","","","",""
"2020-04-20","24","","","61","","","","27","","","","","","","","61","","","584","","","","39","260","","106","61","","","","","","","","","96",""
"2020-04-21","59","","","","","","","32","","","","","20","","","","","8","656","34","","","40","276","","108","71","","","","","","7","","","98",""
