"date","Nagaland/Dimapur","Nagaland/Kiphire","Nagaland/Kohima","Nagaland/Longleng","Nagaland/Mokokchung","Nagaland/Mon","Nagaland/Nagaland","Nagaland/Others","Nagaland/Peren","Nagaland/Phek","Nagaland/Tuensang","Nagaland/Wokha","Nagaland/Zunheboto"
"2020-05-25","","","","","","","","","","","","",""
"2020-05-26","","","","","","","","","","","","",""
"2020-05-27","","","","","","","","","","","","",""
"2020-05-28","","","","","","","","","","","","",""
"2020-05-29","","","","","","","","","","","","",""
"2020-05-30","","","","","","","","","","","","",""
"2020-05-31","","","","","","","","","","","","",""
"2020-06-02","","","","","","","","","","","","",""
"2020-06-04","","","","","","","","","","","","",""
"2020-06-06","","","","","","","","","","","","",""
"2020-06-07","0","","","","","","","","","","","",""
"2020-06-08","0","","","","","","","","","","","",""
"2020-06-09","0","","","","","","","","","","","",""
"2020-06-10","4","","8","","","","","","","","","",""
"2020-06-11","7","","0","","","","","","","","","",""
"2020-06-12","8","","0","","","","","","","","","",""
"2020-06-13","27","","","","","","","","","","","",""
"2020-06-14","-54","","-10","","","","","","","","","",""
"2020-06-15","0","","","","","","","","","","","",""
"2020-06-16","","","0","","","","","","","","","",""
"2020-06-17","0","","","","","","","","","","","",""
"2020-06-18","4","","","","","","","","","","","",""
"2020-06-19","0","","0","","","","","","","","","",""
"2020-06-20","","","0","","","","","","","","","",""
"2020-06-21","","","0","","","","","","","","","",""
"2020-06-22","0","","","","","","","","0","","","",""
"2020-06-23","0","","0","","","","","","0","","","",""
"2020-06-24","5","","2","","","","","","","","","",""
"2020-06-25","8","","2","","","","","","2","","","",""
"2020-06-26","","","","","","","","","2","","","",""
"2020-06-27","2","","0","","","","","","0","","","",""
"2020-06-28","0","","0","","","","","","0","","","",""
"2020-06-29","","","","","","","","","0","","","",""
"2020-06-30","0","","","","","","","","","","","",""
"2020-07-01","0","","0","","","","","","0","","","",""
"2020-07-02","0","","0","","","","","","0","","","",""
"2020-07-03","10","","10","","","","","","10","","","",""
"2020-07-04","","","0","","","","","","0","","","",""
"2020-07-05","0","","0","","","","","","0","","","",""
"2020-07-06","0","","","","","","","","","","","",""
"2020-07-07","","","0","","","","","","","","","",""
"2020-07-08","0","","0","","","","","","","","","",""
"2020-07-09","","","","","","","","","0","0","","",""
"2020-07-10","0","","0","","","","","","0","0","","",""
"2020-07-11","","","0","","","","","","","","","",""
"2020-07-12","0","","1","","","","","","5","8","","",""
"2020-07-13","0","","0","","","","","","","","","",""
"2020-07-14","0","","0","","","","","","0","","","",""
"2020-07-15","1","","1","","","","","","","","","",""
"2020-07-16","0","","0","","","","","","43","","","",""
"2020-07-17","0","","","","","","","","14","","","",""
"2020-07-18","0","","0","","","","","","0","","","",""
"2020-07-19","0","","0","","","","","","","","","",""
"2020-07-20","0","","0","","","","","","","","","",""
"2020-07-21","0","","","","","","","","0","","","",""
"2020-07-22","0","","0","","","","","","0","","","",""
"2020-07-23","33","","22","","","","","","192","1","","",""
"2020-07-24","0","","7","","","","","","0","","0","",""
"2020-07-25","-3","","0","","0","0","","","3","5","-1","",""
"2020-07-26","1","","5","2","","0","","","","","","",""
"2020-07-27","4","","1","","1","0","","","13","","","1",""
"2020-07-28","0","","3","","","0","","","5","0","0","0",""
"2020-07-29","0","","1","","","2","","","10","1","4","",""
"2020-07-30","0","","0","1","0","29","","","","","","",""
"2020-07-31","0","","0","","2","","","","8","","","",""
"2020-08-01","0","","3","","","","","","1","","","","1"
"2020-08-02","0","","8","","","0","","","","0","","0","0"
"2020-08-03","0","","9","","","","","","","","","","0"
"2020-08-04","0","","","","","0","","","","2","","",""
"2020-08-05","0","","-2","","2","5","","","18","","","","3"
"2020-08-06","88","","10","","2","30","","","","0","3","","1"
"2020-08-07","0","","0","","","","","","","","","","5"
"2020-08-08","52","","9","","2","","","","","5","","1","0"
"2020-08-09","0","","1","","","0","","","0","6","","4","0"
"2020-08-10","32","","12","","","23","","","0","","","2",""
"2020-08-11","1","","11","","","","","","","","0","",""
"2020-08-12","74","","5","","-1","48","","","","","","0","2"
"2020-08-13","-1","","27","","","0","","","","","","","0"
"2020-08-14","38","","14","","3","0","","","1","1","","2","0"
"2020-08-15","54","","68","","1","","","","","","0","0",""
"2020-08-16","57","","2","","1","41","","","","","","","0"
"2020-08-17","72","","30","","0","4","","","","2","","","0"
"2020-08-18","79","","36","","","0","","","","","","","19"
"2020-08-19","30","0","5","","","","","","","","","7",""
"2020-08-20","192","","21","","","0","","","","","","","2"
"2020-08-21","41","","90","","","","","","13","","","","9"
"2020-08-22","18","","72","0","","","","","2","","0","0",""
"2020-08-23","100","","21","","0","4","","","","","0","","3"
"2020-08-24","84","","18","0","","","","","","","","","0"
"2020-08-25","93","","88","1","1","0","","","0","","","0","32"
"2020-08-26","0","","0","","0","","","","","","","",""
"2020-08-27","34","","52","","","38","","","","","0","",""
"2020-08-28","110","","5","","","0","","","","","","0","0"
"2020-08-29","16","","38","","","1","","","","0","1","2",""
"2020-08-30","69","","29","","0","-1","","","","","0","","12"
"2020-08-31","26","1","13","","1","","","","","","","",""
"2020-09-01","77","","51","","","3","","","","","2","",""
"2020-09-02","6","","13","","0","","","","1","","0","1","1"
"2020-09-03","4","","86","1","","0","","","","","","","10"
"2020-09-04","6","","27","","","","","","","0","","1","3"
"2020-09-05","9","","34","","0","25","","","","","","",""
"2020-09-06","76","","1","","","0","","","","","","",""
"2020-09-07","78","","91","-1","1","1","","","2","","4","2",""
"2020-09-08","52","0","2","","0","0","","","","","","",""
"2020-09-09","4","","35","","2","7","","","","","","",""
"2020-09-10","0","","0","","0","","","","","","","","5"
"2020-09-11","4","","5","","0","0","","","0","","","0","1"
"2020-09-12","0","","25","","","5","","","0","1","","",""
"2020-09-13","23","","24","","0","","","","","","13","1",""
"2020-09-14","4","9","0","","","1","","","","","","",""
"2020-09-15","0","","27","","3","0","","","","","0","",""
"2020-09-16","14","","23","","2","1","","","","1","","",""
"2020-09-17","80","","30","","","0","","","","","","","1"
"2020-09-18","14","","8","","0","7","","","0","","0","",""
"2020-09-19","10","","28","","","2","","","","","2","","0"
"2020-09-20","68","","7","","","2","","","","","1","",""
"2020-09-21","138","","85","0","","","","","","0","0","",""
"2020-09-22","-27","","60","","","7","","","","","0","",""
"2020-09-23","2","","15","","","0","","","","","0","1",""
"2020-09-24","39","","45","","","0","","","","","2","","3"
"2020-09-25","34","2","56","","","0","","","3","","","0",""
"2020-09-26","65","","24","","0","0","","","","0","","",""
"2020-09-27","50","","7","0","7","0","","","","","2","",""
"2020-09-28","2","","45","","","2","","","","","0","",""
"2020-09-29","35","","6","","3","1","","","","","","",""
"2020-09-30","79","","1","","","3","","","","","0","",""
"2020-10-01","40","","32","0","0","1","","","1","","","",""
"2020-10-02","54","","6","","5","1","","","","","0","","1"
"2020-10-03","43","","3","","","","","","","","","",""
"2020-10-04","40","","3","0","2","1","","","","","5","",""
"2020-10-05","41","","73","","","0","","","","","","",""
"2020-10-06","28","","4","","0","3","","","2","","","",""
