"date","Lakshadweep/Lakshadweep"
"2021-01-18",""
"2021-01-19",""
"2021-01-20",""
"2021-01-21",""
"2021-01-22",""
"2021-01-23",""
"2021-01-25",""
"2021-01-26",""
"2021-01-29",""
"2021-01-30",""
"2021-01-31",""
"2021-02-01",""
"2021-02-02",""
"2021-02-03",""
"2021-02-04",""
"2021-02-05",""
"2021-02-06",""
"2021-02-07",""
"2021-02-08",""
"2021-02-09",""
"2021-02-10",""
"2021-02-11",""
"2021-02-12",""
"2021-02-13",""
"2021-02-14",""
"2021-02-15",""
"2021-02-16",""
"2021-02-17",""
"2021-02-18",""
"2021-02-21",""
"2021-02-22",""
"2021-02-23",""
"2021-02-24",""
"2021-02-25","1"
"2021-02-26","1"
"2021-02-27","1"
"2021-02-28","1"
"2021-03-01","1"
"2021-03-02","1"
"2021-03-03","1"
"2021-03-04","1"
"2021-03-05","1"
"2021-03-06","1"
"2021-03-07","1"
"2021-03-08","1"
"2021-03-09","1"
"2021-03-10","1"
"2021-03-11","1"
"2021-03-12","1"
"2021-03-13","1"
"2021-03-14","1"
"2021-03-15","1"
"2021-03-16","1"
"2021-03-17","1"
"2021-03-18","1"
"2021-03-19","1"
"2021-03-20","1"
"2021-03-21","1"
"2021-03-23","1"
"2021-03-24","1"
"2021-03-25","1"
"2021-03-26","1"
"2021-03-27","1"
