"date","New Hampshire/Belknap","New Hampshire/Carroll","New Hampshire/Cheshire","New Hampshire/Coos","New Hampshire/Grafton","New Hampshire/Hillsborough","New Hampshire/Merrimack","New Hampshire/Nashua","New Hampshire/Rockingham","New Hampshire/Strafford","New Hampshire/Sullivan","New Hampshire/Unassigned"
"2020-03-22","0","0","0","0","0","0","0","0","0","0","0",""
"2020-03-23","0","0","0","0","0","1","0","","0","0","0","0"
"2020-03-24","0","0","0","0","0","1","0","","0","0","0",""
"2020-03-25","0","0","0","0","0","1","0","","0","0","0",""
"2020-03-26","0","0","0","0","0","1","0","","0","0","0",""
"2020-03-27","0","0","0","0","0","1","0","","0","0","0","0"
"2020-03-28","0","0","0","0","0","2","0","","0","0","0",""
"2020-03-29","0","0","0","0","0","2","0","","0","0","0",""
"2020-03-30","0","0","0","0","0","2","0","","1","0","0","0"
"2020-03-31","0","0","0","","0","2","0","","1","0","0","0"
"2020-04-01","0","0","0","","0","2","0","","1","0","0","0"
"2020-04-02","0","0","0","","0","","0","","1","0","0","2"
"2020-04-03","0","0","0","","0","2","0","","1","0","0","2"
"2020-04-04","0","0","0","0","0","2","0","","1","0","0","4"
"2020-04-05","0","0","0","0","0","2","0","","1","0","0","6"
"2020-04-06","0","0","0","0","0","2","0","","1","0","0","6"
"2020-04-07","0","0","0","0","0","2","0","","1","0","0","6"
"2020-04-08","0","0","0","0","0","2","0","","1","0","0","10"
"2020-04-09","0","0","0","0","0","2","0","","1","0","0","18"
"2020-04-10","0","0","0","0","0","2","0","","1","0","0","18"
"2020-04-11","0","0","0","0","0","2","0","","1","0","0","19"
"2020-04-12","0","0","0","0","0","2","0","","1","0","0","20"
"2020-04-13","0","0","0","0","0","2","0","","1","0","0","20"
"2020-04-14","0","0","0","0","0","0","0","","1","0","0","24"
"2020-04-15","0","0","0","0","0","2","0","","1","0","0","29"
"2020-04-16","0","0","0","0","0","2","0","","1","0","0","29"
"2020-04-17","0","0","0","0","0","2","0","","1","0","0","34"
"2020-04-18","0","0","0","0","0","2","0","","1","0","0","35"
"2020-04-19","0","0","0","0","0","2","0","","1","0","0","35"
"2020-04-20","0","0","0","0","0","2","0","","1","0","0","39"
"2020-04-21","0","0","0","0","0","2","0","","1","0","0","39"
"2020-04-22","0","0","0","0","0","2","0","","1","0","0","45"
"2020-04-23","0","0","0","0","0","2","0","","1","0","0","48"
"2020-04-24","0","0","0","0","0","2","0","","1","0","0","50"
"2020-04-25","0","0","0","0","0","2","0","","1","0","0","50"
"2020-04-26","0","0","0","0","0","2","0","","1","0","0","57"
"2020-04-27","0","0","0","0","0","2","0","","1","0","0","57"
"2020-04-28","0","0","0","0","0","2","0","","1","0","0","57"
"2020-04-29","0","0","0","0","0","2","0","","1","0","0","57"
"2020-04-30","0","0","2","0","0","31","3","","16","7","1","12"
"2020-05-01","0","0","2","0","0","31","3","","16","7","1","21"
"2020-05-02","0","0","2","0","0","31","3","","16","7","1","24"
"2020-05-03","0","0","2","0","0","31","3","","16","7","1","26"
"2020-05-04","0","0","2","0","0","31","3","","16","7","1","26"
"2020-05-05","0","0","2","0","0","31","3","","16","7","1","32"
"2020-05-06","0","0","2","0","0","31","3","","16","7","1","32"
"2020-05-07","0","0","2","0","1","40","6","","28","8","1","28"
"2020-05-08","0","0","2","0","1","40","6","","28","8","1","35"
"2020-05-09","0","0","2","0","1","40","6","","28","8","1","45"
"2020-05-10","0","0","2","0","1","40","6","","28","8","1","47"
"2020-05-11","0","0","2","0","1","40","6","","28","8","1","47"
"2020-05-12","0","0","2","0","1","40","6","","28","8","1","56"
"2020-05-13","0","0","2","0","1","40","6","","28","8","1","64"
"2020-05-14","0","0","2","0","1","54","10","","53","11","1","19"
"2020-05-15","0","0","2","0","1","54","10","","53","11","1","19"
"2020-05-16","0","0","2","0","1","54","10","","53","11","1","39"
"2020-05-17","0","0","2","0","1","54","10","","53","11","1","40"
"2020-05-18","0","0","2","0","1","54","10","","53","11","1","40"
"2020-05-19","0","0","2","0","1","54","10","","53","11","1","40"
"2020-05-20","0","0","2","0","1","54","10","","53","11","1","58"
"2020-05-21","0","0","2","0","1","81","13","","62","12","1","27"
"2020-05-22","0","0","2","0","1","81","13","","62","12","1","32"
"2020-05-23","0","0","2","0","1","81","13","","62","12","1","36"
"2020-05-24","0","0","2","0","1","81","13","","62","12","1","37"
"2020-05-25","0","0","2","0","1","81","13","","62","12","1","38"
"2020-05-26","0","0","2","0","1","81","13","","62","12","1","42"
"2020-05-27","0","0","2","0","1","81","13","","62","12","1","51"
"2020-05-28","0","0","2","0","1","81","13","","62","12","1","60"
"2020-05-29","0","0","2","0","1","134","14","","73","13","1","0"
"2020-05-30","0","0","2","0","1","134","14","","73","13","1","0"
"2020-05-31","0","0","2","0","1","139","14","","75","13","1","0"
"2020-06-01","0","0","2","0","1","139","14","","75","13","1","0"
"2020-06-02","0","0","2","0","1","148","15","","76","13","1","0"
"2020-06-03","0","0","2","0","1","155","17","","76","13","1","0"
"2020-06-04","0","0","2","0","1","162","18","","76","13","1","0"
"2020-06-05","0","0","2","0","1","162","18","","76","13","1","5"
"2020-06-06","0","0","2","0","1","172","18","","76","13","1","0"
"2020-06-07","0","0","2","0","1","175","18","","76","13","1","0"
"2020-06-08","0","0","2","0","1","175","18","","76","13","1","0"
"2020-06-09","0","0","2","0","1","175","18","","76","13","1","0"
"2020-06-10","0","0","2","0","1","187","18","","79","13","1","0"
"2020-06-11","0","0","2","0","1","194","18","","79","13","1","0"
"2020-06-12","1","0","2","0","1","200","18","","79","13","1","0"
"2020-06-13","1","0","2","0","1","203","18","","79","13","1","0"
"2020-06-14","1","0","2","0","1","205","18","","79","13","1","0"
"2020-06-15","1","0","2","0","1","205","18","","79","13","1","0"
"2020-06-16","1","0","2","0","1","209","18","","81","13","1","0"
"2020-06-17","1","0","2","0","1","213","18","","81","13","1","0"
"2020-06-18","1","0","2","0","1","214","18","","81","13","1","0"
"2020-06-19","1","0","2","0","1","218","18","","83","13","1","0"
"2020-06-20","1","0","2","0","1","220","18","","83","13","1","0"
"2020-06-21","1","0","2","0","1","220","18","","83","13","1","0"
"2020-06-22","1","0","2","0","1","220","18","","83","13","1","0"
"2020-06-23","1","0","2","0","1","224","18","","83","13","1","0"
"2020-06-24","1","0","2","0","1","226","18","","85","13","1","0"
"2020-06-25","1","0","2","0","1","234","18","","87","13","1","0"
"2020-06-26","1","0","2","0","1","241","18","","88","13","1","0"
"2020-06-27","1","0","2","0","1","242","18","","89","13","1","0"
"2020-06-28","1","0","2","0","1","242","18","","89","13","1","0"
"2020-06-29","1","0","2","0","1","242","18","","89","13","1","0"
"2020-06-30","1","0","2","0","1","246","18","","89","13","1","0"
"2020-07-01","1","0","2","0","1","248","18","","89","13","1","0"
"2020-07-02","1","0","2","0","1","250","18","","89","13","1","0"
"2020-07-03","1","0","2","0","1","251","18","","89","13","1","0"
"2020-07-04","1","0","2","0","1","253","18","","90","13","1","0"
"2020-07-05","2","0","2","0","1","253","18","","91","13","1","0"
"2020-07-06","2","0","2","0","1","253","18","","92","13","1","0"
"2020-07-07","2","0","2","0","1","254","19","","92","13","1","0"
"2020-07-08","2","0","2","0","1","256","19","","92","13","1","0"
"2020-07-09","2","0","2","0","1","257","19","","92","13","1","0"
"2020-07-10","3","0","2","0","1","259","19","","92","13","1","0"
"2020-07-11","3","0","2","0","1","260","19","","92","13","1","0"
"2020-07-12","3","0","2","0","1","260","19","","92","13","1","0"
"2020-07-13","3","0","2","0","1","260","19","","92","13","1","0"
"2020-07-14","3","0","2","0","1","261","19","","92","13","1","0"
"2020-07-15","3","0","2","0","1","263","19","","92","13","1","0"
"2020-07-16","3","0","2","0","1","263","20","","92","13","1","0"
"2020-07-17","3","0","2","0","1","263","20","","92","13","1","0"
"2020-07-18","3","0","2","0","1","264","20","","92","13","1","0"
