"date","Kerala/Alappuzha","Kerala/Emakulam","Kerala/Ernakulam","Kerala/Idukki","Kerala/KAsaragod","Kerala/Kannur","Kerala/Kasaargod","Kerala/Kasaragod","Kerala/Kollam","Kerala/Kottayam","Kerala/Kozhikode","Kerala/Malappuram","Kerala/Other State","Kerala/Palakkad","Kerala/Pathanamthitta","Kerala/Thiruvananthapuram","Kerala/Thrissur","Kerala/Wayanad","Kerala/Will add when bulletin is released","Kerala/idukki"
"2020-01-30","","","","","","","","","","","","","","","","","","","",""
"2020-02-02","","","","","","","","","","","","","","","","","","","",""
"2020-02-03","","","","","","","","","","","","","","","","","","","",""
"2020-03-08","","","","","","","","","","","","","","","","","","","",""
"2020-03-09","","","","","","","","","","","","","","","","","","","",""
"2020-03-10","","","","","","0","","","","","","","","","3","","","","",""
"2020-03-12","","","","","","1","","","","","","","","","","","1","","",""
"2020-03-13","","","","","","","","","","","","","","","","","","","",""
"2020-03-15","","","","","","","","","","","","","","","","1","","","",""
"2020-03-16","","","","","","","","0","","","","","","","","","","","",""
"2020-03-19","","","","","","","","0","","","","","","","","","","","",""
"2020-03-20","","","1","","","","","0","","","","","","","","","","","",""
"2020-03-21","","","0","","","3","","1","","","","","","","","","","","",""
"2020-03-22","","","0","","","0","","0","","","","0","","","","","","","",""
"2020-03-23","","","0","","","2","","1","","","","","","","0","","0","","",""
"2020-03-24","0","","0","","","","","0","","1","0","0","","","","0","","","",""
"2020-03-25","","","0","","","","","","","","0","","","","0","","","","",""
"2020-03-26","","","","1","","4","","1","","","","1","","","","","0","","",""
"2020-03-27","","","","","","0","","1","","","1","","","","","","0","","",""
"2020-03-28","","","","","","","","0","","","","0","","","","0","","","",""
"2020-03-29","","","0","","","6","","0","","","","0","","","","0","0","","",""
"2020-03-30","","","","0","","3","","0","","","","","","","","","","1","",""
"2020-03-31","","","","","","0","","0","","","","","","","","0","0","","",""
"2020-04-01","","","0","","","0","","0","","","","0","","","","0","0","","",""
"2020-04-02","","","","0","","0","","0","","","0","0","","","0","0","0","","",""
"2020-04-03","","","","","","0","","0","","","","","","","","","0","","",""
"2020-04-04","0","","0","","","0","","0","","","","","","","","","","","",""
"2020-04-05","","","","","","0","","0","","","0","","","","0","","","","",""
"2020-04-06","","","","","","","","0","","","","0","","","0","","","","",""
"2020-04-07","","","","","","0","","0","","","","0","","","","","","","",""
