"date","Lakshadweep/Lakshadweep"
"2021-01-18","   .00 %"
"2021-01-19","   .00 %"
"2021-01-20","   .00 %"
"2021-01-21","   .00 %"
"2021-01-22","   .00 %"
"2021-01-23","   .00 %"
"2021-01-25","   .00 %"
"2021-01-26","   .00 %"
"2021-01-29","   .00 %"
"2021-01-30","   .00 %"
"2021-01-31","   .00 %"
"2021-02-01","   .00 %"
"2021-02-02","   .00 %"
"2021-02-03","   .00 %"
"2021-02-04","   .00 %"
"2021-02-05","   .00 %"
"2021-02-06","   .00 %"
"2021-02-07","   .00 %"
"2021-02-08","   .00 %"
"2021-02-09","   .00 %"
"2021-02-10","   .00 %"
"2021-02-11","   .00 %"
"2021-02-12","   .00 %"
"2021-02-13","   .00 %"
"2021-02-14","   .00 %"
"2021-02-15","   .00 %"
"2021-02-16","   .00 %"
"2021-02-17","   .00 %"
"2021-02-18","   .00 %"
"2021-02-21","   .00 %"
"2021-02-22","   .00 %"
"2021-02-23","   .00 %"
"2021-02-24","   .00 %"
"2021-02-25","   .00 %"
"2021-02-26","   .00 %"
"2021-02-27","   .00 %"
"2021-02-28","   .00 %"
"2021-03-01","   .00 %"
"2021-03-02","   .00 %"
"2021-03-03","   .00 %"
"2021-03-04","   .00 %"
"2021-03-05","   .00 %"
"2021-03-06","   .00 %"
