"date","Utah/Bear River","Utah/Beaver","Utah/Box Elder","Utah/Cache","Utah/Carbon","Utah/Central Utah","Utah/Daggett","Utah/Davis","Utah/Duchesne","Utah/Emery","Utah/Garfield","Utah/Grand","Utah/Iron","Utah/Juab","Utah/Kane","Utah/Millard","Utah/Morgan","Utah/Out of UT","Utah/Piute","Utah/Rich","Utah/Salt Lake","Utah/San Juan","Utah/Sanpete","Utah/Sevier","Utah/Southeast Utah","Utah/Southwest","Utah/Southwest Utah","Utah/Summit","Utah/Tooele","Utah/TriCounty","Utah/Uintah","Utah/Unassigned","Utah/Utah","Utah/Wasatch","Utah/Washington","Utah/Washington County","Utah/Wayne","Utah/Weber","Utah/Weber-Morgan","Utah/unassigned"
"2020-03-22","","0","0","0","0","","0","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","0","0","","0","","0","0","0","","0","0","",""
"2020-03-23","","0","0","0","0","","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","0","0","0","","0","0","",""
"2020-03-24","","0","0","0","0","","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","0","0","0","","0","0","",""
"2020-03-25","","0","0","0","0","","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","0","0","0","","0","0","",""
"2020-03-26","","0","0","0","0","","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","0","0","0","","0","0","",""
"2020-03-27","","0","0","0","0","","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","0","0","0","","0","0","",""
"2020-03-28","","0","0","0","0","","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","0","0","0","","0","0","",""
"2020-03-29","","0","0","0","0","","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","0","0","1","","0","0","",""
"2020-03-30","","0","0","0","0","","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","","","","0","0","","0","","0","0","1","","0","0","",""
"2020-03-31","","","0","0","","","","1","","","0","0","0","","","","","0","","","2","0","","","","","","0","0","","0","","0","0","1","","","1","",""
"2020-04-01","","","0","0","","","","1","","","0","0","0","","","","","0","","","2","0","","","","","","0","0","","0","","0","0","1","","","1","",""
"2020-04-02","","","0","0","","","","1","0","","0","0","0","","0","","","0","","","4","0","","","","","","0","0","","0","","0","0","1","","","1","",""
"2020-04-03","","","0","0","0","","","1","0","0","0","0","0","","0","","","","","","4","0","","","","","","0","0","","0","","0","0","1","0","","1","",""
"2020-04-04","","","0","0","0","","","2","0","0","0","0","0","","0","","","","","","4","0","","","","","","0","0","","0","","0","0","1","0","","1","",""
"2020-04-05","","","0","0","0","","","2","0","0","0","0","0","","0","","","","","","4","0","","","","","","0","0","","0","0","0","0","1","0","","1","",""
"2020-04-06","","","0","0","0","","","2","0","0","0","0","0","","0","","","","","","7","0","","","","","","0","0","","0","0","2","0","1","0","","1","",""
"2020-04-07","","","0","0","0","","","2","0","0","0","0","0","","0","","","","","","7","0","","","","","","0","0","","0","0","2","0","1","","","1","",""
"2020-04-08","","","0","0","0","","","2","0","0","0","0","0","","0","","","","","","7","0","","","","","","0","0","","0","0","2","0","1","","","1","",""
"2020-04-09","","","0","0","0","","","2","0","0","0","0","0","","0","","","","","","7","0","","","","","","0","0","","0","0","2","0","1","","","1","",""
"2020-04-10","","","0","0","0","","","2","0","0","0","0","0","","0","","","","","","7","0","","","","","","0","0","","0","0","2","0","1","","","1","","4"
"2020-04-11","","","0","0","0","","","2","0","0","0","0","0","","0","","","","","","7","0","","","","","","0","0","","0","","2","0","1","","","1","","5"
"2020-04-12","","","0","0","0","","","2","0","0","0","0","0","","0","","","","","","7","0","","","","","","0","0","","0","","2","0","1","","","1","","5"
"2020-04-13","","","0","0","0","","","2","0","0","0","0","0","","0","","","","","","7","0","","","","","","0","0","","0","","2","0","1","","","1","",""
"2020-04-14","","","0","0","0","","","2","0","0","0","0","0","","0","","","","","","7","0","","","","","","0","0","","0","5","2","0","1","","","1","",""
"2020-04-15","","","0","0","0","","","2","0","0","0","0","0","","0","","","","","","7","0","","","","","","0","0","","0","7","2","0","1","","","1","",""
"2020-04-16","","","0","0","0","","","2","0","0","0","0","0","","0","","","","","","7","0","","","","","","0","0","","0","7","2","0","1","","","1","",""
"2020-04-17","","","0","","","","","2","","","","","","","","","","","","","12","2","","","","","","0","0","","","0","4","1","1","","","1","",""
"2020-04-18","","","0","","","","","2","","","","","","","","","","","","","13","2","","","","","","0","0","","","0","5","1","1","","","1","",""
"2020-04-19","0","","","","","0","","2","","","","","","","","","","","","","15","2","","","0","","1","0","0","0","","0","5","1","","","","","1",""
"2020-04-20","1","","","","","0","","2","","","","","","","","","","","","","15","2","","","0","","1","0","0","0","","0","5","1","","","","","1",""
"2020-04-21","1","","","","","0","","2","","","","","","","","","","","","","18","2","","","0","","1","0","0","0","","0","5","1","","","","","2",""
"2020-04-22","1","","","","","0","","2","","","","","","","","","","","","","18","2","","","0","","1","0","0","0","","0","5","1","","","","","2",""
"2020-04-23","1","","","","","0","","2","","","","","","","","","","","","","20","2","","","0","0","1","0","0","0","","0","6","1","","","","","2",""
"2020-04-24","1","","","","","0","","2","","","","","","","","","","","","","23","2","","","0","0","1","0","0","0","","0","7","1","","","","","2",""
"2020-04-25","1","","","","","0","","2","","","","","","","","","","","","","24","2","","","0","0","2","0","0","0","","0","7","1","","","","","2",""
"2020-04-26","1","","","","","0","","2","","","","","","","","","","","","","24","2","","","0","0","2","0","0","0","","0","7","1","","","","","2",""
"2020-04-27","1","","","","","0","","2","","","","","","","","","","","","","24","2","","","0","0","2","0","0","0","","0","7","1","","","","","2",""
"2020-04-28","1","","","","","0","","2","","","","","","","","","","","","","24","2","","","0","0","2","0","0","0","","0","7","1","","","","","2",""
"2020-04-29","1","","","","","0","","2","","","","","","","","","","","","","28","2","","","0","0","2","0","0","0","","0","7","1","","","","","2",""
"2020-04-30","1","","","","","0","","2","","","","","","","","","","","","","29","2","","","0","0","2","0","0","0","","0","7","1","","","","","2",""
"2020-05-01","1","","","","","0","","2","","","","","","","","","","","","","29","2","","","0","0","2","0","0","0","","0","7","1","","","","","2",""
"2020-05-02","1","","","","","0","","2","","","","","","","","","","","","","30","2","","","0","","2","0","0","0","","0","9","1","","","","","2",""
"2020-05-03","1","","","","","0","","2","","","","","","","","","","","","","31","2","","","0","","2","0","0","0","","0","9","1","","","","","2",""
"2020-05-04","1","","","","","0","","2","","","","","","","","","","","","","31","2","","","0","","2","0","0","0","","0","9","1","","","","","2",""
"2020-05-05","1","","","","","0","","2","","","","","","","","","","","","","35","2","","","0","","3","0","0","0","","0","10","1","","","","","2",""
"2020-05-06","1","","","","","0","","2","","","","","","","","","","","","","37","2","","","0","","3","0","0","0","","0","10","1","","","","","2",""
"2020-05-07","1","","","","","0","","2","","","","","","","","","","","","","39","2","","","0","","3","0","0","0","","0","11","1","","","","","2",""
"2020-05-08","1","","","","","0","","2","","","","","","","","","","","","","39","2","","","0","","3","0","0","0","","0","11","1","","","","","2",""
"2020-05-09","1","","","","","0","","2","","","","","","","","","","","","","43","3","","","0","","3","0","0","0","","0","11","1","","","","","2",""
"2020-05-10","1","","","","","0","","2","","","","","","","","","","","","","44","3","","","0","","3","0","0","0","","0","11","1","","","","","2",""
"2020-05-11","1","","","","","0","","2","","","","","","","","","","","","","45","3","","","0","","3","0","0","0","","0","11","1","","","","","2",""
"2020-05-12","1","","","","","0","","2","","","","","","","","","","","","","49","3","","","0","","3","0","0","0","","0","11","1","","","","","3",""
"2020-05-13","1","","","","","0","","2","","","","","","","","","","","","","51","3","","","0","","3","0","0","0","","0","11","1","","","","","3",""
"2020-05-14","1","","","","","0","","2","","","","","","","","","","","","","51","3","","","0","","3","0","0","0","","0","11","1","","","","","3",""
"2020-05-15","1","","","","","0","","2","","","","","","","","","","","","","52","4","","","0","","3","0","0","0","","0","11","1","","","","","3",""
"2020-05-16","1","","","","","0","","2","","","","","","","","","","","","","53","4","","","0","","3","0","0","0","","0","11","1","","","","","3",""
"2020-05-17","1","","","","","0","","2","","","","","","","","","","","","","55","4","","","0","","3","0","0","0","","0","11","1","","","","","3",""
"2020-05-18","1","","","","","0","","2","","","","","","","","","","","","","55","4","","","0","","3","0","0","0","","0","11","1","","","","","3",""
"2020-05-19","1","","","","","0","","2","","","","","","","","","","","","","61","4","","","0","","4","0","0","0","","0","12","1","","","","","3",""
"2020-05-20","1","","","","","0","","2","","","","","","","","","","","","","62","4","","","0","","4","0","0","0","","0","13","1","","","","","3",""
"2020-05-21","1","","","","","0","","2","","","","","","","","","","","","","64","4","","","0","","4","0","0","0","","0","13","1","","","","","3",""
"2020-05-22","1","","","","","0","","2","","","","","","","","","","","","","64","4","","","0","","4","0","0","0","","0","13","1","","","","","4",""
"2020-05-23","1","","","","","0","","2","","","","","","","","","","","","","67","4","","","0","","4","0","0","0","","0","14","1","","","","","4",""
"2020-05-24","1","","","","","0","","2","","","","","","","","","","","","","67","4","","","0","","4","0","0","0","","0","14","1","","","","","4",""
"2020-05-25","2","","","","","0","","2","","","","","","","","","","","","","67","4","","","0","","4","0","0","0","","0","14","1","","","","","4",""
"2020-05-26","2","","","","","0","","2","","","","","","","","","","","","","69","5","","","0","","4","0","0","0","","0","14","1","","","","","4",""
"2020-05-27","2","","","","","0","","2","","","","","","","","","","","","","70","5","","","0","","4","0","0","0","","0","15","1","","","","","6",""
"2020-05-28","2","","","","","0","","2","","","","","","","","","","","","","70","5","","","0","","4","0","0","0","","0","17","1","","","","","5",""
"2020-05-29","2","","","","","0","","2","","","","","","","","","","","","","71","5","","","0","","4","0","0","0","","0","17","1","","","","","5",""
"2020-05-30","2","","","","","0","","2","","","","","","","","","","","","","74","5","","","0","","4","0","0","0","","0","17","1","","","","","7",""
"2020-05-31","2","","","","","0","","2","","","","","","","","","","","","","74","5","","","0","","4","0","0","0","","0","17","2","","","","","7",""
"2020-06-01","2","","","","","0","","2","","","","","","","","","","","","","74","5","","","0","","4","0","0","0","","0","17","2","","","","","7",""
"2020-06-02","2","","","","","0","","2","","","","","","","","","","","","","74","5","","","0","","4","0","0","0","","0","17","2","","","","","7",""
"2020-06-03","2","","","","","0","","2","","","","","","","","","","","","","78","5","","","0","","4","0","0","0","","0","17","2","","","","","7",""
"2020-06-04","2","","","","","0","","2","","","","","","","","","","","","","78","5","","","0","","4","0","0","0","","0","17","2","","","","","7",""
"2020-06-05","2","","","","","0","","2","","","","","","","","","","","","","81","5","","","0","","4","0","0","0","","0","17","2","","","","","7",""
"2020-06-06","2","","","","","0","","2","","","","","","","","","","","","","81","5","","","0","","4","0","0","0","","0","17","2","","","","","8",""
"2020-06-07","2","","","","","0","","2","","","","","","","","","","","","","81","5","","","0","","4","0","0","0","","0","17","2","","","","","8",""
"2020-06-08","2","","","","","0","","3","","","","","","","","","","","","","83","5","","","0","","4","0","0","0","","0","17","2","","","","","8",""
"2020-06-09","2","","","","","0","","3","","","","","","","","","","","","","85","5","","","0","","4","0","0","0","","0","18","2","","","","","8",""
"2020-06-10","2","","","","","0","","4","","","","","","","","","","","","","85","5","","","0","","4","0","0","0","","0","18","2","","","","","8",""
"2020-06-11","2","","","","","0","","4","","","","","","","","","","","","","87","5","","","0","","4","0","0","0","","0","19","2","","","","","8",""
"2020-06-12","2","","","","","0","","4","","","","","","","","","","","","","93","5","","","0","","5","0","0","0","","0","19","2","","","","","9",""
"2020-06-13","2","","","","","0","","4","","","","","","","","","","","","","93","5","","","0","","5","0","0","0","","0","19","2","","","","","9",""
"2020-06-14","2","","","","","0","","4","","","","","","","","","","","","","93","5","","","0","","5","0","0","0","","0","19","2","","","","","9",""
"2020-06-15","2","","","","","0","","4","","","","","","","","","","","","","94","6","","","0","","7","0","0","0","","0","19","2","","","","","9",""
"2020-06-16","2","","","","","0","","4","","","","","","","","","","","","","96","6","","","0","","7","0","0","0","","0","19","2","","","","","9",""
"2020-06-17","2","","","","","0","","4","","","","","","","","","","","","","99","6","","","0","","8","0","0","0","","0","19","2","","","","","9",""
"2020-06-18","2","","","","","0","","4","","","","","","","","","","","","","100","7","","","0","","9","0","0","0","","0","19","2","","","","","9",""
"2020-06-19","2","","","","","0","","4","","","","","","","","","","","","","102","7","","","0","","9","0","0","0","","0","19","3","","","","","9",""
"2020-06-20","2","","","","","0","","4","","","","","","","","","","","","","102","7","","","0","","9","0","0","0","","0","19","3","","","","","9",""
"2020-06-21","2","","","","","0","","4","","","","","","","","","","","","","102","7","","","0","","10","0","0","0","","0","21","3","","","","","9",""
"2020-06-22","2","","","","","0","","4","","","","","","","","","","","","","102","7","","","0","","10","0","0","0","","0","21","3","","","","","9",""
"2020-06-23","2","","","","","0","","4","","","","","","","","","","","","","105","7","","","0","","10","0","0","0","","0","22","3","","","","","10",""
"2020-06-24","2","","","","","0","","4","","","","","","","","","","","","","105","7","","","0","","10","0","0","0","","0","22","3","","","","","10",""
"2020-06-25","2","","","","","0","","4","","","","","","","","","","","","","105","7","","","0","","10","0","0","0","","0","22","3","","","","","11",""
"2020-06-26","2","","","","","0","","4","","","","","","","","","","","","","106","7","","","0","","10","0","0","0","","0","22","3","","","","","12",""
"2020-06-27","2","","","","","0","","4","","","","","","","","","","","","","106","8","","","0","","10","0","0","0","","0","22","3","","","","","12",""
"2020-06-28","2","","","","","0","","4","","","","","","","","","","","","","106","8","","","0","","10","0","0","0","","0","22","3","","","","","12",""
"2020-06-29","2","","","","","0","","5","","","","","","","","","","","","","106","8","","","0","","10","0","0","0","","0","22","3","","","","","12",""
"2020-06-30","2","","","","","0","","5","","","","","","","","","","","","","107","9","","","0","","11","0","0","0","","0","22","3","","","","","13",""
"2020-07-01","2","","","","","0","","5","","","","","","","","","","","","","108","9","","","0","","11","0","0","0","","0","22","3","","","","","13",""
"2020-07-02","3","","","","","0","","5","","","","","","","","","","","","","110","9","","","0","","11","0","0","0","","0","22","3","","","","","13",""
"2020-07-03","3","","","","","0","","5","","","","","","","","","","","","","112","9","","","0","","12","1","0","0","","0","22","3","","","","","14",""
"2020-07-04","3","","","","","0","","5","","","","","","","","","","","","","112","9","","","0","","12","1","0","0","","0","22","3","","","","","14",""
"2020-07-05","3","","","","","0","","5","","","","","","","","","","","","","113","9","","","0","","13","1","0","0","","0","23","3","","","","","14",""
"2020-07-06","3","","","","","0","","6","","","","","","","","","","","","","117","9","","","0","","13","1","0","0","","0","23","4","","","","","14",""
"2020-07-07","3","","","","","0","","6","","","","","","","","","","","","","120","9","","","0","","13","1","0","0","","0","24","4","","","","","14",""
"2020-07-08","3","","","","","0","","6","","","","","","","","","","","","","122","10","","","0","","14","1","0","0","","0","27","4","","","","","14",""
"2020-07-09","3","","","","","0","","6","","","","","","","","","","","","","124","11","","","0","","15","1","0","0","","0","27","4","","","","","14",""
"2020-07-10","3","","","","","0","","6","","","","","","","","","","","","","125","11","","","0","","16","1","0","0","","0","27","4","","","","","14",""
"2020-07-11","3","","","","","0","","6","","","","","","","","","","","","","130","11","","","0","","16","1","0","0","","0","27","4","","","","","14",""
"2020-07-12","3","","","","","0","","6","","","","","","","","","","","","","130","11","","","0","","18","1","0","0","","0","28","4","","","","","14",""
"2020-07-13","3","","","","","0","","6","","","","","","","","","","","","","130","11","","","0","","18","1","0","0","","0","28","4","","","","","15",""
"2020-07-14","4","","","","","0","","6","","","","","","","","","","","","","130","17","","","0","","19","1","0","0","","0","29","4","","","","","16",""
"2020-07-15","4","","","","","0","","7","","","","","","","","","","","","","132","18","","","0","","19","1","0","0","","0","30","4","","","","","18",""
"2020-07-16","4","","","","","0","","7","","","","","","","","","","","","","133","18","","","0","","19","1","0","0","","0","30","4","","","","","18",""
"2020-07-17","4","","","","","0","","7","","","","","","","","","","","","","133","18","","","0","","19","1","0","0","","0","30","4","","","","","19",""
"2020-07-18","4","","","","","0","","7","","","","","","","","","","","","","136","19","","","0","","21","1","0","0","","0","30","4","","","","","21",""
"2020-07-19","4","","","","","0","","7","","","","","","","","","","","","","136","19","","","0","","21","1","0","0","","0","30","4","","","","","21",""
"2020-07-20","4","","","","","0","","7","","","","","","","","","","","","","138","19","","","0","","21","1","0","0","","0","31","4","","","","","22",""
"2020-07-21","5","","","","","0","","8","","","","","","","","","","","","","139","19","","","0","","21","1","0","0","","0","31","4","","","","","23",""
"2020-07-22","5","","","","","1","","9","","","","","","","","","","","","","145","19","","","0","","21","1","0","0","","0","31","4","","","","","24",""
"2020-07-23","5","","","","","1","","9","","","","","","","","","","","","","152","19","","","0","","21","1","0","0","","0","31","4","","","","","24",""
"2020-07-24","5","","","","","1","","10","","","","","","","","","","","","","156","19","","","0","","22","1","0","0","","0","31","4","","","","","24",""
"2020-07-25","5","","","","","1","","11","","","","","","","","","","","","","156","19","","","0","","22","1","0","0","","0","31","4","","","","","24",""
"2020-07-26","5","","","","","1","","11","","","","","","","","","","","","","156","19","","","0","","22","1","0","0","","0","31","4","","","","","24",""
"2020-07-27","5","","","","","1","","11","","","","","","","","","","","","","160","21","","","0","","23","1","0","0","","0","31","4","","","","","24",""
"2020-07-28","5","","","","","1","","12","","","","","","","","","","","","","162","22","","","0","","24","1","0","0","","0","31","4","","","","","24",""
"2020-07-29","5","","","","","1","","12","","","","","","","","","","","","","166","22","","","0","","24","1","0","0","","0","32","4","","","","","25",""
"2020-07-30","5","","","","","2","","13","","","","","","","","","","","","","171","22","","","0","","24","1","0","0","","0","33","4","","","","","25",""
"2020-07-31","6","","","","","2","","13","","","","","","","","","","","","","173","23","","","0","","24","1","0","0","","0","33","4","","","","","25",""
"2020-08-01","6","","","","","2","","13","","","","","","","","","","","","","176","24","","","0","","24","1","0","0","","0","35","4","","","","","25",""
"2020-08-02","6","","","","","2","","14","","","","","","","","","","","","","176","24","","","0","","24","1","0","0","","0","35","4","","","","","25",""
"2020-08-03","6","","","","","2","","15","","","","","","","","","","","","","178","24","","","0","","24","1","0","0","","0","35","4","","","","","25",""
"2020-08-04","6","","","","","2","","16","","","","","","","","","","","","","184","24","","","0","","24","1","0","0","","0","35","4","","","","","25",""
"2020-08-05","6","","","","","2","","18","","","","","","","","","","","","","185","25","","","0","","25","1","0","0","","0","36","4","","","","","25",""
"2020-08-06","6","","","","","2","","19","","","","","","","","","","","","","186","25","","","0","","25","1","0","0","","0","37","4","","","","","25",""
"2020-08-07","6","","","","","2","","21","","","","","","","","","","","","","189","25","","","0","","25","1","0","0","","0","37","4","","","","","25",""
"2020-08-08","6","","","","","2","","21","","","","","","","","","","","","","189","25","","","0","","25","1","0","0","","0","37","4","","","","","25",""
"2020-08-09","7","","","","","2","","21","","","","","","","","","","","","","189","25","","","0","","25","1","0","0","","0","37","4","","","","","25",""
"2020-08-10","7","","","","","2","","21","","","","","","","","","","","","","196","25","","","1","","26","1","0","0","","0","37","4","","","","","25",""
"2020-08-11","7","","","","","2","","21","","","","","","","","","","","","","200","25","","","1","","26","1","0","0","","0","37","4","","","","","25",""
"2020-08-12","7","","","","","2","","21","","","","","","","","","","","","","202","25","","","1","","26","1","0","0","","0","37","4","","","","","25",""
"2020-08-13","7","","","","","2","","21","","","","","","","","","","","","","204","25","","","1","","26","1","0","0","","0","37","4","","","","","25",""
"2020-08-14","7","","","","","2","","21","","","","","","","","","","","","","209","26","","","1","","26","1","0","0","","0","38","4","","","","","25",""
"2020-08-15","7","","","","","3","","21","","","","","","","","","","","","","211","26","","","1","","26","1","0","0","","0","38","4","","","","","25",""
"2020-08-16","7","","","","","3","","21","","","","","","","","","","","","","211","26","","","1","","26","1","0","0","","0","38","4","","","","","25",""
"2020-08-17","7","","","","","2","","21","","","","","","","","","","","","","212","26","","","1","","26","1","0","0","","0","39","4","","","","","25",""
"2020-08-18","8","","","","","2","","21","","","","","","","","","","","","","215","26","","","1","","26","1","0","0","","0","39","4","","","","","26",""
"2020-08-19","9","","","","","2","","21","","","","","","","","","","","","","217","27","","","1","","26","1","0","0","","0","41","4","","","","","28",""
"2020-08-20","9","","","","","2","","21","","","","","","","","","","","","","220","27","","","1","","26","1","0","0","","0","42","4","","","","","28",""
"2020-08-21","9","","","","","2","","21","","","","","","","","","","","","","222","27","","","1","","26","1","0","0","","0","42","4","","","","","28",""
"2020-08-22","9","","","","","2","","21","","","","","","","","","","","","","224","27","","","1","","26","1","0","0","","0","42","4","","","","","28",""
"2020-08-23","9","","","","","2","","21","","","","","","","","","","","","","224","27","","","1","","26","1","0","0","","0","42","4","","","","","28",""
"2020-08-24","9","","","","","2","","22","","","","","","","","","","","","","224","28","","","1","","26","1","0","1","","0","43","5","","","","","28",""
