"date","Kerala/Alappuzha","Kerala/Emakulam","Kerala/Ernakulam","Kerala/Idukki","Kerala/KAsaragod","Kerala/Kannur","Kerala/Kasaargod","Kerala/Kasaragod","Kerala/Kollam","Kerala/Kottayam","Kerala/Kozhikode","Kerala/Malappuram","Kerala/Other State","Kerala/Palakkad","Kerala/Pathanamthitta","Kerala/Thiruvananthapuram","Kerala/Thrissur","Kerala/Wayanad","Kerala/Will add when bulletin is released","Kerala/idukki"
"2020-01-30","","","","","","","","","","","","","","","","","","","",""
"2020-02-02","","","","","","","","","","","","","","","","","","","",""
"2020-02-03","","","","","","","","","","","","","","","","","","","",""
"2020-03-08","","","","","","","","","","","","","","","","","","","",""
"2020-03-09","","","","","","","","","","","","","","","","","","","",""
"2020-03-10","","","","","","","","","","","","","","","","","","","",""
"2020-03-12","","","","","","","","","","","","","","","","","","","",""
"2020-03-13","","","","","","","","","","","","","","","","","","","",""
"2020-03-15","","","","","","","","","","","","","","","","","","","",""
"2020-03-16","","","","","","","","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","","","","","","","","","","","","","","","","",""
"2020-03-21","","","","","","","","   .00 %","","","","","","","","","","","",""
"2020-03-22","","","","","","   .00 %","","   .00 %","","","","","","","","","","","",""
"2020-03-23","","","   .00 %","","","   .00 %","","   .00 %","","","","","","","","","","","",""
"2020-03-24","","","   .00 %","","","","","   .00 %","","","","","","","","","","","",""
"2020-03-25","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","   .00 %","","   .00 %","","","","","","","","","","","",""
"2020-03-27","","","","","","   .00 %","","   .00 %","","","","","","","","","   .00 %","","",""
"2020-03-28","","","","","","","","   .00 %","","","","   .00 %","","","","","","","",""
"2020-03-29","","","   .00 %","","","   .00 %","","   .00 %","","","","   .00 %","","","","   .00 %","   .00 %","","",""
"2020-03-30","","","","","","   .00 %","","   .00 %","","","","","","","","","","","",""
"2020-03-31","","","","","","   .00 %","","   .00 %","","","","","","","","   .00 %","   .00 %","","",""
"2020-04-01","","","   .00 %","","","   .00 %","","   .00 %","","","","   .00 %","","   .00 %","","   .00 %","   .00 %","","",""
"2020-04-02","","","","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","",""
"2020-04-03","","","","","","   .00 %","","   .00 %","","","","","","","","","   .00 %","","",""
