"date","Jammu and Kashmir/Anantnag","Jammu and Kashmir/Bandipora","Jammu and Kashmir/Baramulla","Jammu and Kashmir/Budgam","Jammu and Kashmir/Doda","Jammu and Kashmir/Ganderbal","Jammu and Kashmir/Jammu","Jammu and Kashmir/Kathua","Jammu and Kashmir/Kishtwar","Jammu and Kashmir/Kulgam","Jammu and Kashmir/Kupwara","Jammu and Kashmir/Pulwama","Jammu and Kashmir/Punch","Jammu and Kashmir/Rajouri","Jammu and Kashmir/Ramban","Jammu and Kashmir/Reasi","Jammu and Kashmir/Samba","Jammu and Kashmir/Shopiyan","Jammu and Kashmir/Srinagar","Jammu and Kashmir/Udham Singh Nagar","Jammu and Kashmir/Udhampur","Jammu and Kashmir/Unknown"
"2020-03-09","","","","","","","   .00 %","","","","","","","","","","","","","","",""
"2020-03-13","","","","","","","   .00 %","","","","","","","","","","","","","","",""
"2020-03-16","","","","","","","   .00 %","","","","","","","","","","","","","","",""
"2020-03-18","","","","","","","","","","","","","","","","","","","   .00 %","","",""
"2020-03-24","","   .00 %","","","","","","","","","","","","","","","","","   .00 %","","",""
"2020-03-25","","   .00 %","","","","","","","","","","","","","","","","","   .00 %","","",""
"2020-03-26","","","","","","","","","","","","","","   .00 %","","","","","   .00 %","","",""
"2020-03-27","","","","","","","","","","","","","","   .00 %","","","","","   .00 %","","",""
"2020-03-28","","   .00 %","","","","","   .00 %","","","","","","","","","","","","   .00 %","","",""
"2020-03-29","","","   .00 %","   .00 %","","","","","","","","","","","","","","","   .00 %","","",""
"2020-03-30","","   .00 %","","","","","   .00 %","","","","","","","","","","","   .00 %","   .00 %","","",""
"2020-03-31","","","","","","","","","","","","","","","","","","","   .00 %","","",""
"2020-04-01","","   .00 %","","","","","","","","","","","","","","","","","","","",""
"2020-04-02","","   .00 %","","","","","","","","","","","","","","","","","","","",""
"2020-04-03","","   .00 %","","","","","   .00 %","","","","","","","","","","","","","","   .00 %",""
"2020-04-04","","   .00 %","   .00 %","","","","","","","","","","","","","","","","","","   .00 %",""
"2020-04-05","","","   .00 %","","","","","","","","","","","","","","","","","","",""
"2020-04-06","","","   .00 %","","","","","","","","","","","","","","","","","","",""
"2020-04-07","","","   .00 %","","","","   .00 %","","","","","","","","","","","","   .00 %","","",""
"2020-04-08","","","   .00 %","   .00 %","","","   .00 %","","","","","   .00 %","","","","","","   .00 %","   .00 %","","",""
"2020-04-09","","","","","","   .00 %","","","","","   .00 %","","","","","","","   .00 %","","","",""
"2020-04-10","","","","","","   .00 %","","","   .00 %","   .00 %","","","","","","","   .00 %","","","","   .00 %",""
"2020-04-11","","   .00 %","   .00 %","   .00 %","","","","","","","","","","","","","","","   .00 %","","",""
"2020-04-12","","","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","","","   .00 %","","   .00 %","","",""
"2020-04-13","","   .00 %","   .00 %","","","","","","","   .00 %","","","","","","","","","   .00 %","","",""
"2020-04-14","","   .00 %","","","","","   .00 %","","","","","","","","","","","","   .00 %","","",""
"2020-04-15","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","","","","","","","   .00 %","","   .00 %",""
"2020-04-16","","   .00 %","","   .00 %","","   .00 %","","","","","","","","","","","","","   .00 %","","",""
"2020-04-17","","   .00 %","","","","","","","","","   .00 %","","","","","","","   .00 %","","","",""
"2020-04-18","   .00 %","   .00 %","","   .00 %","","","","","","","","","","","","","","   .00 %","","","",""
"2020-04-19","","   .00 %","   .00 %","","","","","","","   .00 %","   .00 %","","","   .00 %","","","","","   .00 %","","",""
"2020-04-20","   .00 %","   .00 %","","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-04-21","","","   .00 %","","","","","   .00 %","","","","","","","","","","   .00 %","","","",""
"2020-04-22","   .00 %","   .00 %","   .00 %","","","","","","","","   .00 %","","","","","","","   .00 %","","","",""
"2020-04-23","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","","   .00 %","","","","   .00 %","","","   .00 %","","","",""
"2020-04-24","","   .00 %","   .00 %","","","","","","","","   .00 %","","","","","","","   .00 %","","","",""
"2020-04-25","   .00 %","   .00 %","   .00 %","","","","","","","","   .00 %","","","","","","","   .00 %","   .00 %","","",""
"2020-04-26","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","","   .00 %","","","","","","","","   .00 %","","",""
"2020-04-27","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","","   .00 %",""
"2020-04-28","   .00 %","","   .00 %","","","","   .00 %","","","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","   .00 %","","   .00 %",""
