"date","Chandigarh/Chandigarh"
"2020-03-19",""
"2020-03-20",""
"2020-03-22",""
"2020-03-23",""
"2020-03-27"," 87.21 %"
"2020-03-30"," 94.35 %"
"2020-03-31"," 16.45 %"
"2020-04-01"," 14.36 %"
"2020-04-02"," 13.56 %"
"2020-04-10"," 12.86 %"
"2020-04-12","  7.31 %"
"2020-04-18","  6.69 %"
"2020-04-19","  6.85 %"
"2020-04-21","  6.61 %"
"2020-04-25","  6.38 %"
"2020-04-26","  9.49 %"
"2020-04-27"," 12.29 %"
"2020-04-28"," 14.54 %"
"2020-04-29"," 17.78 %"
"2020-04-30"," 18.80 %"
"2020-05-01"," 17.59 %"
"2020-05-02"," 14.58 %"
"2020-05-03"," 10.87 %"
"2020-05-04","  7.97 %"
"2020-05-05","  9.50 %"
"2020-05-06","  6.80 %"
"2020-05-07","  7.21 %"
"2020-05-08","  8.17 %"
"2020-05-09"," 10.23 %"
"2020-05-10","  7.54 %"
"2020-05-11","  7.63 %"
"2020-05-12","  6.58 %"
"2020-05-13","  5.43 %"
"2020-05-14","  2.41 %"
"2020-05-15","  1.95 %"
"2020-05-16","  1.06 %"
"2020-05-18","   .92 %"
"2020-05-19","   .80 %"
"2020-05-20","  1.10 %"
"2020-05-21","  2.64 %"
"2020-05-22","  2.73 %"
"2020-05-23","  2.75 %"
"2020-05-24","  5.66 %"
"2020-05-25","  5.66 %"
"2020-05-26","  5.01 %"
"2020-05-27","  4.99 %"
"2020-05-28","  5.16 %"
"2020-05-30","  1.95 %"
"2020-05-31","  1.93 %"
"2020-06-01","  1.31 %"
"2020-06-02","  1.50 %"
"2020-06-04","   .87 %"
"2020-06-05","  1.32 %"
"2020-06-06","  1.24 %"
"2020-06-07","  1.10 %"
"2020-06-08","  1.21 %"
"2020-06-09","  1.51 %"
"2020-06-10","  1.18 %"
"2020-06-11","  1.23 %"
"2020-06-12","  1.87 %"
"2020-06-13","  1.78 %"
"2020-06-14","  1.53 %"
"2020-06-15","  1.69 %"
"2020-06-16","  1.89 %"
"2020-06-17","  1.39 %"
"2020-06-18","  1.31 %"
"2020-06-19","  1.57 %"
"2020-06-20","  2.48 %"
"2020-06-21","  2.14 %"
"2020-06-22","  2.11 %"
"2020-06-23","  2.23 %"
"2020-06-24","  1.96 %"
"2020-06-25","   .91 %"
"2020-06-26","   .91 %"
"2020-06-27","   .80 %"
"2020-06-28","   .61 %"
"2020-06-29","   .65 %"
"2020-06-30","   .78 %"
"2020-07-01","   .96 %"
"2020-07-02","   .99 %"
"2020-07-03","  1.03 %"
"2020-07-04","  1.11 %"
"2020-07-05","  1.14 %"
"2020-07-06","  1.76 %"
"2020-07-07","  1.79 %"
"2020-07-08","  2.21 %"
"2020-07-09","  2.62 %"
"2020-07-10","  2.81 %"
"2020-07-11","  2.40 %"
"2020-07-12","  2.56 %"
"2020-07-13","  2.98 %"
"2020-07-14","  2.76 %"
"2020-07-15","  2.90 %"
"2020-07-16","  2.93 %"
"2020-07-17","  3.35 %"
"2020-07-18","  3.25 %"
"2020-07-19","  3.60 %"
"2020-07-20","  3.52 %"
"2020-07-21","  3.39 %"
"2020-07-22","  3.37 %"
"2020-07-23","  2.95 %"
"2020-07-24","  2.78 %"
"2020-07-25","  2.92 %"
"2020-07-26","  3.36 %"
"2020-07-27","  3.11 %"
"2020-07-28","  3.13 %"
"2020-07-29","  3.49 %"
"2020-07-30","  3.56 %"
"2020-07-31","  3.43 %"
"2020-08-01","  3.45 %"
"2020-08-02","  3.62 %"
"2020-08-03","  3.45 %"
"2020-08-04","  3.47 %"
"2020-08-05","  3.84 %"
"2020-08-06","  4.20 %"
"2020-08-07","  4.21 %"
"2020-08-08","  4.20 %"
"2020-08-09","  4.65 %"
"2020-08-10","  4.65 %"
"2020-08-11","  4.69 %"
"2020-08-12","  4.95 %"
"2020-08-13","  5.23 %"
"2020-08-14","  4.92 %"
"2020-08-15","  4.71 %"
"2020-08-16","  4.69 %"
"2020-08-17","  4.81 %"
"2020-08-18","  4.57 %"
"2020-08-19","  4.43 %"
"2020-08-20","  4.58 %"
"2020-08-21","  4.58 %"
"2020-08-22","  4.60 %"
"2020-08-23","  4.82 %"
"2020-08-24","  4.83 %"
"2020-08-25","  4.99 %"
"2020-08-26","  5.10 %"
"2020-08-27","  5.12 %"
"2020-08-28","  4.99 %"
"2020-08-29","  5.59 %"
"2020-08-30","  5.30 %"
"2020-08-31","  5.18 %"
