"date","Assam/.","Assam/Airport","Assam/Airport Quarantine","Assam/Baksa","Assam/Barpeta","Assam/Biswanath","Assam/Bongaigaon","Assam/Cachar","Assam/Charaideo","Assam/Chirang","Assam/Darrang","Assam/Dhemaji","Assam/Dhubri","Assam/Dibrugarh","Assam/Dima Hasao","Assam/Goalpara","Assam/Golaghat","Assam/Hailakandi","Assam/Hojai","Assam/Jorhat","Assam/Kamrup","Assam/Kamrup Metropolitan","Assam/Karbi Anglong","Assam/Karimganj","Assam/Kishanganj","Assam/Kokrajhar","Assam/Lakhimpur","Assam/Majuli","Assam/Morigaon","Assam/Nagaon","Assam/Nalbari","Assam/Other State","Assam/Sarusajai Quarantine Centre","Assam/Sivasagar","Assam/Sonitpur","Assam/South Salmara Mankachar","Assam/Tinsukia","Assam/Udalguri","Assam/West Karbi Anglong"
"2020-05-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-11","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","",""
"2020-05-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","",""
"2020-05-15","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-17","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-18","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-19","","","","","","","","","","","","","","","","","1","","","","","","","2","","","","","","","","","","","","","","",""
"2020-05-20","","","","","","","","5","","","","","","","","","","","","2","","1","","2","","","","","","","","","","","","","","",""
"2020-05-21","","","","","","","","9","","","","","2","","","","","","","","","3","","","","","","","","","","","","","","","","",""
"2020-05-22","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-23","","","","","","","","9","","","","","2","","","1","1","","","2","","5","","","","","","","2","","","","","","","","","",""
"2020-05-24","","","","","","","","","","","","","","","","","","","","2","","6","","","","","","","2","","","","","","","","","",""
"2020-05-25","","","","","","","","9","","","","","","","","1","1","","","4","","9","","2","","","","","2","","","","","","","","","",""
"2020-05-26","","","","","","","","","","","","","2","","","1","1","","","","","9","","2","","","","","2","","","","","","","","","",""
"2020-05-27","","","","","","","","","","","","","","","","","1","","","4","","9","","","","","","","2","","","","","","","","","",""
"2020-05-28","","","","","","","","10","","","","","2","","","1","","","","","","24","","2","","","","","","","","","","","","","","",""
"2020-05-29","","","","","","","","15","","","","","2","","","","1","","","6","","64","","2","","","","","","","","","","","","","","",""
"2020-05-30","","","","","8","","5","29","","","","","2","","","","1","","","9","","77","","","","","","","2","","","","","","","","","",""
"2020-05-31","","","","","8","","","33","","","","","2","","","1","1","","","11","","93","","2","","","","","","","","","","","","","","",""
"2020-06-01","","","","","10","","","41","","","","","2","1","","1","","","","18","","161","","2","","","","","2","","","","","","13","","","",""
"2020-06-02","","","","","12","","","59","","","","1","","","","","13","","","18","","180","","2","","","","","","","","","","","","","","","1"
"2020-06-03","","","","","22","","","61","","","","","2","1","7","","18","","","21","5","219","1","2","","","5","","","","","","","","13","","","","0"
"2020-06-04","","","","","27","","5","65","","","","5","2","","7","1","21","","","21","5","249","","","","","5","","2","","","","","","","","","",""
"2020-06-05","","","","","38","","5","64","","","","5","2","4","7","","27","","","26","18","249","","2","","","","","","","","","","","26","","","",""
"2020-06-06","","","","","38","7","5","64","","","","5","2","4","7","1","34","","","26","18","288","1","13","","","5","","2","10","5","","","","26","","","","0"
"2020-06-07","","","","","40","","","77","","","","5","2","5","","","34","5","","28","20","289","5","","","","5","","6","22","","","","","","","","2",""
"2020-06-08","","","","","55","7","7","81","","","","6","","5","","","79","","","54","20","314","7","16","","10","5","","","22","","","","","35","","6","",""
"2020-06-09","","","","","55","","7","81","","","","6","","5","","1","79","5","","54","20","338","7","16","","","5","","15","25","","","","","35","","6","2",""
"2020-06-10","","","","","","","","","","","","6","","","","","","","","54","","","","","","10","5","","","25","","","","","","","","",""
"2020-06-11","","","","","55","","","","","","","","","5","","","79","","","","","","","","","","5","","","25","","","","","35","","","","0"
"2020-06-13","","","","","","","","","","","","6","","","","","79","","","54","","","7","","","","","","","25","","","","","","","","","0"
"2020-06-14","","","","","55","16","7","81","","","","6","2","","9","","80","","","54","20","338","7","20","","","5","","24","25","","","","26","","","","2",""
"2020-06-15","","","","","","16","","","","","","6","2","5","","","","","","54","","","","","","","5","","","","","","","","","","","",""
"2020-06-16","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","25","","","","","35","","","2",""
"2020-06-17","","","","","55","16","7","81","","","","6","","5","9","","80","5","","54","20","338","7","","","10","","","","25","","","","","35","","","2",""
"2020-06-18","","","","","55","16","","81","","","","6","2","5","","","80","5","","","","338","7","20","","10","5","","","25","5","","","26","35","","6","2",""
"2020-06-21","","","","","","","","","","","","6","","","","","80","","","54","","382","","","","","","","","25","","","","","","","6","2",""
"2020-06-25","","","","","","16","","","","","","6","2","5","","","","","","","20","382","","20","","10","","","","","5","","","","35","","6","",""
"2020-06-26","","","","","","","","","","","","","","","","","","","","","","382","","","","","","","","","","","","","","","","",""
"2020-06-28","","","","","","","","","","","","","","","","","","","","","","382","","","","","","","","","","","","","","","","",""
"2020-06-29","","","","","","","","","","","","","","","","","","","","","","382","","","","","","","","","","","","","","","","",""
"2020-06-30","","","","","55","","","","","","","6","","","","","","","","54","","382","7","","","","5","","","25","","","","","35","","","",""
"2020-07-01","","","","","","","","","","","","","","","","","","","","","","382","","","","","","","","","","","","","","","","",""
"2020-07-02","","","","","","","","","","","","","","","","","","","","","","382","","","","","","","","","","","","","","","","",""
"2020-07-03","","","","","","","","","","","","","","","","","","","","","","382","","","","","","","","","","","","","","","","",""
"2020-07-04","","","","","","","","","","","","","","","","","","","","","","382","","","","","","","","","","","","","","","","",""
"2020-07-05","","","","","","","","","","","","","","","","","","","","","","382","","","","","","","","","","","","","","","","",""
"2020-07-06","","","","","","","","","","","","","","","","","","","","","","382","","","","","","","","","","","","","","","","",""
"2020-07-07","","","","","","","","","","","","","","","","","","","","","20","382","","","","","","","","25","","","","","","","","",""
"2020-07-08","","","","","55","","","","","","","","","","","","","","","","","382","","","","","","","","","","","","26","","","","2",""
"2020-07-09","","","","","","","","","","","","","","","","","","","","","","382","7","","","","","","","","","","","","","","","184",""
"2020-07-10","","","","","","","","","","","","","","","","","","","","","","382","","","","","","","","","","","","","","","","197",""
"2020-07-11","","","","","","","","","","","","","","","","","","","","","","382","","","","","","","","","","","","","","","","",""
"2020-07-12","","","","","","","","","","","","","","","","","","","","54","","382","","","","","","","","25","","","","","","","","210",""
"2020-07-13","","","","","340","","87","248","","52","261","","407","156","116","","545","381","163","110","62","4583","187","141","","","124","","136","107","39","","","26","331","11","109","",""
"2020-07-14","","","","","","","","","","","","","","","","","","","","","","4583","","","","","","","","","","","","","","","","",""
"2020-07-15","","","","","","","","","","","","","","","","","","","","","","4583","","","","","","","","","","","","","","","109","",""
"2020-07-16","","","","","","","","","","","","","","","","","","","","","","4583","","","","","","","","","","","","","","","","",""
"2020-07-17","","","","","","","","","","","","","","","","","","","","","","4583","","","","","","","","","","","","","","","","",""
"2020-07-18","","","","","","","","","","","","","","","","","","","","110","","4583","","","","","","","","","","","","","","","","",""
"2020-07-19","","","","59","400","97","179","336","38","71","341","148","471","206","126","39","649","417","203","305","152","5998","238","303","","119","171","21","156","704","153","","","74","421","","296","226",""
"2020-07-20","","","","","","","","","","","","","","","","","","","","","","5998","","","","119","","","","","","","","","","","","",""
"2020-07-21","","","","","","","","","","","341","","","206","","","","","","","152","5998","","","","","","","","","","","","","","","","",""
"2020-07-22","","","","","","","","","","","","","","","","","","","","305","","5998","","","","","","","","","","","","","","","","",""
"2020-07-23","","","","","","","","","","","","","","","","","","","","","","5998","","303","","119","","","","","","","","","","","","",""
"2020-07-24","","","","","","","","336","","","","","","","","","","","","","","5998","","303","","","","","","","153","","","","","","","",""
"2020-07-25","","","","","","","","","","","","","","","","","649","","","","","5998","","","","","","","","704","","","","","","","","",""
"2020-07-26","","","13","190","668","116","304","799","","","779","169","604","550","147","201","881","663","603","691","317","8697","238","391","","228","330","25","62","1009","260","","","199","498","41","629","261","19"
"2020-07-27","","","","","","","","","","","","","","550","","","","","","691","","8697","238","","","","","","","","","","","","","","629","",""
"2020-07-28","","","","","","","","","","","","","","","","","","","","","317","8697","","","","","","","","","","","","","","","","",""
"2020-07-29","","","","","","","","799","","","","","","","","","","","","691","317","8697","","","","","","","","","","","","","","","629","",""
"2020-07-30","","","","","","","","","","","779","","","","","","","","","","317","8697","","","","","","","","1009","","","","","498","","","",""
"2020-07-31","","","","","","","","799","","","","","","550","","","","","603","691","317","8697","","","","","","","","1009","","","","","498","","","",""
"2020-08-01","","","","","","","","799","","","","","","550","","","881","","","","","8697","","","","","","","","","","","","","498","","","",""
"2020-08-02","","","","","","","","","","","","","","","","","","","","691","","8697","","391","","","","","","","","","","","","","629","",""
"2020-08-03","","","","","","","","","","","","","","550","","","","","","","317","8697","","","","","","","","1009","","","","199","","","629","",""
"2020-08-04","","","","301","739","179","556","1498","67","175","1077","238","782","1486","166","379","1244","785","788","1569","1007","11332","322","549","","348","564","54","345","1688","592","","","290","914","42","1318","417","29"
"2020-08-05","","","","","","","","1498","","","1077","","","1486","","","","","","","1007","11332","","","","","","","","1688","","","","","","","1318","",""
"2020-08-06","","","","","","","","1498","","","","","","1486","","","","","","1569","","11332","","549","","","","","","1688","","","","","","","1318","",""
"2020-08-07","","","","","","","","1498","","","","","782","1486","","","","","","","1007","11332","","","","348","","","","1688","","","","","","","","",""
"2020-08-08","","","","","","","","1498","","","","","","1486","","","","","","","","11332","","","","348","","","","1688","592","","","","","","1318","",""
"2020-08-09","","","","","","","","","","","","","","1486","","","","","","1569","1007","11332","","","","","","","345","","","","","","","","1318","",""
"2020-08-10","","","","","","","","","","","","","","1486","","","","","","","1007","11332","","","","","","","","1688","","","","","914","","","",""
"2020-08-11","","","","","","","","1498","","","","","","1486","","","","","","","","11332","322","","","","","","","","","","","","","","1318","",""
"2020-08-12","","","","447","1024","379","834","1497","105","219","1730","440","1212","2409","199","565","1648","1116","1160","1752","2073","14595","552","955","","353","1134","80","553","2506","824","","","473","1727","46","1798","666","37"
"2020-08-13","","","","","","","834","1497","","","","","","2409","","","","","","","2073","14595","","955","","","1134","","","","","","","","","","","",""
"2020-08-14","","","","","","","","","","","","","","2409","","565","","1116","","","2073","14595","552","","","","","","","2506","","","","","","","","",""
"2020-08-15","","","","","","","834","","","","1730","","","2409","","","","1116","","","","14595","","955","","","","","","2506","","","","","","","","",""
"2020-08-16","","","","447","","","","1497","","","1730","","","2409","","","","","","","","14595","","","","353","","","","","","","","473","","","","",""
"2020-08-17","","","","","","","","1497","","","1730","","","2409","","","1648","","","","2073","14595","","","","","","","","","","","","","","","1798","666",""
"2020-08-18","","","","","","","","1497","","","","","","2409","","","","","","","2073","14595","","955","","","","","","","","","","","","","","",""
"2020-08-19","","","","","","","","1497","","","","","","2409","","","1648","1116","","1752","","14595","","955","","","","","","2506","","","","","","","","",""
"2020-08-20","","","","","1024","","","","","","","","1212","2409","","","","","","","2073","","552","955","","","","","","","","","","","","","","",""
"2020-08-21","","","","","1024","","","1497","","","","","1212","2409","","","","1116","","","2073","14595","","","","","","","","","","","","","","","","",""
"2020-08-22","","","","","","","","1497","","","","","","2409","","","","","","1752","2073","14595","","","","","","","","","","","","","1727","","","",""
"2020-08-23","","","","447","","","","1497","","","","","","2409","","","","","1160","","2073","14595","","955","","","","","","","824","","","","","","","",""
"2020-08-24","","","","","","","","1497","105","","","","","2409","","","","","","1752","","14595","552","955","","353","","","","2506","","","","","","","","",""
"2020-08-25","","","","447","","","","1497","","","","","","2409","","","1648","","","1752","2073","14595","552","","","","","80","","","824","","","","","","","",""
"2020-08-26","","","","","","","","1497","","","","","1212","2409","","","1648","","1160","1752","2073","14595","","955","","","1134","","","2506","824","","","473","","","1798","",""
"2020-08-27","","","","447","","","","","","","1730","","","2409","","","","1116","","1752","","14595","","","","","","","","","","","","","","","","",""
"2020-08-28","","","","","","","","1497","","","","","","2409","","","1648","1116","","1752","2073","14595","","","","","","","","","","","","473","","","1798","",""
"2020-08-29","","","","","","","","1497","","","","","","2409","","","","","","1752","","14595","","","","","","","","","","","","","","","1798","","37"
"2020-08-30","","","","","","","","1497","","219","","","","","","","1648","","","1752","","14595","","","","","","","","2506","","","","","","","","",""
"2020-08-31","","","","","","","","1497","","","","","","2409","","","1648","","","1752","","14595","","","","","","","","","","","","473","","","1798","",""
"2020-09-01","","","","","","","","1497","","","","440","","2409","","","","","1160","1752","","14595","","955","","","","","","","824","","","","","","","",""
"2020-09-02","","","","447","","","","","","","1730","","","2409","","","","","","","","14595","","955","","","","","","2506","","","","","","","","",""
"2020-09-03","","","","","1024","","","1497","","","","","","2409","","","","","1160","","","14595","","","","","","","","","824","","","473","","","","",""
"2020-09-04","","","","","","","","","","","","","","2409","","","","","1160","1752","2073","14595","","955","","353","","","","2506","","","","473","","","1798","666",""
"2020-09-05","","","","","","","834","","105","","1730","","","","","","","1116","","1752","2073","14595","","","","","1134","","","","","","","473","","","","",""
"2020-09-06","","","","","","","","","","","","","","2409","","","","","1160","","","14595","","","","","","","","","","","","","","","","",""
"2020-09-07","","","","","","","","","","","","","","2409","","","","","","1752","","14595","","","","","1134","","","","","","","","","","","",""
"2020-09-08","","","","","","","834","1497","","","","440","","2409","","","","","1160","1752","","14595","","","","","","","","","","","","","","","","666",""
"2020-09-09","","","","","","","","","","","","","","2409","","","","","","1752","","14595","","","","","1134","","","","","","","","","","","",""
"2020-09-11","","","","","","","","","","","","440","","2409","","","","","","1752","","14595","","","","","","","","","","","","","","","","",""
"2020-09-12","","","","","","","","","","","","","","2409","","","","","","1752","","14595","","","","","1134","","","","","","","","","","","",""
"2020-09-13","","","","","","","","","","","","","","","","","","","","1752","","14595","","","","","1134","","","","","","","","","","","",""
"2020-09-14","","","","","","","","","","","","","","2409","","","1648","","","1752","","14595","","","","","1134","","","","","","","","","","","",""
"2020-09-15","","","","","","","","","","","","","","2409","","","","","","1752","","14595","","","","","1134","","","","","","","","","","","",""
"2020-09-16","","","","","","","","","","","","","","2409","","","1648","","","1752","","14595","","","","","","","","","","","","","","","","",""
"2020-09-17","","","","","","","","","","","","","","","","","","","","1752","","14595","","","","","","","","","","","","","","","","",""
