"date","Jharkhand/Bokara","Jharkhand/Bokaro","Jharkhand/Chatra","Jharkhand/Deoghar","Jharkhand/Dhanbad","Jharkhand/Dumka","Jharkhand/East Singhbhum","Jharkhand/Garhwa","Jharkhand/Giridih","Jharkhand/Godda","Jharkhand/Gumla","Jharkhand/Hazaribagh","Jharkhand/Jamtara","Jharkhand/Khunti","Jharkhand/Koderma","Jharkhand/Latehar","Jharkhand/Lohardaga","Jharkhand/Pakur","Jharkhand/Palamu","Jharkhand/Ramgarh","Jharkhand/Ranchi","Jharkhand/Sahibganj","Jharkhand/Saraikela","Jharkhand/Saraikela-Kharsawan","Jharkhand/Simdega","Jharkhand/West Singhbhum"
"2020-04-02","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","",""
"2020-04-05","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-04-09","","   .00 %","","","","","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-04-10","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","","   .00 %","","","   .00 %","","","","","","   .00 %","","","","",""
"2020-04-12","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-13","","   .00 %","","","","","","","   .00 %","","","","","","","","","","","","   .00 %","","","","",""
"2020-04-14","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","   .00 %",""
"2020-04-15","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-04-16","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","",""
"2020-04-17","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-04-18","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-04-19","","","","","   .00 %","","","","","","","","","","","","","","","","   .00 %","","","","   .00 %",""
"2020-04-20","","   .00 %","","   .00 %","","","","","","","","   .00 %","","","","","","","","","   .00 %","","","","",""
"2020-04-23","","","","","","","","   .00 %","","","","","","","","","","","","","   .00 %","","","","",""
"2020-04-24","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-04-25","","","","","","","","","","","","","","","","","","","   .00 %","","   .00 %","","","","",""
"2020-04-26","","","","","","","","   .00 %","","","","","","","","","","","","","   .00 %","","","","",""
"2020-04-27","","","","","","","","","","","","","   .00 %","","","","","","","","   .00 %","","","","",""
"2020-04-28","","","","","   .00 %","","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-04-29","","","","","","","","","","","","","   .00 %","","","","","","","","   .00 %","","","","",""
"2020-04-30","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-05-01","","   .00 %","","","","","","","","   .00 %","","","","","","","","","","","   .00 %","","","","",""
"2020-05-02","","","","   .00 %","","","","","","","","   .00 %","","","","","","","","","","","","","",""
"2020-05-03","","","","   .00 %","","","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-05-05","","","","","","   .00 %","","","","","","","","","   .00 %","","","","","","   .00 %","","","","",""
"2020-05-06","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-05-07","","   .00 %","","","","","","","   .00 %","","","","","","","","","","   .00 %","","","","","","",""
"2020-05-08","","","","","   .00 %","","","   .00 %","","","","","","","   .00 %","","","","","","","","","","",""
"2020-05-09","","","","","   .00 %","","","   .00 %","","","","","","","","","","","   .00 %","","   .00 %","","","","   .00 %",""
"2020-05-10","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","",""
"2020-05-11","","","","","","","","","   .00 %","","","","","","","","","","","","   .00 %","","","","",""
"2020-05-12","","","","","","","   .00 %","","   .00 %","","","   .00 %","","","","","","","","","   .00 %","","","","",""
"2020-05-13","","","","","","","   .00 %","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","","","","","   .00 %","","","","",""
"2020-05-14","","","","","","","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","","","","   .00 %","","   .00 %","","","","",""
"2020-05-15","","","","","   .00 %","","","   .00 %","","","","   .00 %","","","","","","","","","   .00 %","","","","",""
"2020-05-16","","","","   .00 %","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","","","","","","   .00 %","","","","",""
"2020-05-17","","","","   .00 %","","","","","","","","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","","","","",""
"2020-05-18","","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","","   .00 %","","","","","   .00 %"
"2020-05-19","","","","","","","   .00 %","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %",""
"2020-05-20","","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","","","","   .00 %","","","   .00 %","",""
"2020-05-21","","","","","","","   .00 %","","   .00 %","","","","","","   .00 %","","","","   .00 %","","   .00 %","","","   .00 %","",""
"2020-05-22","","   .00 %","","","","","   .00 %","","","","","   .00 %","","","","","","","","   .00 %","","","","","","   .00 %"
"2020-05-23","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","","","","   .00 %","","","","","","   .00 %","","","","   .00 %",""
"2020-05-24","","","","","","","   .00 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","","","","   .00 %","   .00 %","","","","","   .00 %"
"2020-05-25","","   .00 %","","","","","   .00 %","   .00 %","","","","","","","","","","","","   .00 %","   .00 %","","","","",""
"2020-05-26","","","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %"
"2020-05-27","","","","","","","","","","","","   .00 %","","","","   .00 %","","","","","","","","","","   .00 %"
"2020-05-28","","","","","","","","","","","   .00 %","","","","","","","","","","   .00 %","","","","",""
"2020-05-29","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","",""
