"date","Rajasthan/Ajmer","Rajasthan/Alwar","Rajasthan/BSF Camp","Rajasthan/Banswara","Rajasthan/Baran","Rajasthan/Barmer","Rajasthan/Bharatpur","Rajasthan/Bhilwara","Rajasthan/Bikaner","Rajasthan/Bundi","Rajasthan/Chittorgarh","Rajasthan/Churu","Rajasthan/Dausa","Rajasthan/Dholpur","Rajasthan/Dungarpur","Rajasthan/Evacuees","Rajasthan/Ganganagar","Rajasthan/Hanumangarh","Rajasthan/Jaipur","Rajasthan/Jaisalmer","Rajasthan/Jalore","Rajasthan/Jhalawar","Rajasthan/Jhunjhunu","Rajasthan/Jodhpur","Rajasthan/Karauli","Rajasthan/Kota","Rajasthan/Nagaur","Rajasthan/Other State","Rajasthan/Other state","Rajasthan/Pali","Rajasthan/Pratapgarh","Rajasthan/Rajsamand","Rajasthan/Sawai Madhopur","Rajasthan/Sikar","Rajasthan/Sirohi","Rajasthan/Tonk","Rajasthan/Udaipur"
"2020-03-10","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-03-14","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-03-18","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","","","","","   .00 %","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-03-21","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","   .00 %","   .00 %","","","","","","   .00 %","","","","   .00 %","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","   .00 %","","","","","",""
"2020-03-25","","","","","","","","   .00 %","","","","","","","","","","","","","","","   .00 %","   .00 %","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","   .00 %","","","","","","","","","","","   .00 %","","","","   .00 %","   .00 %","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","   .00 %","","","","   .00 %","","","   .00 %","","","","   .00 %","","","","","   .00 %","","","","","","","","","","","","",""
"2020-03-28","   .00 %","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-29","   .00 %","","","","","","","   .00 %","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","",""
"2020-03-30","","   .00 %","","","","","","   .00 %","","","","","","","","   .00 %","","","   .00 %","","","","","   .00 %","","","","","","","","","","","","",""
"2020-03-31","   .00 %","","","","","","","","","","","","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","","","","","","","","","","","","","",""
"2020-04-01","","   .00 %","","","","","","","","","","   .00 %","","","","   .00 %","","","   .00 %","","","","","   .00 %","","","","","","","","","","","","   .00 %",""
"2020-04-02","","","","","","","   .00 %","","","","","","","   .00 %","","","","","   .00 %","","","","   .00 %","   .00 %","","","","","","","","","","","","","   .00 %"
"2020-04-03","","   .00 %","","","","","   .00 %","","   .00 %","","","","   .00 %","","","   .00 %","","","   .00 %","","","","","","","","","","","","","","","","","   .00 %","   .00 %"
"2020-04-04","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","","","","","","","   .00 %","   .00 %","   .00 %","","","","","","","","","","","   .00 %",""
"2020-04-05","","","","","","","","","   .00 %","","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","","","","","   .00 %",""
"2020-04-06","","","","","","","","","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","","   .00 %","","","","","","","","","","   .00 %",""
"2020-04-07","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","","","","","","","   .00 %","   .00 %","","","","   .00 %","","","","","","","","","","","","",""
"2020-04-08","","","","   .00 %","","","","","   .00 %","","","","","","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","","","","","",""
"2020-04-09","","","","   .00 %","","   .00 %","","   .00 %","","","","","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","","","","","","   .00 %",""
"2020-04-10","","   .00 %","","   .00 %","","","   .00 %","","","","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","","","","","","","","","","",""
"2020-04-11","","   .00 %","","   .00 %","","","","","   .00 %","","","","   .00 %","","","","","","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","","","","","","","","","","   .00 %",""
"2020-04-12","","","","   .00 %","","","","","   .00 %","","","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","","","","","","   .00 %","","   .00 %",""
"2020-04-13","","","","   .00 %","","","   .00 %","","","","","","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","","   .00 %","","   .00 %","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","","","","","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","","","   .00 %","","","","","","   .00 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","","","","   .00 %",""
"2020-04-16","   .00 %","","","","","","   .00 %","","   .00 %","","","","","","","","","","   .00 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","","","","   .00 %",""
"2020-04-17","   .00 %","","","","","","","","","","","","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","","","","   .00 %",""
"2020-04-18","   .00 %","","","   .00 %","","","   .00 %","","","","","","","","","","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","","","","","","","","   .00 %",""
"2020-04-19","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","","","","","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","","","",""
"2020-04-20","   .00 %","","","   .00 %","","","","   .00 %","","","","","","","","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","","","","   .00 %",""
"2020-04-21","   .00 %","","","","","","","   .00 %","","","","","   .00 %","","","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","","","   .00 %",""
"2020-04-22","   .00 %","","","","","","   .00 %","","","","","","   .00 %","","","","","","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","","","   .00 %",""
"2020-04-23","   .00 %","","","","","   .00 %","   .00 %","","","","","","","","","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","","   .00 %","","",""
"2020-04-24","","","","","","","   .00 %","","","","","","","","","","","","   .00 %","","","   .00 %","","   .00 %","","   .00 %","","","","   .00 %","","","","","","",""
"2020-04-25","   .00 %","","","","","","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","","","","   .00 %","","   .00 %","","","","",""
"2020-04-26","   .00 %","","","   .00 %","","","   .00 %","","","","","","","   .00 %","","","","   .00 %","   .00 %","","","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","","","   .00 %","","","   .00 %"
"2020-04-27","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","","   .00 %","   .00 %"
"2020-04-28","   .00 %","","","   .00 %","","","","","","","","","","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %",""," ##.## %","   .00 %","","","","","","","   .00 %","","   .00 %","   .00 %"
"2020-04-29","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %"," 50.00 %","","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","","   .00 %"
"2020-04-30","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","","","   .00 %","","","","   .00 %"," 22.22 %","","","","","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","","","   .00 %",""
"2020-05-01","   .00 %","","","   .00 %","","","   .00 %","","","","   .00 %","","","","","   .00 %","",""," 18.18 %","","","   .00 %","   .00 %"," ##.## %","","   .00 %","   .00 %","","","","","   .00 %","","","","   .00 %",""
"2020-05-02","   .00 %","   .00 %","","","","","   .00 %","","","","   .00 %","","","   .00 %","","","",""," 30.77 %","","","","   .00 %"," 50.00 %","","   .00 %","   .00 %","","","   .00 %","","","","","","   .00 %","   .00 %"
