"date","South Carolina/Abbeville","South Carolina/Aiken","South Carolina/Allendale","South Carolina/Anderson","South Carolina/Bamberg","South Carolina/Barnwell","South Carolina/Beaufort","South Carolina/Berkeley","South Carolina/Calhoun","South Carolina/Charleston","South Carolina/Cherokee","South Carolina/Chester","South Carolina/Chesterfield","South Carolina/Clarendon","South Carolina/Colleton","South Carolina/Darlington","South Carolina/Dillon","South Carolina/Dorchester","South Carolina/Edgefield","South Carolina/Fairfield","South Carolina/Florence","South Carolina/Georgetown","South Carolina/Greenville","South Carolina/Greenwood","South Carolina/Hampton","South Carolina/Horry","South Carolina/Jasper","South Carolina/Kershaw","South Carolina/Lancaster","South Carolina/Laurens","South Carolina/Lee","South Carolina/Lexington","South Carolina/Marion","South Carolina/Marlboro","South Carolina/McCormick","South Carolina/Newberry","South Carolina/Oconee","South Carolina/Orangeburg","South Carolina/Pickens","South Carolina/Richland","South Carolina/Saluda","South Carolina/Spartanburg","South Carolina/Sumter","South Carolina/Unassigned","South Carolina/Union","South Carolina/Williamsburg","South Carolina/York"
"2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0"
"2020-03-23","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0"
"2020-03-24","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0"
"2020-03-25","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0"
"2020-03-26","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","","0","0","0"
"2020-03-27","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","3","0","1","0","0","1","0","2","0","0","0","1","0","0","0","0","0","0","0","1","0","0","2","","0","0","0"
"2020-03-28","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","3","0","1","0","0","2","0","2","0","0","0","1","0","0","0","0","0","0","0","2","0","0","2","","0","0","0"
"2020-03-29","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","3","0","1","0","0","3","0","2","0","0","0","1","0","0","0","0","0","0","0","2","0","0","2","","0","0","0"
"2020-03-30","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","3","0","1","0","0","3","0","2","0","0","0","1","0","0","0","0","0","0","0","2","0","0","2","","0","0","0"
"2020-03-31","0","1","","1","0","0","1","0","1","1","","0","0","1","0","0","0","0","0","0","3","0","1","0","","3","0","2","0","0","0","1","1","0","","0","0","0","0","2","0","0","2","","0","0","1"
"2020-04-01","0","1","0","2","0","0","2","0","1","1","","0","0","1","0","0","0","0","0","0","3","0","1","0","","3","0","2","0","0","1","1","1","0","","0","0","0","0","3","0","0","2","","0","0","1"
"2020-04-02","0","1","0","3","0","0","2","0","1","1","0","0","0","1","0","0","0","0","0","0","5","0","1","0","0","4","0","2","0","0","1","1","1","0","0","0","0","0","0","3","0","0","3","","0","0","1"
"2020-04-03","0","1","0","3","0","0","2","0","1","1","0","0","0","1","0","0","0","0","0","0","5","0","2","0","0","4","0","2","0","0","1","1","1","0","0","0","0","0","0","5","0","0","3","","0","0","1"
"2020-04-04","0","1","0","3","0","0","3","0","1","1","0","0","0","1","0","0","0","0","0","0","5","1","2","0","0","4","0","2","0","0","1","3","1","0","0","0","0","0","0","6","0","0","3","","0","0","2"
