"date","Goa/Chicalim Vasco","Goa/North Goa","Goa/Other State","Goa/Sanquelim","Goa/South Goa"
"2020-03-25","","","","",""
"2020-04-04","","","","",""
"2020-05-14","","","","",""
"2020-05-16","","","","",""
"2020-05-17","","","","",""
"2020-05-18","","","","",""
"2020-05-19","","","","",""
"2020-05-20","","","","",""
"2020-05-21","","","","",""
"2020-05-22","","","","",""
"2020-05-23","","","","",""
"2020-05-24","","","","",""
"2020-05-25","","","","",""
"2020-05-30","","","","",""
"2020-05-31","","","","",""
"2020-06-01","","","","",""
"2020-06-02","","","","",""
"2020-06-03","","","","",""
"2020-06-04","","","","",""
"2020-06-05","","","","",""
"2020-06-06","","","","",""
"2020-06-07","","","","",""
"2020-06-08","","","","",""
"2020-06-09","","","","",""
"2020-06-10","","","","",""
"2020-06-11","","","","",""
"2020-06-12","","","","",""
"2020-06-13","","","","",""
"2020-06-14","","","","",""
"2020-06-15","","","","",""
"2020-06-16","","","","",""
"2020-06-17","","","","",""
"2020-06-18","","","","",""
"2020-06-19","","","","",""
"2020-06-20","","","","",""
"2020-06-21","","","","",""
"2020-06-22","","","","",""
"2020-06-23","","0","","",""
"2020-06-24","","0","","","0"
"2020-06-25","","0","","","0"
"2020-06-26","","0","","","0"
"2020-06-27","","0","","","0"
"2020-06-28","","0","","","1"
"2020-06-29","","0","","","0"
"2020-06-30","","0","","","0"
"2020-07-01","","1","","","0"
"2020-07-02","","0","","","0"
"2020-07-03","","0","","","0"
"2020-07-04","","0","","","2"
"2020-07-05","","0","","","1"
"2020-07-06","","0","","","0"
"2020-07-07","","1","","","0"
"2020-07-08","","0","","","0"
"2020-07-09","","0","","","1"
"2020-07-10","","0","","","0"
"2020-07-11","","0","","","3"
"2020-07-12","","0","","","2"
"2020-07-13","","0","","","3"
"2020-07-14","","0","","","1"
"2020-07-15","","0","","","0"
"2020-07-16","","0","","","1"
"2020-07-17","","0","","","2"
"2020-07-18","","0","","","0"
"2020-07-19","","1","","","0"
"2020-07-20","","1","","","0"
"2020-07-21","","1","","","2"
"2020-07-22","","0","","","2"
"2020-07-23","","0","","","1"
"2020-07-24","","0","","","0"
"2020-07-25","","2","","","2"
"2020-07-26","","0","","","2"
"2020-07-27","","0","","","1"
"2020-07-28","","0","","","0"
"2020-07-29","","1","","","2"
"2020-07-30","","2","","","1"
"2020-07-31","","1","","","2"
"2020-08-01","","1","","","2"
"2020-08-02","","1","","","4"
"2020-08-03","","1","","","2"
"2020-08-04","","1","","","3"
"2020-08-05","","4","","","0"
"2020-08-06","","0","","","2"
"2020-08-07","","2","","","2"
"2020-08-08","","2","","","0"
"2020-08-09","","2","","","1"
"2020-08-10","","1","","","4"
"2020-08-11","","1","","","5"
"2020-08-12","","0","","","3"
"2020-08-13","","0","","","2"
"2020-08-14","","2","","","0"
"2020-08-15","","1","","","4"
"2020-08-16","","2","","","4"
"2020-08-17","","3","","","4"
"2020-08-18","","2","","","3"
"2020-08-19","","3","","","5"
"2020-08-20","","1","","","1"
"2020-08-21","","5","","","4"
"2020-08-22","","1","","","4"
"2020-08-23","","2","","","2"
"2020-08-24","","0","","","4"
"2020-08-25","","4","","","5"
"2020-08-26","","1","","","7"
"2020-08-27","","2","","","4"
"2020-08-28","","1","","","3"
"2020-08-29","","2","","","1"
"2020-08-30","","0","","","5"
"2020-08-31","","5","","","3"
"2020-11-26","","","","",""
"2020-11-27","","","","",""
