"date","Puducherry/Karaikal","Puducherry/Mahe","Puducherry/Puducherry","Puducherry/Yanam"
"2020-03-17","","","",""
"2020-04-01","","","",""
"2020-04-02","","","",""
"2020-04-10","","","",""
"2020-04-25","","","",""
"2020-04-27","","","",""
"2020-05-02","","","",""
"2020-05-03","","","",""
"2020-05-08","","","",""
"2020-05-10","","","",""
"2020-05-13","","","",""
"2020-05-14","","","",""
"2020-05-16","","","",""
"2020-05-19","","","",""
"2020-05-20","","","",""
"2020-05-22","","","",""
"2020-05-24","","","",""
"2020-05-25","","","",""
"2020-05-28","","","",""
"2020-05-29","","","",""
"2020-05-31","","","",""
"2020-06-01","","","",""
"2020-06-03","","","",""
"2020-06-05","","","",""
"2020-06-06","","","",""
"2020-06-07","","","",""
"2020-06-08","","","",""
"2020-06-09","","","",""
"2020-06-10","","","",""
"2020-06-11","","","",""
"2020-06-12","","","-1",""
"2020-06-13","","","",""
"2020-06-14","","","",""
"2020-06-15","","","",""
"2020-06-16","","","",""
"2020-06-17","","","",""
"2020-06-18","","","0",""
"2020-06-19","","","0",""
"2020-06-20","","","",""
"2020-06-21","","","",""
"2020-06-22","","","",""
"2020-06-23","","","",""
"2020-06-24","","","",""
"2020-06-25","","","",""
"2020-06-26","","","",""
"2020-06-27","","","",""
"2020-06-28","","","0",""
"2020-06-29","","","",""
"2020-06-30","","","",""
"2020-07-01","","","",""
"2020-07-02","","","",""
"2020-07-03","","","",""
"2020-07-04","","","0",""
"2020-07-05","","","",""
"2020-07-06","","","",""
"2020-07-07","","","",""
"2020-07-08","","","",""
"2020-07-09","","","",""
"2020-07-10","","","-3",""
"2020-07-11","","","2",""
"2020-07-12","","","",""
"2020-07-13","","","",""
"2020-07-14","","","",""
"2020-07-15","","","",""
"2020-07-16","","","-2",""
"2020-07-17","","","1",""
"2020-07-18","","","1",""
"2020-07-19","","","",""
"2020-07-20","","","",""
"2020-07-21","","","0",""
"2020-07-22","","","0",""
"2020-07-23","","","2",""
"2020-07-24","","","-2",""
"2020-07-25","","","1",""
"2020-07-26","","","0",""
"2020-07-27","","","1",""
"2020-07-28","","","0",""
"2020-07-29","","","",""
"2020-07-30","","","",""
"2020-07-31","","","0",""
"2020-08-01","","","1",""
"2020-08-02","","","-1",""
"2020-08-03","","","3",""
"2020-08-04","","","-2",""
"2020-08-05","","","2",""
"2020-08-06","","","1",""
"2020-08-07","","","0",""
"2020-08-08","","","-2",""
"2020-08-09","0","","1",""
"2020-08-10","","","-3","0"
"2020-08-11","","","1",""
"2020-08-12","","","2",""
"2020-08-13","","","1","0"
"2020-08-14","","","-1",""
"2020-08-15","","","",""
"2020-08-16","","","",""
"2020-08-17","","","1","-1"
"2020-08-18","","","6",""
"2020-08-19","","","-4",""
"2020-08-20","","","2",""
"2020-08-21","","","-2",""
"2020-08-22","0","","1",""
"2020-08-23","","","2",""
"2020-08-24","","","-3",""
"2020-08-25","","","0",""
"2020-08-26","-1","","0","1"
"2020-08-27","","","3","0"
"2020-08-28","","","0",""
"2020-08-29","","","4",""
"2020-08-30","","","-3",""
"2020-08-31","","","-3",""
"2020-09-01","","","4",""
"2020-09-02","","","0","1"
"2020-09-03","","","-4",""
"2020-09-04","0","","11",""
"2020-09-05","0","","-2","0"
"2020-09-06","1","","-2","-1"
"2020-09-07","17","","262","30"
