"date","Haryana/Ambala","Haryana/Bhiwani","Haryana/Charkhi Dadri","Haryana/Faridabad","Haryana/Fatehabad","Haryana/Foreign Evacuees","Haryana/Gurugram","Haryana/Hisar","Haryana/Italians","Haryana/Jhajjar","Haryana/Jind","Haryana/Kaithal","Haryana/Karnal","Haryana/Kurukshetra","Haryana/Mahendragarh","Haryana/Nuh","Haryana/Palwal","Haryana/Panchkula","Haryana/Panipat","Haryana/Rewari","Haryana/Rohtak","Haryana/Sirsa","Haryana/Sonipat","Haryana/Yamunanagar"
"2020-03-17","","","","","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-03-18","","","","","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","   .00 %","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-03-21","","","","","","","","","","","","","","","","","","   .00 %","","","","","   .00 %",""
"2020-03-23","","","","","","","   .00 %","","","","","","","","","","   .00 %","","","","","","",""
"2020-03-24","","","","   .00 %","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-03-25","","","","","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-03-27","","","","","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-03-28","   .00 %","","","   .00 %","","","","","","","","","","","","","","","","","","","",""
"2020-03-30","","","","   .00 %","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","","","","   .00 %","","","","   .00 %","","","","","","","","","","   .00 %","","","","   .00 %","",""
"2020-04-02","   .00 %","","","","","","","","","","","","","","","","   .00 %","","","","   .00 %","","",""
"2020-04-03","","","","","","","   .00 %","","","","","","   .00 %","","","   .00 %","","","","","","","",""
"2020-04-04","","   .00 %","","   .00 %","","","   .00 %","","","","","   .00 %","","","","","   .00 %","","","","","","",""
"2020-04-05","","","","","","","   .00 %","","","","","","","","","   .00 %","","","","","","","",""
"2020-04-06","","","   .00 %","","","","","","","","","","   .00 %","","","   .00 %","   .00 %","","","","","","",""
"2020-04-07","","","","   .00 %","","","   .00 %","","","","   .00 %","","","","","   .00 %","","","","","","","",""
"2020-04-08","","","","   .00 %","   .00 %","","   .00 %","","","","","","","","","   .00 %","   .00 %","","","","","","   .00 %",""
"2020-04-09","","","","","","","","","","","","   .00 %","","","","","","   .00 %","","","","","",""
"2020-04-10","   .00 %","","","","","","","","","","","","","","","","","   .00 %","","","","","   .00 %",""
"2020-04-11","","","","   .00 %","","","","   .00 %","","","","","","","","","   .00 %","","","","","","",""
"2020-04-12","","","","   .00 %","","","","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","","","","","","   .00 %"
"2020-04-13","","","","","","","","","","","","","","","","","","","","","","   .00 %","",""
"2020-04-14","","","","   .00 %","","","","","","","","","","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","","","","","","   .00 %","","   .00 %","   .00 %","","","","   .00 %",""
"2020-04-16","","","","","","","","","","","","","","","","   .00 %","   .00 %","   .00 %","","","","","",""
"2020-04-17","","","","","","","","","","","","","","","","   .00 %","","   .00 %","","","","","",""
"2020-04-18","","","","","","","","","","","","","","","","   .00 %","   .00 %","   .00 %","","","","","   .00 %",""
"2020-04-19","   .00 %","   .00 %","","   .00 %","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-04-20","","","","","","","","","","","","","","","","","","   .00 %","","","","","",""
