"date","Louisiana/Acadia","Louisiana/Allen","Louisiana/Ascension","Louisiana/Assumption","Louisiana/Avoyelles","Louisiana/Beauregard","Louisiana/Bienville","Louisiana/Bossier","Louisiana/Caddo","Louisiana/Calcasieu","Louisiana/Caldwell","Louisiana/Cameron","Louisiana/Catahoula","Louisiana/Claiborne","Louisiana/Concordia","Louisiana/De Soto","Louisiana/East Baton Rouge","Louisiana/East Carroll","Louisiana/East Feliciana","Louisiana/Evangeline","Louisiana/Franklin","Louisiana/Grant","Louisiana/Iberia","Louisiana/Iberville","Louisiana/Jackson","Louisiana/Jefferson","Louisiana/Jefferson Davis","Louisiana/LaSalle","Louisiana/Lafayette","Louisiana/Lafourche","Louisiana/Lincoln","Louisiana/Livingston","Louisiana/Madison","Louisiana/Morehouse","Louisiana/Natchitoches","Louisiana/Orleans","Louisiana/Ouachita","Louisiana/Out of LA","Louisiana/Plaquemines","Louisiana/Pointe Coupee","Louisiana/Rapides","Louisiana/Red River","Louisiana/Richland","Louisiana/Sabine","Louisiana/St. Bernard","Louisiana/St. Charles","Louisiana/St. Helena","Louisiana/St. James","Louisiana/St. John the Baptist","Louisiana/St. Landry","Louisiana/St. Martin","Louisiana/St. Mary","Louisiana/St. Tammany","Louisiana/Tangipahoa","Louisiana/Tensas","Louisiana/Terrebonne","Louisiana/Unassigned","Louisiana/Union","Louisiana/Vermilion","Louisiana/Vernon","Louisiana/Washington","Louisiana/Webster","Louisiana/West Baton Rouge","Louisiana/West Carroll","Louisiana/West Feliciana","Louisiana/Winn"
"2020-04-01","   .00 %","   .00 %"," 50.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 38.00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %"," 22.94 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %"," 22.90 %","   .00 %","   .00 %"," 20.00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 15.24 %","   .00 %",""," 20.00 %","   .00 %"," 46.67 %","   .00 %","   .00 %","   .00 %"," 30.00 %"," 33.33 %","   .00 %","  6.67 %"," 37.00 %","   .00 %","   .00 %","   .00 %"," 26.67 %","   .00 %","","   .00 %","-40.00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-04-02","   .00 %","   .00 %"," 58.67 %","   .00 %","-10.00 %","   .00 %","   .00 %"," 20.00 %"," 46.57 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %"," 24.94 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 36.67 %","   .00 %"," 24.05 %","   .00 %","   .00 %"," 20.00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 12.42 %","   .00 %",""," 15.00 %","   .00 %"," 41.67 %","   .00 %","   .00 %","   .00 %"," 23.33 %"," 36.19 %","   .00 %","  6.67 %"," 38.54 %","   .00 %","   .00 %","   .00 %"," 36.67 %","-10.00 %","","   .00 %","-40.00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 20.00 %","   .00 %","","   .00 %","   .00 %"
"2020-04-03","   .00 %","   .00 %"," 38.67 %","   .00 %","-10.00 %","   .00 %","   .00 %"," 20.00 %"," 16.57 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 20.00 %"," 13.57 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 40.00 %"," 41.67 %","   .00 %"," 25.80 %","   .00 %","   .00 %"," 20.00 %"," 15.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 15.24 %","   .00 %",""," 21.67 %","   .00 %"," 48.33 %","   .00 %","   .00 %","   .00 %"," 31.33 %"," 43.69 %","   .00 %","  6.67 %"," 29.49 %"," 20.00 %","   .00 %","   .00 %"," 28.89 %","-10.00 %",""," 20.00 %"," 40.00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 20.00 %"," 40.00 %","","   .00 %","   .00 %"
"2020-04-04"," 20.00 %","   .00 %","  8.67 %","   .00 %","-10.00 %","   .00 %","   .00 %"," 20.00 %"," 16.57 %"," 40.00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 30.00 %","  9.40 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 40.00 %"," 21.67 %","   .00 %"," 21.72 %","   .00 %","   .00 %"," 40.00 %"," 15.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 12.36 %","   .00 %",""," 21.67 %","   .00 %"," 48.33 %","   .00 %","   .00 %","   .00 %"," 34.19 %"," 35.51 %","   .00 %"," 16.67 %"," 24.55 %"," 20.00 %"," 13.33 %","   .00 %"," 30.22 %"," 10.00 %",""," 50.00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 20.00 %"," 46.67 %","","   .00 %","   .00 %"
"2020-04-05"," 20.00 %"," 13.33 %"," 16.10 %","   .00 %","-10.00 %","   .00 %","   .00 %"," 30.00 %"," 26.57 %"," 40.00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 30.00 %"," 20.83 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 40.00 %"," 11.67 %","   .00 %"," 14.70 %","   .00 %","   .00 %"," 45.00 %"," 21.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  9.91 %","   .00 %",""," 31.67 %","   .00 %","  8.33 %","   .00 %","   .00 %","   .00 %"," 34.19 %"," 17.18 %","   .00 %"," 10.00 %"," 15.42 %"," 40.00 %","  9.33 %","   .00 %"," 30.22 %"," 10.00 %",""," 62.00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 20.00 %"," 61.67 %","","   .00 %","   .00 %"
"2020-04-06"," 20.00 %"," 13.33 %"," 19.43 %","   .00 %","-10.00 %","   .00 %","   .00 %"," 30.00 %"," 28.68 %"," 40.00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 36.67 %"," 21.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 53.33 %"," 15.67 %","   .00 %"," 13.66 %","   .00 %","   .00 %"," 29.00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  8.38 %","   .00 %",""," 11.67 %","   .00 %","  1.67 %","   .00 %","   .00 %","   .00 %"," 24.19 %"," 16.92 %","   .00 %"," 10.00 %"," 13.75 %"," 40.00 %","  9.33 %","   .00 %"," 24.51 %"," 10.00 %",""," 59.50 %"," 35.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 61.67 %","   .00 %","   .00 %","   .00 %"
"2020-04-07"," 20.00 %"," 13.33 %"," 11.43 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %"," 24.87 %"," 40.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 46.67 %"," 24.13 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 53.33 %"," 15.67 %","   .00 %"," 13.49 %","   .00 %","   .00 %"," 32.33 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  8.28 %","   .00 %",""," 20.00 %","   .00 %","  6.67 %","   .00 %","   .00 %","   .00 %"," 15.86 %"," 19.40 %","   .00 %"," 10.00 %"," 20.55 %"," 40.00 %","  9.33 %","   .00 %"," 14.51 %"," 30.00 %",""," 70.93 %"," 28.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 61.67 %","   .00 %","   .00 %","   .00 %"
"2020-04-08"," 20.00 %"," 13.33 %"," 18.70 %","-20.00 %","   .00 %","   .00 %","   .00 %"," 26.67 %"," 24.10 %"," 46.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %"," 21.78 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  9.33 %"," 13.17 %","   .00 %"," 11.95 %","   .00 %","   .00 %"," 40.90 %"," 33.10 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.09 %"," 40.00 %",""," 13.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.86 %"," 11.90 %","   .00 %"," 13.33 %"," 16.85 %"," 20.00 %","  9.33 %","   .00 %"," 13.46 %"," 36.67 %",""," 56.38 %","-31.67 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %"," 27.38 %","   .00 %","   .00 %"," 20.00 %"
"2020-04-09"," 10.00 %"," 13.33 %"," 21.37 %","-20.00 %","   .00 %","   .00 %","   .00 %"," 30.00 %"," 24.90 %","  6.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 22.06 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 14.33 %"," 13.17 %","   .00 %"," 10.81 %"," 20.00 %","   .00 %"," 22.90 %"," 33.10 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.95 %"," 46.67 %",""," 16.19 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.00 %"," 13.23 %","   .00 %","  3.33 %","  9.79 %"," 20.00 %","  6.00 %","   .00 %","  6.57 %"," 21.67 %",""," 24.95 %","-11.67 %","   .00 %","   .00 %","   .00 %"," 42.00 %","   .00 %"," 20.71 %","   .00 %","   .00 %"," 20.00 %"
"2020-04-10"," 16.67 %","   .00 %"," 12.29 %","-20.00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 16.90 %"," 11.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 12.30 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 14.33 %"," 15.39 %","   .00 %","  7.91 %"," 20.00 %","   .00 %"," 19.72 %"," 30.06 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.99 %"," 51.67 %","","  6.19 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.00 %"," 12.48 %","   .00 %","  9.05 %"," 10.06 %"," 10.00 %"," 10.00 %","   .00 %"," 14.99 %"," 25.67 %",""," 12.95 %","-11.67 %","   .00 %","   .00 %","   .00 %"," 39.50 %","   .00 %","  5.71 %","   .00 %","   .00 %"," 20.00 %"
"2020-04-11"," 16.67 %","  8.00 %"," 13.34 %","-20.00 %","   .00 %","   .00 %","   .00 %"," 25.71 %"," 14.79 %"," 23.67 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %"," 13.33 %"," 12.65 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","  1.00 %"," 15.39 %","   .00 %","  6.61 %"," 70.00 %","   .00 %"," 15.72 %"," 15.06 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.37 %"," 51.67 %",""," 13.69 %"," 20.00 %","  5.00 %","   .00 %","   .00 %","   .00 %","  5.00 %"," 10.27 %","   .00 %","  9.05 %"," 10.60 %"," 26.67 %"," 13.33 %"," 20.00 %"," 14.41 %"," 29.00 %","   .00 %"," 16.99 %","  3.33 %","   .00 %","   .00 %","   .00 %"," 39.50 %","   .00 %","  5.71 %","   .00 %","   .00 %"," 20.00 %"
"2020-04-12"," 21.67 %","  8.00 %"," 16.34 %","-20.00 %","   .00 %","   .00 %","   .00 %"," 19.05 %"," 10.03 %"," 33.67 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %","  3.33 %","  9.63 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","  1.00 %"," 12.06 %","   .00 %","  4.81 %"," 58.57 %","   .00 %"," 14.06 %"," 15.06 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.00 %"," 51.67 %","","  8.54 %"," 20.00 %","  5.00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","  5.77 %","   .00 %"," 11.27 %","  2.27 %"," 30.30 %"," 16.19 %"," 20.00 %"," 18.79 %"," 21.86 %","   .00 %","  5.56 %"," 10.00 %","   .00 %","   .00 %","   .00 %"," 39.50 %","   .00 %","  5.71 %","   .00 %","   .00 %"," 20.00 %"
"2020-04-13"," 21.67 %","  8.00 %","  9.94 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 11.27 %"," 10.80 %"," 28.67 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","  9.56 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","  5.00 %"," 12.41 %","   .00 %","  4.56 %"," 58.57 %","   .00 %","  7.02 %","  3.64 %","   .00 %"," 40.00 %","   .00 %","   .00 %","   .00 %","  3.27 %"," 11.67 %",""," 10.54 %"," 20.00 %","  5.00 %"," 20.00 %","   .00 %","   .00 %"," -4.00 %","  4.17 %","   .00 %","  9.94 %","  2.74 %"," 30.30 %"," 16.19 %"," 20.00 %"," 22.23 %"," 22.69 %","   .00 %","   .11 %","-10.00 %","   .00 %","   .00 %","   .00 %"," 12.36 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-14"," 11.67 %"," 10.86 %","  9.78 %","   .00 %"," 20.00 %","   .00 %"," 60.00 %","  7.94 %"," 18.72 %"," 30.21 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %"," 10.05 %","   .00 %"," 20.00 %","   .00 %"," 20.00 %","   .00 %","   .00 %"," 13.66 %","   .00 %","  5.93 %"," 45.24 %","   .00 %","  6.45 %","  3.64 %","   .00 %"," 46.67 %","   .00 %","   .00 %","   .00 %","  4.36 %"," 13.00 %","","  7.68 %"," 40.00 %","  5.00 %"," 20.00 %","   .00 %","   .00 %"," -4.00 %","  1.88 %","   .00 %"," 13.57 %","  6.74 %"," 34.92 %","  8.69 %"," 20.00 %"," 24.03 %"," 17.69 %","   .00 %","  5.82 %","-10.00 %","  6.67 %","   .00 %","   .00 %","  2.86 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-15","  5.00 %"," 10.86 %","  7.42 %","   .00 %"," 30.00 %","   .00 %"," 63.33 %","  9.94 %","  9.08 %"," 26.63 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %","  2.86 %","  9.77 %","   .00 %"," 35.00 %","   .00 %"," 20.00 %","   .00 %","  8.00 %"," 11.44 %","   .00 %","  8.57 %"," 45.24 %","   .00 %","  5.97 %","  3.08 %","   .00 %"," 51.67 %","   .00 %","   .00 %","   .00 %","  5.07 %"," 10.86 %","","  7.68 %"," 20.00 %"," 13.00 %"," 20.00 %","   .00 %","   .00 %","  1.00 %","  2.64 %","   .00 %","  7.86 %","  5.18 %"," 24.92 %"," 10.91 %"," 40.00 %"," 17.43 %"," 20.96 %","   .00 %","  7.00 %","-10.00 %","  6.67 %","   .00 %","   .00 %","  7.58 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-16","  9.00 %","  5.36 %","  7.85 %","   .00 %"," 30.00 %"," 20.00 %"," 66.19 %","  4.22 %","  8.37 %"," 14.63 %","   .00 %","   .00 %","   .00 %","  6.67 %"," 20.00 %","  2.86 %","  7.98 %","   .00 %"," 35.00 %","   .00 %"," 20.00 %","   .00 %","  5.14 %","  8.62 %","   .00 %","  9.58 %","   .24 %","   .00 %","  5.97 %","  4.41 %","   .00 %"," 51.67 %","   .00 %","   .00 %","   .00 %","  5.49 %"," 13.36 %","","   .18 %"," 25.00 %","  8.00 %"," 30.00 %","   .00 %","   .00 %","  5.00 %","  1.77 %","   .00 %","  9.40 %","  4.64 %","  9.50 %","  7.58 %"," 40.00 %"," 13.73 %"," 18.96 %","   .00 %","  5.46 %","-20.00 %","  6.67 %","   .00 %","   .00 %","  7.58 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-17","  4.00 %","  5.36 %","  5.54 %","   .00 %"," 30.00 %"," 20.00 %"," 68.69 %","  4.22 %","  8.74 %","  5.97 %","   .00 %","   .00 %","   .00 %","  6.67 %"," 20.00 %","  2.86 %","  6.20 %","   .00 %"," 35.00 %","   .00 %"," 20.00 %","   .00 %"," 11.81 %","  6.39 %","   .00 %","  9.35 %"," 11.67 %","   .00 %","  5.55 %"," 10.66 %","   .00 %"," 59.67 %","   .00 %","   .00 %","   .00 %","  6.22 %"," 17.80 %","","  2.00 %"," 25.00 %","  8.00 %"," 10.00 %","   .00 %","   .00 %","  3.33 %","   .94 %","   .00 %","  7.17 %","  5.91 %","  7.04 %","  4.72 %"," 42.50 %"," 11.35 %"," 18.61 %","   .00 %","  5.46 %","-20.00 %"," 11.67 %","   .00 %","   .00 %","  9.58 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-18","  7.33 %","  5.36 %","  4.67 %","   .00 %"," 30.00 %"," 20.00 %"," 48.69 %","  2.00 %"," 13.02 %","  6.80 %","   .00 %","   .00 %","   .00 %","  6.67 %"," 20.00 %","  2.86 %","  6.80 %","   .00 %"," 35.00 %","   .00 %"," 20.00 %","   .00 %"," 11.81 %","  5.64 %","   .00 %","  8.30 %"," 11.67 %","   .00 %","  4.01 %"," 11.61 %","   .00 %"," 22.52 %","   .00 %","   .00 %","   .00 %","  5.90 %"," 19.62 %","","   .00 %"," 25.00 %","  8.00 %"," 10.00 %","   .00 %","   .00 %","  7.33 %","  3.31 %","   .00 %","  5.17 %","  6.06 %","  9.26 %","  8.72 %"," 46.94 %","  7.04 %"," 11.11 %","   .00 %","  8.80 %","   .00 %"," 11.67 %","   .00 %","   .00 %","  6.72 %"," 20.00 %","  2.22 %","   .00 %","   .00 %","   .00 %"
"2020-04-19","  7.33 %","  2.50 %","  2.17 %","   .00 %"," 10.00 %"," 20.00 %","  8.69 %","  2.00 %","  4.89 %","  6.37 %","   .00 %","   .00 %","   .00 %","  5.00 %"," 20.00 %","  2.86 %","  4.49 %","   .00 %"," 15.00 %","   .00 %","   .00 %","   .00 %"," 11.81 %","  4.39 %","   .00 %","  6.23 %","  5.00 %","   .00 %","  2.58 %"," 14.34 %","   .00 %"," 15.86 %","   .00 %"," 10.00 %","   .00 %","  3.59 %"," 13.29 %","","   .00 %","  9.00 %","  8.00 %"," 10.00 %","   .00 %","   .00 %","  9.15 %","  3.18 %","   .00 %","  2.97 %","  2.06 %","  4.65 %","  6.22 %"," 46.94 %","  5.32 %"," 11.11 %","   .00 %","  4.51 %","   .00 %","  5.00 %","   .00 %","   .00 %","  4.22 %"," 20.00 %","  2.22 %","   .00 %","   .00 %","   .00 %"
"2020-04-20","  7.33 %","  2.50 %","  2.84 %","   .00 %","   .00 %"," 20.00 %","  5.36 %","   .00 %","  5.11 %","  4.94 %","   .00 %","   .00 %","   .00 %","  5.00 %"," 20.00 %","  2.50 %","  3.66 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.31 %","  4.39 %","   .00 %","  2.99 %","  5.00 %","   .00 %","  1.25 %"," 12.86 %","   .00 %"," 10.86 %","   .00 %"," 10.00 %","   .00 %","  3.40 %"," 10.43 %","","  3.64 %"," 12.33 %","   .00 %"," 16.67 %","   .00 %","   .00 %","  4.15 %","  1.51 %","   .00 %","  2.97 %","  2.48 %","  4.65 %","  4.00 %"," 28.76 %","  4.06 %","  4.94 %","   .00 %","  3.33 %","   .00 %","  5.00 %","   .00 %","   .00 %","  2.00 %","   .00 %","  2.22 %","   .00 %","   .00 %","   .00 %"
"2020-04-21","  3.33 %","   .00 %","  1.36 %","   .00 %"," 26.67 %","   .00 %","  2.50 %","   .00 %","  8.86 %","  6.00 %","   .00 %","   .00 %","   .00 %","  5.00 %","   .00 %","  4.72 %","  6.70 %","   .00 %","  2.86 %","   .00 %","   .00 %","   .00 %"," 11.39 %","  3.22 %","   .00 %","  1.99 %","   .00 %","   .00 %","  1.25 %"," 13.75 %","   .00 %"," 13.36 %","   .00 %"," 16.67 %","   .00 %","  2.65 %","  7.93 %","","  3.64 %"," 15.90 %","   .00 %","  6.67 %","   .00 %","   .00 %","   .15 %","  2.22 %","   .00 %","  2.76 %","  3.99 %","  9.40 %","  5.67 %"," 15.43 %","  4.33 %","  3.61 %","   .00 %","  7.14 %"," 20.00 %","  5.00 %","   .00 %","   .00 %","  5.64 %","   .00 %","  6.22 %","   .00 %","   .00 %","   .00 %"
